start	end	dom_order
5000	625000	1
625000	1965000	1
1965000	2685000	1
2685000	3455000	1
3455000	5815000	1
5815000	7175000	1
7175000	8085000	1
8085000	8215000	1
8215000	9395000	1
9395000	9995000	1
9995000	11465000	1
11465000	11875000	1
11875000	12315000	1
12315000	12825000	1
12825000	13435000	1
13435000	14485000	1
14485000	15625000	1
15625000	16245000	1
16245000	16775000	1
16775000	18575000	1
18575000	18695000	1
18695000	19275000	1
19275000	19775000	1
19875000	20895000	1
21025000	21245000	1
21245000	21765000	1
21765000	22745000	1
22745000	23935000	1
23935000	24545000	1
24545000	25015000	1
25015000	25445000	1
25445000	27155000	1
27155000	27905000	1
27905000	28105000	1
28105000	28955000	1
28955000	29505000	1
29505000	30435000	1
30435000	31525000	1
31525000	32095000	1
32095000	32655000	1
32655000	33185000	1
33185000	33655000	1
33655000	34715000	1
34715000	35255000	1
35255000	35855000	1
35855000	36445000	1
36545000	37915000	1
37915000	38635000	1
38635000	38765000	1
38765000	39255000	1
39255000	40235000	1
40235000	40955000	1
40955000	41795000	1
41795000	41905000	1
41905000	42425000	1
42525000	42705000	1
42705000	42875000	1
42875000	43205000	1
43205000	45295000	1
45295000	45445000	1
45445000	46055000	1
46055000	46495000	1
46495000	46895000	1
46895000	47165000	1
47165000	47375000	1
47375000	47865000	1
47865000	48905000	1
48905000	49115000	1
49115000	50475000	1
50475000	50755000	1
50755000	51595000	1
51595000	52055000	1
52055000	52505000	1
52505000	53115000	1
53115000	53335000	1
53335000	53935000	1
53935000	54435000	1
54435000	55545000	1
55545000	55645000	1
55645000	56015000	1
56015000	56905000	1
56905000	57225000	1
57225000	57955000	1
57955000	58455000	1
58515000	59735000	1
59735000	61025000	1
61025000	61525000	1
61525000	62035000	1
62035000	62205000	1
62205000	63085000	1
63085000	63595000	1
63595000	64705000	1
64705000	65685000	1
65685000	67025000	1
67025000	67425000	1
67425000	67645000	1
67645000	67805000	1
67805000	68095000	1
68095000	68505000	1
68505000	69055000	1
69055000	69665000	1
69665000	69975000	1
69975000	70325000	1
70325000	70475000	1
70475000	71095000	1
71095000	71665000	1
71665000	72225000	1
72225000	73785000	1
73785000	74545000	1
74545000	75305000	1
75305000	75975000	1
75975000	76485000	1
76485000	76875000	1
76875000	77005000	1
77005000	77365000	1
77365000	77595000	1
77595000	79185000	1
79185000	80345000	1
80345000	80955000	1
80955000	81685000	1
81685000	83305000	1
83305000	83595000	1
83595000	83965000	1
83965000	85415000	1
5000	105000	2
105000	625000	2
625000	765000	2
765000	955000	2
955000	1145000	2
1145000	1315000	2
1315000	1965000	2
1965000	2535000	2
2535000	2685000	2
2685000	2945000	2
2945000	3175000	2
3175000	3455000	2
3455000	4005000	2
4005000	4215000	2
4215000	4735000	2
4735000	5525000	2
5525000	5815000	2
5815000	6485000	2
6485000	7175000	2
7175000	7695000	2
7695000	7925000	2
7925000	8085000	2
8215000	8415000	2
8415000	8625000	2
8625000	9395000	2
9395000	9765000	2
9765000	9995000	2
9995000	10845000	2
10845000	10915000	2
10915000	11465000	2
12825000	13215000	2
13215000	13435000	2
13435000	13955000	2
13955000	14485000	2
14485000	14805000	2
14805000	15075000	2
15075000	15625000	2
16775000	17105000	2
17105000	18175000	2
18175000	18345000	2
18345000	18575000	2
19275000	19545000	2
19545000	19775000	2
21765000	22365000	2
22365000	22745000	2
22745000	23155000	2
23155000	23405000	2
23405000	23935000	2
23935000	24135000	2
24135000	24545000	2
25445000	26095000	2
26095000	26425000	2
26425000	27155000	2
27155000	27435000	2
27435000	27625000	2
27625000	27905000	2
28105000	28335000	2
28335000	28955000	2
29505000	29825000	2
29825000	30235000	2
30235000	30435000	2
30435000	31165000	2
31165000	31525000	2
33655000	33995000	2
33995000	34255000	2
34255000	34715000	2
35855000	36065000	2
36065000	36255000	2
36255000	36445000	2
36545000	36885000	2
36885000	37165000	2
37165000	37495000	2
37495000	37915000	2
39255000	39555000	2
39555000	39625000	2
39625000	39815000	2
39815000	39965000	2
39965000	40235000	2
40235000	40465000	2
40465000	40955000	2
40955000	41315000	2
41315000	41535000	2
41535000	41795000	2
41905000	42095000	2
42095000	42425000	2
43205000	43975000	2
43975000	44785000	2
44785000	45295000	2
45445000	45715000	2
45715000	46055000	2
47865000	48085000	2
48085000	48445000	2
48445000	48615000	2
48615000	48905000	2
49115000	49725000	2
49725000	50155000	2
50155000	50475000	2
50755000	51305000	2
51305000	51595000	2
53335000	53465000	2
53465000	53705000	2
53705000	53935000	2
54435000	54905000	2
54905000	55345000	2
55345000	55545000	2
56015000	56605000	2
56605000	56905000	2
57225000	57495000	2
