start	end	dom_order
5000	655000	1
655000	1125000	1
1125000	2025000	1
2025000	2515000	1
2515000	3365000	1
3505000	4175000	1
4175000	4625000	1
4625000	5375000	1
5375000	5865000	1
5865000	6225000	1
6225000	6735000	1
6795000	6905000	1
6905000	7635000	1
7635000	7765000	1
7765000	8375000	1
8375000	8855000	1
8855000	9025000	1
9025000	10915000	1
10915000	11065000	1
11065000	12215000	1
12215000	12795000	1
12795000	12995000	1
12995000	13245000	1
13245000	13725000	1
13725000	14765000	1
14765000	15075000	1
15075000	15725000	1
15725000	15975000	1
15975000	16315000	1
16315000	16815000	1
16815000	16915000	1
16915000	17905000	1
17905000	18135000	1
18135000	18475000	1
18475000	19295000	1
19295000	19855000	1
19855000	20375000	1
20375000	20555000	1
20555000	20815000	1
20815000	21275000	1
21275000	21675000	1
21675000	23445000	1
23445000	24145000	1
24145000	24335000	1
24335000	25105000	1
25105000	25365000	1
25365000	25645000	1
25645000	26615000	1
26615000	27225000	1
27225000	27475000	1
27475000	27965000	1
27965000	29455000	1
29455000	30985000	1
31185000	31435000	1
31435000	31705000	1
31705000	31975000	1
31975000	32175000	1
32175000	32755000	1
32755000	33255000	1
33255000	33575000	1
33575000	34105000	1
34105000	34195000	1
34195000	34845000	1
34845000	35465000	1
35465000	35835000	1
35835000	36315000	1
36315000	36625000	1
36625000	37125000	1
37125000	37625000	1
37625000	38155000	1
38155000	38265000	1
38265000	38555000	1
38555000	38715000	1
38715000	39715000	1
39715000	39835000	1
39835000	40155000	1
40155000	40435000	1
40435000	41095000	1
41095000	41345000	1
41495000	42015000	1
42015000	42585000	1
42585000	43355000	1
43355000	43935000	1
43935000	44575000	1
44575000	45185000	1
45185000	45385000	1
45385000	46395000	1
46395000	46895000	1
46895000	47835000	1
47835000	48345000	1
48345000	48625000	1
48625000	48855000	1
48855000	49115000	1
49115000	49355000	1
49355000	49635000	1
49635000	49875000	1
49875000	50005000	1
50005000	50265000	1
50265000	50675000	1
50675000	52125000	1
52125000	52525000	1
52525000	53705000	1
53705000	54315000	1
54315000	54685000	1
54685000	54835000	1
54835000	55015000	1
55015000	55405000	1
55405000	55625000	1
55625000	56415000	1
56415000	56605000	1
56605000	57785000	1
57785000	58485000	1
58485000	58615000	1
58615000	58955000	1
58955000	59335000	1
59335000	59785000	1
59785000	60195000	1
60195000	61905000	1
61905000	62705000	1
62705000	63595000	1
63595000	64595000	1
64595000	65115000	1
65115000	65855000	1
65855000	66765000	1
66765000	67025000	1
67025000	67775000	1
67775000	67855000	1
67855000	68365000	1
68365000	68885000	1
68885000	69395000	1
69395000	69905000	1
69905000	70415000	1
70415000	70595000	1
70595000	71995000	1
71995000	72725000	1
72725000	73265000	1
73265000	73645000	1
73645000	74145000	1
74145000	74355000	1
74355000	75175000	1
75175000	75375000	1
75375000	75845000	1
75845000	76125000	1
76125000	76615000	1
76615000	76855000	1
76855000	77385000	1
77385000	78255000	1
78255000	78855000	1
78855000	79415000	1
79415000	81195000	1
81195000	81605000	1
81605000	82085000	1
82085000	82335000	1
82335000	82525000	1
82525000	82995000	1
82995000	83185000	1
83185000	83545000	1
83545000	83675000	1
83675000	83985000	1
83985000	84505000	1
84505000	86145000	1
86145000	86295000	1
86295000	86885000	1
86885000	87125000	1
87125000	87665000	1
87665000	87905000	1
87905000	88435000	1
88435000	88815000	1
88815000	89485000	1
89485000	90075000	1
90075000	90435000	1
90435000	90755000	1
90755000	91275000	1
91275000	91475000	1
91475000	92245000	1
92245000	92575000	1
92575000	92715000	1
92715000	93015000	1
93015000	93205000	1
93205000	93685000	1
93685000	94325000	1
94325000	94675000	1
94675000	95175000	1
95175000	95825000	1
95825000	96355000	1
96355000	96775000	1
96775000	97295000	1
97295000	98315000	1
98315000	98825000	1
98825000	100185000	1
100185000	100745000	1
100745000	101095000	1
101095000	101425000	1
101425000	101565000	1
101565000	101675000	1
101675000	102045000	1
102045000	102895000	1
102895000	103095000	1
103095000	103675000	1
103675000	104205000	1
104205000	104325000	1
104325000	104845000	1
104845000	105315000	1
105315000	105925000	1
106085000	106765000	1
106765000	107565000	1
107565000	107655000	1
107655000	107775000	1
107775000	108565000	1
108565000	108675000	1
108675000	108875000	1
108875000	109425000	1
109425000	109585000	1
109585000	110385000	1
110385000	110865000	1
110865000	111405000	1
111405000	111995000	1
111995000	113175000	1
113175000	113985000	1
5000	305000	2
305000	495000	2
495000	655000	2
1125000	1455000	2
1455000	1665000	2
1665000	2025000	2
2515000	2795000	2
2795000	3075000	2
3075000	3365000	2
3505000	3705000	2
3705000	4175000	2
4625000	4805000	2
4805000	5055000	2
5055000	5375000	2
6905000	7255000	2
7255000	7635000	2
9025000	9455000	2
9455000	10915000	2
11065000	11505000	2
11505000	12215000	2
12215000	12545000	2
12545000	12795000	2
15075000	15205000	2
15205000	15425000	2
15425000	15725000	2
16915000	17145000	2
17145000	17435000	2
17435000	17905000	2
18475000	18805000	2
18805000	19095000	2
19095000	19295000	2
19855000	20035000	2
20035000	20375000	2
21675000	22345000	2
22345000	22565000	2
22565000	22685000	2
22685000	23025000	2
23025000	23445000	2
23445000	23855000	2
23855000	24145000	2
25645000	26205000	2
26205000	26615000	2
27965000	28335000	2
28335000	29245000	2
29245000	29455000	2
29455000	29885000	2
29885000	30225000	2
32175000	32505000	2
32505000	32755000	2
34845000	35265000	2
35265000	35465000	2
36625000	36915000	2
36915000	37125000	2
38715000	39125000	2
39125000	39385000	2
39385000	39715000	2
43935000	44355000	2
44355000	44575000	2
44575000	44765000	2
44765000	44975000	2
44975000	45185000	2
45385000	45695000	2
45695000	45785000	2
45785000	46115000	2
46115000	46395000	2
46895000	47285000	2
47285000	47435000	2
47435000	47555000	2
47555000	47835000	2
47835000	48075000	2
48075000	48345000	2
50675000	50885000	2
50885000	51025000	2
51025000	51685000	2
51685000	51815000	2
51815000	52125000	2
52525000	53115000	2
53115000	53375000	2
53375000	53705000	2
55625000	55945000	2
55945000	56415000	2
56605000	56855000	2
56855000	57555000	2
57555000	57785000	2
57785000	57995000	2
57995000	58265000	2
58265000	58485000	2
60195000	60995000	2
60995000	61275000	2
61275000	61565000	2
61565000	61905000	2
61905000	62125000	2
62125000	62455000	2
62455000	62705000	2
62705000	63185000	2
63185000	63595000	2
63595000	64175000	2
64175000	64595000	2
65115000	65445000	2
65445000	65855000	2
65855000	66195000	2
66195000	66765000	2
70595000	71085000	2
71085000	71425000	2
71425000	71995000	2
71995000	72435000	2
72435000	72725000	2
73645000	73875000	2
73875000	74005000	2
74005000	74145000	2
74355000	74755000	2
74755000	75175000	2
77385000	77725000	2
77725000	77905000	2
77905000	78085000	2
78085000	78255000	2
78255000	78605000	2
78605000	78855000	2
79415000	79625000	2
79625000	80165000	2
80165000	80825000	2
80825000	81195000	2
84505000	84815000	2
84815000	85055000	2
85055000	85345000	2
85345000	85465000	2
85465000	86145000	2
86295000	86505000	2
86505000	86605000	2
86605000	86885000	2
87905000	88175000	2
88175000	88435000	2
90755000	91095000	2
91095000	91275000	2
91475000	91715000	2
91715000	91925000	2
91925000	92245000	2
93685000	94115000	2
94115000	94215000	2
94215000	94325000	2
95175000	95505000	2
95505000	95625000	2
95625000	95825000	2
97295000	98005000	2
98005000	98315000	2
98315000	98545000	2
98545000	98825000	2
98825000	99295000	2
99295000	99555000	2
99555000	100185000	2
100185000	100365000	2
100365000	100515000	2
100515000	100745000	2
102045000	102435000	2
102435000	102665000	2
102665000	102895000	2
103675000	103845000	2
103845000	104015000	2
104015000	104205000	2
105315000	105625000	2
105625000	105925000	2
106085000	106565000	2
106565000	106765000	2
106765000	107115000	2
107115000	107255000	2
107255000	107565000	2
107775000	108245000	2
108245000	108415000	2
108415000	108565000	2
109585000	109845000	2
109845000	110385000	2
110865000	111035000	2
111405000	111685000	2
111685000	111995000	2
111995000	112415000	2
112415000	112975000	2
112975000	113175000	2
113175000	113695000	2
113695000	113985000	2
