start	end	dom_order
5000	645000	1
645000	715000	1
815000	1315000	1
1315000	1775000	1
1775000	2165000	1
2165000	2485000	1
2485000	2805000	1
2805000	3035000	1
3035000	3275000	1
3275000	3355000	1
3355000	3775000	1
3775000	4405000	1
4405000	4555000	1
4555000	4675000	1
4675000	4855000	1
4855000	5255000	1
5255000	5895000	1
5895000	6125000	1
6125000	6465000	1
6465000	6605000	1
6605000	7065000	1
7065000	7255000	1
7355000	7895000	1
7895000	9165000	1
9165000	9565000	1
9565000	9685000	1
9685000	9875000	1
9875000	10055000	1
10055000	10465000	1
10465000	10975000	1
5000	245000	2
245000	435000	2
435000	645000	2
3775000	4225000	2
4225000	4405000	2
5255000	5405000	2
5405000	5895000	2
7895000	8405000	2
8405000	8625000	2
8625000	8895000	2
8895000	9165000	2
