bin	count	Pi.freq
[0,0.001)	1	0.002801
[0.001,0.002)	0	0.000000
[0.002,0.003)	0	0.000000
[0.003,0.004)	0	0.000000
[0.004,0.005)	0	0.000000
[0.005,0.006)	0	0.000000
[0.006,0.007)	0	0.000000
[0.007,0.008)	0	0.000000
[0.008,0.009)	0	0.000000
[0.009,0.01)	0	0.000000
[0.01,0.011)	0	0.000000
[0.011,0.012)	1	0.002801
[0.012,0.013)	0	0.000000
[0.013,0.014)	3	0.008403
[0.014,0.015)	2	0.005602
[0.015,0.016)	1	0.002801
[0.016,0.017)	5	0.014006
[0.017,0.018)	1	0.002801
[0.018,0.019)	3	0.008403
[0.019,0.02)	3	0.008403
[0.02,0.021)	10	0.028011
[0.021,0.022)	1	0.002801
[0.022,0.023)	14	0.039216
[0.023,0.024)	3	0.008403
[0.024,0.025)	11	0.030812
[0.025,0.026)	15	0.042017
[0.026,0.027)	8	0.022409
[0.027,0.028)	11	0.030812
[0.028,0.029)	3	0.008403
[0.029,0.03)	13	0.036415
[0.03,0.031)	9	0.025210
[0.031,0.032)	8	0.022409
[0.032,0.033)	3	0.008403
[0.033,0.034)	8	0.022409
[0.034,0.035)	5	0.014006
[0.035,0.036)	6	0.016807
[0.036,0.037)	3	0.008403
[0.037,0.038)	7	0.019608
[0.038,0.039)	6	0.016807
[0.039,0.04)	5	0.014006
[0.04,0.041)	5	0.014006
[0.041,0.042)	4	0.011204
[0.042,0.043)	8	0.022409
[0.043,0.044)	9	0.025210
[0.044,0.045)	11	0.030812
[0.045,0.046)	4	0.011204
[0.046,0.047)	4	0.011204
[0.047,0.048)	1	0.002801
[0.048,0.049)	7	0.019608
[0.049,0.05)	6	0.016807
[0.05,0.051)	4	0.011204
[0.051,0.052)	6	0.016807
[0.052,0.053)	6	0.016807
[0.053,0.054)	3	0.008403
[0.054,0.055)	4	0.011204
[0.055,0.056)	3	0.008403
[0.056,0.057)	0	0.000000
[0.057,0.058)	4	0.011204
[0.058,0.059)	5	0.014006
[0.059,0.06)	4	0.011204
[0.06,0.061)	3	0.008403
[0.061,0.062)	3	0.008403
[0.062,0.063)	4	0.011204
[0.063,0.064)	2	0.005602
[0.064,0.065)	2	0.005602
[0.065,0.066)	0	0.000000
[0.066,0.067)	0	0.000000
[0.067,0.068)	1	0.002801
[0.068,0.069)	1	0.002801
[0.069,0.07)	3	0.008403
[0.07,0.071)	4	0.011204
[0.071,0.072)	0	0.000000
[0.072,0.073)	2	0.005602
[0.073,0.074)	4	0.011204
[0.074,0.075)	4	0.011204
[0.075,0.076)	4	0.011204
[0.076,0.077)	2	0.005602
[0.077,0.078)	4	0.011204
[0.078,0.079)	1	0.002801
[0.079,0.08)	0	0.000000
[0.08,0.081)	4	0.011204
[0.081,0.082)	3	0.008403
[0.082,0.083)	2	0.005602
[0.083,0.084)	1	0.002801
[0.084,0.085)	2	0.005602
[0.085,0.086)	1	0.002801
[0.086,0.087)	1	0.002801
[0.087,0.088)	3	0.008403
[0.088,0.089)	1	0.002801
[0.089,0.09)	3	0.008403
[0.09,0.091)	0	0.000000
[0.091,0.092)	0	0.000000
[0.092,0.093)	2	0.005602
[0.093,0.094)	1	0.002801
[0.094,0.095)	0	0.000000
[0.095,0.096)	3	0.008403
[0.096,0.097)	1	0.002801
[0.097,0.098)	1	0.002801
[0.098,0.099)	1	0.002801
[0.099,0.1)	0	0.000000
[0.1,0.101)	0	0.000000
[0.101,0.102)	1	0.002801
[0.102,0.103)	0	0.000000
[0.103,0.104)	0	0.000000
[0.104,0.105)	1	0.002801
[0.105,0.106)	2	0.005602
[0.106,0.107)	0	0.000000
[0.107,0.108)	0	0.000000
[0.108,0.109)	0	0.000000
[0.109,0.11)	3	0.008403
[0.11,0.111)	1	0.002801
[0.111,0.112)	0	0.000000
[0.112,0.113)	0	0.000000
[0.113,0.114)	0	0.000000
[0.114,0.115)	0	0.000000
[0.115,0.116)	0	0.000000
[0.116,0.117)	0	0.000000
[0.117,0.118)	0	0.000000
[0.118,0.119)	1	0.002801
[0.119,0.12)	1	0.002801
[0.12,0.121)	0	0.000000
[0.121,0.122)	1	0.002801
[0.122,0.123)	0	0.000000
[0.123,0.124)	0	0.000000
[0.124,0.125)	0	0.000000
[0.125,0.126)	1	0.002801
[0.126,0.127)	0	0.000000
[0.127,0.128)	1	0.002801
[0.128,0.129)	0	0.000000
[0.129,0.13)	0	0.000000
[0.13,0.131)	0	0.000000
[0.131,0.132)	1	0.002801
[0.132,0.133)	1	0.002801
[0.133,0.134)	0	0.000000
[0.134,0.135)	0	0.000000
[0.135,0.136)	0	0.000000
[0.136,0.137)	0	0.000000
[0.137,0.138)	0	0.000000
[0.138,0.139)	0	0.000000
[0.139,0.14)	0	0.000000
[0.14,0.141)	1	0.002801
