Source,pi
All_copies,0.0537
All_copies,0.04352
All_copies,0.03899
All_copies,0.03101
All_copies,0.03039
All_copies,0.05128
All_copies,0.04938
All_copies,0.05053
All_copies,0.04271
All_copies,0.03693
All_copies,0.04074
All_copies,0.0412
All_copies,0.04082
All_copies,0.02476
All_copies,0.03799
All_copies,0.03745
All_copies,0.05411
All_copies,0.02976
All_copies,0.05888
All_copies,0.02401
All_copies,0.02963
All_copies,0.04247
All_copies,0.03128
All_copies,0.03876
All_copies,0.03005
All_copies,0.03497
All_copies,0.026
All_copies,0.03704
All_copies,0.03266
All_copies,0.03067
All_copies,0.03438
All_copies,0.02737
All_copies,0.02401
All_copies,0.026
All_copies,0.0311
All_copies,0.03083
All_copies,0.0381
All_copies,0.03324
All_copies,0.02424
All_copies,0.04457
All_copies,0.02629
All_copies,0.02241
All_copies,0.02548
All_copies,0.02778
All_copies,0.02279
All_copies,0.03887
All_copies,0.0277
All_copies,0.0202
All_copies,0.02971
All_copies,0.03157
All_copies,0.02241
All_copies,0.0277
All_copies,0.03352
All_copies,0.03424
All_copies,0.01304
All_copies,0.02216
All_copies,0.02216
All_copies,0.02593
All_copies,0.02642
All_copies,0.02837
All_copies,0.03175
All_copies,0.02585
All_copies,0.02788
All_copies,0.02037
All_copies,0.03139
All_copies,0.02614
All_copies,0.02249
All_copies,0.01311
All_copies,0.01847
All_copies,0.02585
All_copies,0.02043
All_copies,0.026
All_copies,0.02216
All_copies,0.01667
All_copies,0.02527
All_copies,0.02585
All_copies,0.02414
All_copies,0.01724
All_copies,0.03058
All_copies,0.02031
All_copies,0.02098
All_copies,0.02614
All_copies,0.0169
All_copies,0.03157
All_copies,0.02031
All_copies,0.02143
All_copies,0.02656
All_copies,0.01662
All_copies,0.01667
All_copies,0.01847
All_copies,0.01515
All_copies,0.01802
All_copies,0.01927
All_copies,0.01481
All_copies,0.01481
All_copies,0.01111
All_copies,0.01333
All_copies,0.06769
All_copies,0.04952
All_copies,0.054
All_copies,0.06968
All_copies,0.04828
All_copies,0.052
All_copies,0.04307
All_copies,0.04969
All_copies,0.04731
All_copies,0.05415
All_copies,0.052
All_copies,0.05831
All_copies,0.05099
All_copies,0.05229
All_copies,0.04995
All_copies,0.04682
All_copies,0.03983
All_copies,0.04391
All_copies,0.05243
All_copies,0.06395
All_copies,0.05214
All_copies,0.06215
All_copies,0.04487
All_copies,0.04915
All_copies,0.03353
All_copies,0.04801
All_copies,0.04444
All_copies,0.03509
All_copies,0.02828
All_copies,0.02786
All_copies,0.03022
All_copies,0.03445
All_copies,0.03509
All_copies,0.03724
All_copies,0.05178
All_copies,0.0771
All_copies,0.04643
All_copies,0.0649
All_copies,0.03074
All_copies,0.02963
All_copies,0.02312
All_copies,0.02216
All_copies,0.02971
All_copies,0.0298
All_copies,0.04458
All_copies,0.04444
All_copies,0.02585
All_copies,0.04638
All_copies,0.02031
All_copies,0.05714
All_copies,0.05959
All_copies,0.02292
All_copies,0.04219
All_copies,0.04301
All_copies,0.04113
All_copies,0.02407
All_copies,0.03693
All_copies,0.02793
All_copies,0.05031
All_copies,0.0591
All_copies,0.03049
All_copies,0.02401
All_copies,0.02414
All_copies,0.02585
All_copies,0.03333
All_copies,0.02462
All_copies,0.03257
All_copies,0.03704
All_copies,0.0277
All_copies,0.04023
All_copies,0.03349
All_copies,0.04523
All_copies,0.04848
All_copies,0.02033
All_copies,0.02607
All_copies,0.02542
All_copies,0.02043
All_copies,0.02353
All_copies,0.04365
All_copies,0.03609
All_copies,0.03725
All_copies,0.02585
All_copies,0.08401
All_copies,0.07775
All_copies,0.02585
All_copies,0.02216
All_copies,0.02054
All_copies,0.01978
All_copies,0.04869
All_copies,0.01961
All_copies,0.0356
All_copies,0.01681
All_copies,0.02659
All_copies,0.02778
All_copies,0.02907
All_copies,0.0297
All_copies,0.09829
All_copies,0.02288
All_copies,0.02941
All_copies,0.02941
All_copies,0.03595
All_copies,0.04248
All_copies,0.03922
All_copies,0.04575
All_copies,0.02252
All_copies,0.02956
All_copies,0.03268
All_copies,0.04274
All_copies,0.03333
All_copies,0.12121
All_copies,0.10141
All_copies,0.11869
All_copies,0.1097
All_copies,0.11048
All_copies,0.09605
All_copies,0.07799
All_copies,0.10428
All_copies,0.11966
All_copies,0.08706
All_copies,0.10922
All_copies,0.07729
All_copies,0.07303
All_copies,0.09228
