geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
mmu04510	Focal adhesion	http://www.kegg.jp/kegg-bin/show_pathway?mmu04510+107589+12389+12827+12828+12834+16403+170736+18595+20750+21923+54635+57257+68794+71785	199	14	4.328700906344411	3.2342266890005584	1.0516361489276704e-4	0.03375752038057822	107589;12389;12827;12828;12834;16403;170736;18595;20750;21923;54635;57257;68794;71785	Itga6;Col6a2;Pdgfc;Parvb;Tnc;Col4a2;Mylk;Spp1;Cav1;Pdgfd;Flnc;Col4a3;Pdgfra;Vav3
mmu00603	Glycosphingolipid biosynthesis	http://www.kegg.jp/kegg-bin/show_pathway?mmu00603+11605+15211+20444+56546	16	4	0.34803625377643505	11.493055555555555	3.2111827747260957e-4	0.051539483534353836	11605;15211;20444;56546	Sec1;St3gal2;Hexa;Gla
mmu04216	Ferroptosis	http://www.kegg.jp/kegg-bin/show_pathway?mmu04216+12870+14081+50790+67443+68428	41	5	0.8918429003021148	5.606368563685637	0.0018297826589955823	0.1957867445125273	12870;14081;50790;67443;68428	Steap3;Acsl4;Map1lc3b;Cp;Acsl1
mmu05146	Amoebiasis	http://www.kegg.jp/kegg-bin/show_pathway?mmu05146+11846+12827+12828+16177+18795+20706+21808	106	7	2.3057401812688822	3.035901467505241	0.008197301642753452	0.4747270684722723	11846;12827;12828;16177;18795;20706;21808	Il1r1;Tgfb2;Col4a2;Serpinb9b;Col4a3;Arg1;Plcb1
mmu04512	ECM-receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04512+12827+12828+12834+16403+20750+21923	83	6	1.8054380664652567	3.323293172690763	0.009222564643381559	0.4747270684722723	12827;12828;12834;16403;20750;21923	Itga6;Col6a2;Tnc;Col4a2;Spp1;Col4a3
mmu04010	MAPK signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?mmu04010+14164+14172+16177+17311+18595+19395+21808+240168+54635+68794+71785+75590+81904	294	13	6.395166163141994	2.032785336356765	0.01172795825647377	0.4747270684722723	14164;14172;16177;17311;18595;19395;21808;240168;54635;68794;71785;75590;81904	Il1r1;Tgfb2;Fgf18;Kitl;Cacng7;Pdgfc;Fgf1;Pdgfd;Flnc;Pdgfra;Dusp9;Rasgrp2;Rasgrp3
mmu04610	Complement and coagulation cascades	http://www.kegg.jp/kegg-bin/show_pathway?mmu04610+12630+16644+19128+385643+50908+50909	88	6	1.9141993957703927	3.1344696969696972	0.012119691129887755	0.4747270684722723	12630;16644;19128;385643;50908;50909	C1s1;Kng1;Cfi;Kng2;C1ra;Pros1
mmu04060	Cytokine-cytokine receptor interaction	http://www.kegg.jp/kegg-bin/show_pathway?mmu04060+12778+13607+15979+16177+16880+17082+18414+20296+21808+232983+50905+56838+77125	296	13	6.438670694864048	2.0190503003003	0.012359808608412792	0.4747270684722723	12778;13607;15979;16177;16880;17082;18414;20296;21808;232983;50905;56838;77125	Il1r1;Ackr3;Cxcl17;Osmr;Tgfb2;Ccl2;Lifr;Ccl28;Il33;Il1rl1;Ifngr1;Il17rb;Eda
mmu00980	Metabolism of xenobiotics by cytochrome P450	http://www.kegg.jp/kegg-bin/show_pathway?mmu00980+12409+13078+14869+54486+74134	66	5	1.4356495468277946	3.4827441077441077	0.014126538609530837	0.4747270684722723	12409;13078;14869;54486;74134	Cbr2;Cyp1b1;Hpgds;Gstp2;Cyp2s1
mmu02010	ABC transporters	http://www.kegg.jp/kegg-bin/show_pathway?mmu02010+12638+18669+26357+27416	47	4	1.022356495468278	3.912529550827423	0.018661019531622913	0.4747270684722723	12638;18669;26357;27416	Abcb1b;Cftr;Abcg2;Abcc5
