userId	geneSymbol	geneName	entrezgene	gLink
Itm2a	Itm2a	integral membrane protein 2A	16431	https://www.ncbi.nlm.nih.gov/gene/?term=16431
Arrdc4	Arrdc4	arrestin domain containing 4	66412	https://www.ncbi.nlm.nih.gov/gene/?term=66412
Ptgr1	Ptgr1	prostaglandin reductase 1	67103	https://www.ncbi.nlm.nih.gov/gene/?term=67103
Nav3	Nav3	neuron navigator 3	260315	https://www.ncbi.nlm.nih.gov/gene/?term=260315
Adamts10	Adamts10	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 10	224697	https://www.ncbi.nlm.nih.gov/gene/?term=224697
Steap3	Steap3	STEAP family member 3	68428	https://www.ncbi.nlm.nih.gov/gene/?term=68428
Bicdl1	Bicdl1	BICD family like cargo adaptor 1	75665	https://www.ncbi.nlm.nih.gov/gene/?term=75665
Slc41a3	Slc41a3	solute carrier family 41, member 3	71699	https://www.ncbi.nlm.nih.gov/gene/?term=71699
Loxl1	Loxl1	lysyl oxidase-like 1	16949	https://www.ncbi.nlm.nih.gov/gene/?term=16949
Acsl4	Acsl4	acyl-CoA synthetase long-chain family member 4	50790	https://www.ncbi.nlm.nih.gov/gene/?term=50790
Cbr2	Cbr2	carbonyl reductase 2	12409	https://www.ncbi.nlm.nih.gov/gene/?term=12409
Vash2	Vash2	vasohibin 2	226841	https://www.ncbi.nlm.nih.gov/gene/?term=226841
Nrep	Nrep	neuronal regeneration related protein	27528	https://www.ncbi.nlm.nih.gov/gene/?term=27528
C1rl	C1rl	complement component 1, r subcomponent-like	232371	https://www.ncbi.nlm.nih.gov/gene/?term=232371
Chdh	Chdh	choline dehydrogenase	218865	https://www.ncbi.nlm.nih.gov/gene/?term=218865
Cox4i1	Cox4i1	cytochrome c oxidase subunit 4I1	12857	https://www.ncbi.nlm.nih.gov/gene/?term=12857
Hsf4	Hsf4	heat shock transcription factor 4	26386	https://www.ncbi.nlm.nih.gov/gene/?term=26386
Map1lc3b	Map1lc3b	microtubule-associated protein 1 light chain 3 beta	67443	https://www.ncbi.nlm.nih.gov/gene/?term=67443
Cish	Cish	cytokine inducible SH2-containing protein	12700	https://www.ncbi.nlm.nih.gov/gene/?term=12700
Il1r1	Il1r1	interleukin 1 receptor, type I	16177	https://www.ncbi.nlm.nih.gov/gene/?term=16177
Akr1c14	Akr1c14	aldo-keto reductase family 1, member C14	105387	https://www.ncbi.nlm.nih.gov/gene/?term=105387
Jag1	Jag1	jagged 1	16449	https://www.ncbi.nlm.nih.gov/gene/?term=16449
Nid2	Nid2	nidogen 2	18074	https://www.ncbi.nlm.nih.gov/gene/?term=18074
Olfml2b	Olfml2b	olfactomedin-like 2B	320078	https://www.ncbi.nlm.nih.gov/gene/?term=320078
C1s1	C1s1	complement component 1, s subcomponent 1	50908	https://www.ncbi.nlm.nih.gov/gene/?term=50908
Itga6	Itga6	integrin alpha 6	16403	https://www.ncbi.nlm.nih.gov/gene/?term=16403
Atp6v0a4	Atp6v0a4	ATPase, H+ transporting, lysosomal V0 subunit A4	140494	https://www.ncbi.nlm.nih.gov/gene/?term=140494
Casp12	Casp12	caspase 12	12364	https://www.ncbi.nlm.nih.gov/gene/?term=12364
Dab2	Dab2	disabled 2, mitogen-responsive phosphoprotein	13132	https://www.ncbi.nlm.nih.gov/gene/?term=13132
Cemip	Cemip	cell migration inducing protein, hyaluronan binding	80982	https://www.ncbi.nlm.nih.gov/gene/?term=80982
Rassf6	Rassf6	Ras association (RalGDS/AF-6) domain family member 6	73246	https://www.ncbi.nlm.nih.gov/gene/?term=73246
Bex4	Bex4	brain expressed X-linked 4	406217	https://www.ncbi.nlm.nih.gov/gene/?term=406217
Ppm1h	Ppm1h	protein phosphatase 1H (PP2C domain containing)	319468	https://www.ncbi.nlm.nih.gov/gene/?term=319468
Gm6166	Gm6166	fatty acid-binding protein, epidermal-like	101056162	https://www.ncbi.nlm.nih.gov/gene/?term=101056162
Fam221a	Fam221a	family with sequence similarity 221, member A	231946	https://www.ncbi.nlm.nih.gov/gene/?term=231946
