geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0007568	aging	http://amigo.geneontology.org/amigo/term/GO:0007568	276	25	9.01743444365698	2.77240718035776	4.19206160540142e-06	0.00319435094331588	133;490;811;821;983;1410;1490;2068;2309;2353;4152;4353;4521;5144;5604;6926;7014;7799;7994;9093;9361;9516;27250;29842;51022	ADM;CRYAB;CTGF;ERCC2;FOXO3;FOS;PDCD4;TFCP2L1;MBD1;MPO;NUDT1;ATP2B1;GLRX2;PDE4D;MAP2K1;TBX3;TERF2;PRDM2;KAT6A;CALR;CANX;DNAJA3;LONP1;LITAF;CDK1
GO:0034976	response to endoplasmic reticulum stress	http://amigo.geneontology.org/amigo/term/GO:0034976	262	23	8.56002834868887	2.68690698945207	1.68886871854124e-05	0.00643458981764211	468;811;1491;1649;2081;2923;3309;5034;5611;5704;7186;7494;9695;9709;10488;10525;10613;10956;11253;23753;29979;51061;168620	CREB3;HYOU1;ERLIN1;OS9;MAN1B1;CTH;DDIT3;BHLHA15;ERN1;SDF2L1;PDIA3;UBQLN1;HSPA5;ATF4;P4HB;TXNDC11;DNAJC3;PSMC4;TRAF2;XBP1;CALR;EDEM1;HERPUD1
GO:0016197	endosomal transport	http://amigo.geneontology.org/amigo/term/GO:0016197	255	21	8.33132530120482	2.52060737527115	9.85489877638468e-05	0.0201402154762952	2013;5604;7251;7430;8677;8943;9043;10043;10652;22853;23295;27183;29886;29934;54732;55823;57589;64400;81609;91056;257364	TOM1;YKT6;EMP2;LMTK2;MGRN1;SNX33;VPS4A;SNX8;SNX12;TMED9;VPS11;MAP2K1;RIC1;AKTIP;TSG101;EZR;SNX27;STX10;AP3D1;SPAG9;AP5B1
GO:0035966	response to topologically incorrect protein	http://amigo.geneontology.org/amigo/term/GO:0035966	183	17	5.97895109851169	2.84330808529806	0.000105722915886064	0.0201402154762952	468;811;1491;1649;2081;3309;3315;3326;5611;7494;9695;9709;10488;10525;23753;153222;168620	CREB3;HYOU1;CTH;CREBRF;DDIT3;BHLHA15;ERN1;SDF2L1;HSPA5;HSPB1;HSP90AB1;ATF4;DNAJC3;XBP1;CALR;EDEM1;HERPUD1
GO:0035264	multicellular organism growth	http://amigo.geneontology.org/amigo/term/GO:0035264	141	14	4.60673281360737	3.03903016876663	0.000212073516821842	0.0289834330289357	677;1435;2068;2778;5144;5324;5479;5914;7430;8200;10848;10959;29123;79977	PPP1R13L;TMED2;CSF1;ERCC2;GNAS;ANKRD11;PDE4D;PLAG1;PPIB;RARA;ZFP36L1;EZR;GRHL2;GDF5
GO:0009894	regulation of catabolic process	http://amigo.geneontology.org/amigo/term/GO:0009894	500	32	16.3359319631467	1.95887201735358	0.000228216008101856	0.0289834330289357	405;677;983;2819;3326;4953;5045;5500;5692;5704;5887;6662;7430;7494;8312;9683;9695;9709;10956;26088;26263;29934;29979;51377;51684;54971;55823;57589;64285;79589;80762;257364	OS9;SNX33;GGA1;FBXO22;GPD1;SNX12;UBQLN1;HSP90AB1;ARNT;ODC1;FURIN;UCHL5;SUFU;BANP;PPP1CB;VPS11;PSMB4;PSMC4;RIC1;RAD23B;RHBDF1;SOX9;ZFP36L1;EZR;XBP1;RNF128;NDFIP1;AXIN1;N4BP1;EDEM1;HERPUD1;CDK1
GO:0030099	myeloid cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030099	322	23	10.5203401842665	2.18624109079641	0.000383616436491985	0.0353761620280337	405;677;760;1435;2068;2242;2309;2353;2778;3050;3707;4891;5048;5814;5914;7422;7994;10519;51621;54623;79577;80762;84148	CIB1;CSF1;ERCC2;FES;FOXO3;FOS;GNAS;HBZ;ITPKB;ARNT;SLC11A2;PAFAH1B1;KLF13;PAF1;PURB;RARA;ZFP36L1;VEGFA;CA2;CDC73;KAT6A;NDFIP1;KAT8
GO:0006984	ER-nucleus signaling pathway	http://amigo.geneontology.org/amigo/term/GO:0006984	43	7	1.40489014883062	4.9825959743732	0.000441400352584775	0.0353761620280337	468;811;1649;3309;7494;9709;10613	ERLIN1;DDIT3;HSPA5;ATF4;XBP1;CALR;HERPUD1
GO:0016050	vesicle organization	http://amigo.geneontology.org/amigo/term/GO:0016050	368	25	12.023245924876	2.07930538526832	0.00046039744023707	0.0353761620280337	947;4943;5048;5119;5537;7251;8677;8943;8976;9882;10652;10959;23637;23673;27183;29886;29934;50487;51399;54732;55204;55823;64400;125058;257364	YKT6;TMED2;TBC1D16;RABGAP1;STX12;SNX33;VPS4A;SNX8;SNX12;TBC1D25;PAFAH1B1;PLA2G3;CHMP1A;TRAPPC4;TMED9;GOLPH3L;PPP6C;VPS11;AKTIP;TSG101;STX10;AP3D1;WASL;CD34;TBC1D4
GO:0070482	response to oxygen levels	http://amigo.geneontology.org/amigo/term/GO:0070482	308	22	10.0629340892984	2.18624109079641	0.000510679504341693	0.0353761620280337	133;405;677;947;1490;1803;2030;2068;2309;3163;5034;5664;6548;7422;8453;9361;10525;29979;51142;54890;114757;114990	HYOU1;CYGB;VASN;ADM;CTGF;DPP4;SLC29A1;ERCC2;FOXO3;UBQLN1;HMOX2;ARNT;P4HB;CHCHD2;ALKBH5;PSEN2;SLC9A1;ZFP36L1;VEGFA;CUL2;LONP1;CD34
