geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0030055	cell-substrate junction	http://amigo.geneontology.org/amigo/term/GO:0030055	398	29	14.7991855979426	1.95956728889404	0.000394932754958388	0.0518424249813656	390;811;1803;2242;2319;2886;2923;3309;3315;5034;5479;5500;5604;6122;6548;6645;7408;7430;7534;10094;10298;10487;10525;10971;11135;25996;54914;57175;58497	ARPC3;PAK4;CAP1;HYOU1;YWHAQ;CDC42EP1;DPP4;FES;FLOT2;REXO2;GRB7;PDIA3;HSPA5;HSPB1;RND3;P4HB;PPIB;FOCAD;PPP1CB;MAP2K1;CORO1B;PRUNE1;RPL3;SLC9A1;SNTB2;VASP;EZR;YWHAZ;CALR
GO:0016323	basolateral plasma membrane	http://amigo.geneontology.org/amigo/term/GO:0016323	197	17	7.32522503214745	2.32074781667374	0.00105648943683345	0.0518424249813656	362;490;760;947;1525;2030;2064;2065;2319;3326;4363;4641;6548;7430;9053;51458;149461	CLDN19;CXADR;SLC29A1;ERBB2;ERBB3;FLOT2;HSP90AB1;AQP5;ABCC1;MYO1C;ATP2B1;RHCG;SLC9A1;EZR;CA2;MAP7;CD34
GO:0005790	smooth endoplasmic reticulum	http://amigo.geneontology.org/amigo/term/GO:0005790	33	6	1.22706815259323	4.88970395598638	0.00119670603514099	0.0518424249813656	811;821;3309;5479;5611;10525	HYOU1;HSPA5;PPIB;DNAJC3;CALR;CANX
GO:0005913	cell-cell adherens junction	http://amigo.geneontology.org/amigo/term/GO:0005913	318	23	11.8244749249893	1.94511808312037	0.00172429966088106	0.0518424249813656	1983;2194;2319;3054;3309;3326;3875;5586;7408;7430;7534;10298;10652;10848;11135;11273;22837;23499;54869;55971;57175;57530;114990	PAK4;YKT6;PPP1R13L;CDC42EP1;ATXN2L;VASN;EIF5;FASN;COBLL1;FLOT2;MACF1;HCFC1;HSPA5;HSP90AB1;KRT18;EPS8L1;PKN2;BAIAP2L1;CORO1B;CGN;VASP;EZR;YWHAZ
GO:0048770	pigment granule	http://amigo.geneontology.org/amigo/term/GO:0048770	105	11	3.90430775825118	2.81740085083025	0.00175143327639748	0.0518424249813656	526;821;2194;2923;3309;3326;5034;5479;6509;7534;9145	FASN;PDIA3;HSPA5;HSP90AB1;P4HB;ATP6V1B2;PPIB;SLC1A4;YWHAZ;CANX;SYNGR1
GO:0031252	cell leading edge	http://amigo.geneontology.org/amigo/term/GO:0031252	348	24	12.9399914273468	1.85471529365001	0.00259361430161409	0.0590691262872923	468;490;526;1803;2319;4163;4641;5048;5586;6548;7408;7430;8976;9026;9368;10094;10519;23286;23499;27124;29993;54869;57175;65979	ARPC3;CIB1;DPP4;FLOT2;WWC1;MACF1;INPP5J;PACSIN1;MCC;MYO1C;ATF4;ATP2B1;PAFAH1B1;ATP6V1B2;EPS8L1;PKN2;CORO1B;SLC9A1;PHACTR4;VASP;EZR;WASL;HIP1R;SLC9A3R1
GO:0045177	apical part of cell	http://amigo.geneontology.org/amigo/term/GO:0045177	350	24	13.0143591941706	1.84411692054343	0.00279381002710166	0.0590691262872923	362;490;760;947;1803;2013;2030;2064;2065;2319;2778;3326;4891;5144;5664;6548;7430;8140;8777;9026;9368;10519;10768;51458	CIB1;AHCYL1;DPP4;EMP2;SLC29A1;ERBB2;ERBB3;FLOT2;GNAS;HSP90AB1;AQP5;SLC11A2;ATP2B1;PDE4D;RHCG;PSEN2;SLC9A1;EZR;CA2;SLC7A5;MPDZ;HIP1R;SLC9A3R1;CD34
GO:0031227	intrinsic component of endoplasmic reticulum membrane	http://amigo.geneontology.org/amigo/term/GO:0031227	144	11	5.3544792113159	2.05435478706372	0.0183322544655465	0.316349928766787	662;811;821;2081;2542;3309;6721;9695;51016;93210;401494	ERN1;SLC37A4;HSPA5;HACD4;EMC9;BNIP1;SREBF2;CALR;CANX;PGAP3;EDEM1
GO:0043209	myelin sheath	http://amigo.geneontology.org/amigo/term/GO:0043209	165	12	6.13534076296614	1.95588158239455	0.0200395478008701	0.316349928766787	526;760;821;2064;2923;3309;7430;8777;8803;10121;29114;29993	ACTR1A;ERBB2;TAGLN3;PDIA3;PACSIN1;HSPA5;ATP6V1B2;EZR;CA2;CANX;MPDZ;SUCLA2
GO:0098589	membrane region	http://amigo.geneontology.org/amigo/term/GO:0098589	351	21	13.0515430775825	1.60900514791005	0.0213749951869451	0.316349928766787	490;1175;1525;1803;2013;2319;2817;4641;5045;5538;6548;7186;7430;9026;9368;10059;23621;23673;64750;85021;115548	DNM1L;FCHO2;AP2S1;CXADR;DPP4;EMP2;FLOT2;BACE1;STX12;GPC1;MYO1C;ATP2B1;FURIN;PPT1;SMURF2;SLC9A1;TRAF2;EZR;REPS1;HIP1R;SLC9A3R1
