userid	genesymbol	genename	entrezgene
SH2B3	SH2B3	SH2B adaptor protein 3	10019
GNE	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	10020
TOM1L1	TOM1L1	target of myb1 like 1 membrane trafficking protein	10040
TOM1	TOM1	target of myb1 membrane trafficking protein	10043
FARSB	FARSB	phenylalanyl-tRNA synthetase beta subunit	10056
DNM1L	DNM1L	dynamin 1 like	10059
SNUPN	SNUPN	snurportin 1	10073
MYZAP	MYZAP	myocardial zonula adherens protein	100820829
PQBP1	PQBP1	polyglutamine binding protein 1	10084
ARPC3	ARPC3	actin related protein 2/3 complex subunit 3	10094
ACTR1A	ACTR1A	ARP1 actin-related protein 1 homolog A, centractin alpha	10121
MBNL2	MBNL2	muscleblind like splicing regulator 2	10150
RBM7	RBM7	RNA binding motif protein 7	10179
TIMM17B	TIMM17B	translocase of inner mitochondrial membrane 17B	10245
PAK4	PAK4	p21 (RAC1) activated kinase 4	10298
BPNT1	BPNT1	3'(2'), 5'-bisphosphate nucleotidase 1	10380
CDR2	CDR2	cerebellar degeneration related protein 2	1039
FAM3C	FAM3C	family with sequence similarity 3 member C	10447
CAP1	CAP1	adenylate cyclase associated protein 1	10487
CREB3	CREB3	cAMP responsive element binding protein 3	10488
SEMA4B	SEMA4B	semaphorin 4B	10509
CIB1	CIB1	calcium and integrin binding 1	10519
HYOU1	HYOU1	hypoxia up-regulated 1	10525
IPO7	IPO7	importin 7	10527
SLC35A1	SLC35A1	solute carrier family 35 member A1	10559
ERLIN1	ERLIN1	ER lipid raft associated 1	10613
YKT6	YKT6	YKT6 v-SNARE homolog (S. cerevisiae)	10652
SPINT2	SPINT2	serine peptidase inhibitor, Kunitz type 2	10653
KDM5B	KDM5B	lysine demethylase 5B	10765
AHCYL1	AHCYL1	adenosylhomocysteinase like 1	10768
ZBTB6	ZBTB6	zinc finger and BTB domain containing 6	10773
ARPP19	ARPP19	cAMP regulated phosphoprotein 19	10776
TUBGCP2	TUBGCP2	tubulin gamma complex associated protein 2	10844
PPP1R13L	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like	10848
TRAFD1	TRAFD1	TRAF-type zinc finger domain containing 1	10906
GADD45G	GADD45G	growth arrest and DNA damage inducible gamma	10912
OS9	OS9	OS9, endoplasmic reticulum lectin	10956
TMED2	TMED2	transmembrane p24 trafficking protein 2	10959
MLLT11	MLLT11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11	10962
YWHAQ	YWHAQ	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein theta	10971
CHAT	CHAT	choline O-acetyltransferase	1103
RCC1	RCC1	regulator of chromosome condensation 1	1104
PIM2	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	11040
CHD2	CHD2	chromodomain helicase DNA binding protein 2	1106
SNRNP35	SNRNP35	small nuclear ribonucleoprotein U11/U12 subunit 35	11066
CDC42EP1	CDC42EP1	CDC42 effector protein 1	11135
AKAP2	AKAP2	A-kinase anchoring protein 2	11217
POLG2	POLG2	DNA polymerase gamma 2, accessory subunit	11232
MAN1B1	MAN1B1	mannosidase alpha class 1B member 1	11253
PXMP4	PXMP4	peroxisomal membrane protein 4	11264
ATXN2L	ATXN2L	ataxin 2 like	11273
PLCD3	PLCD3	phospholipase C delta 3	113026
PDAP1	PDAP1	PDGFA associated protein 1	11333
CYGB	CYGB	cytoglobin	114757
MBD6	MBD6	methyl-CpG binding domain protein 6	114785
MYSM1	MYSM1	Myb like, SWIRM and MPN domains 1	114803
VASN	VASN	vasorin	114990
OMA1	OMA1	OMA1 zinc metallopeptidase	115209
GPR146	GPR146	G protein-coupled receptor 146	115330
