geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0000982	transcription factor activity, RNA polymerase II core promoter proximal region sequence-specific binding	http://amigo.geneontology.org/amigo/term/GO:0000982	342	26	11.5005826535708	2.26075502287071	9.05778579387562e-05	0.0152785773647387	468;1649;2353;2354;3164;3607;4084;4774;4781;5017;5308;5324;6662;6667;6721;6926;7020;7023;7764;10488;26298;51621;83855;84662;152518;344018	CREB3;NFXL1;DDIT3;FOS;FOSB;EHF;NR4A1;FIGLA;FOXK2;MXD1;ATF4;NFIA;NFIB;OVOL1;KLF13;PITX2;PLAG1;SOX9;SP1;SREBF2;TBX3;TFAP2A;TFAP4;ZNF217;KLF16;GLIS2
GO:0098631	protein binding involved in cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0098631	293	23	9.8528383552522	2.33435271854831	0.000143201576747964	0.0152785773647387	1525;1983;2194;3054;3309;3326;3875;5586;7408;7430;7534;10298;10652;10848;11135;11273;22837;23499;54869;55971;57175;57530;114990	PAK4;YKT6;PPP1R13L;CDC42EP1;ATXN2L;VASN;CXADR;EIF5;FASN;COBLL1;MACF1;HCFC1;HSPA5;HSP90AB1;KRT18;EPS8L1;PKN2;BAIAP2L1;CORO1B;CGN;VASP;EZR;YWHAZ
GO:0019902	phosphatase binding	http://amigo.geneontology.org/amigo/term/GO:0019902	151	15	5.07774263359414	2.95406858566651	0.000170393056112328	0.0152785773647387	1407;2029;2064;6118;6548;6850;7186;9368;10776;29888;65979;81566;116729;145376;286262	ARPP19;PPP1R27;CRY1;PPP1R36;ENSA;ERBB2;TPRN;STRN4;RPA2;SLC9A1;PHACTR4;SYK;TRAF2;CSRNP2;SLC9A3R1
GO:0050839	cell adhesion molecule binding	http://amigo.geneontology.org/amigo/term/GO:0050839	445	30	14.9642084235059	2.00478362442986	0.000229825626828717	0.0154557734042312	811;1363;1490;1525;1983;2013;2194;3054;3309;3326;3875;5034;5586;6850;7408;7430;7534;8425;10298;10652;10848;11135;11273;22837;23499;54869;55971;57175;57530;114990	PAK4;YKT6;PPP1R13L;CDC42EP1;ATXN2L;VASN;CPE;CTGF;CXADR;EIF5;EMP2;FASN;COBLL1;MACF1;HCFC1;HSPA5;HSP90AB1;KRT18;P4HB;EPS8L1;PKN2;BAIAP2L1;CORO1B;CGN;SYK;VASP;EZR;YWHAZ;CALR;LTBP4
GO:0001228	transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding	http://amigo.geneontology.org/amigo/term/GO:0001228	323	23	10.8616613950391	2.11753977255311	0.000580585941856393	0.0312355236718739	468;1649;2309;2353;2354;3054;3164;3607;4774;4781;5308;5324;6662;7020;7023;10488;26298;51621;79977;81566;84662;168620;344018	CREB3;DDIT3;BHLHA15;FOXO3;FOS;FOSB;EHF;HCFC1;NR4A1;FIGLA;FOXK2;ATF4;NFIA;NFIB;KLF13;PITX2;PLAG1;SOX9;TFAP2A;TFAP4;GRHL2;CSRNP2;GLIS2
GO:1901505	carbohydrate derivative transporter activity	http://amigo.geneontology.org/amigo/term/GO:1901505	33	6	1.10970534376561	5.40684068406841	0.000713591044824602	0.031992665176303	2030;2542;7355;10559;23443;84879	SLC35A1;SLC29A1;SLC35A3;SLC37A4;SLC35A2;MFSD2A
GO:0008022	protein C-terminus binding	http://amigo.geneontology.org/amigo/term/GO:0008022	171	14	5.75029132678542	2.43465925539922	0.0018952079550757	0.0728301342736231	468;1490;2064;2068;4641;5604;6477;6667;6721;7014;8777;10519;10971;27183	CIB1;YWHAQ;CTGF;ERBB2;ERCC2;VPS4A;MYO1C;ATF4;MAP2K1;SIAH1;SP1;SREBF2;TERF2;MPDZ
GO:0003713	transcription coactivator activity	http://amigo.geneontology.org/amigo/term/GO:0003713	294	20	9.88646578991177	2.02296760288274	0.00224324784504648	0.0754292087896879	405;473;1655;3054;5308;5914;6602;7020;7023;7251;7332;7994;9325;10084;23286;29079;83637;90390;114803;283149	PQBP1;MYSM1;DDX5;WWC1;BCL9L;MED4;HCFC1;ARNT;RERE;PITX2;RARA;SMARCD1;TFAP2A;TFAP4;TSG101;UBE2L3;KAT6A;ZMIZ2;MED30;TRIP4
GO:0015932	nucleobase-containing compound transmembrane transporter activity	http://amigo.geneontology.org/amigo/term/GO:0015932	30	5	1.00882303978692	4.95627062706271	0.0029848127659744	0.0892127371163459	2030;7355;10559;23443;51092	SLC35A1;SLC29A1;SLC35A3;SIDT2;SLC35A2
GO:0001159	core promoter proximal region DNA binding	http://amigo.geneontology.org/amigo/term/GO:0001159	371	23	12.4757782586982	1.8435723626271	0.00355969062739403	0.0914284002305644	468;1649;2353;2354;3065;3607;4084;4774;4781;5017;5308;5324;6667;6721;6926;7020;7023;7764;10488;26298;51621;83855;344018	CREB3;DDIT3;FOS;FOSB;EHF;HDAC1;FIGLA;FOXK2;MXD1;ATF4;NFIA;NFIB;OVOL1;KLF13;PITX2;PLAG1;SP1;SREBF2;TBX3;TFAP2A;TFAP4;ZNF217;KLF16
