X1,Lvr_11,Lvr_4,ODPE_1,Panc_1,Pnc_11,Pnc_4,RVG_11,RVG_4,Stom_1,txid,id.x,Upreg.Ven.vs.NonVen,SEassociated,id.y,DnaBinding,ProtBinding,Coregulator
RERE_crovir-transcript-1029,5.54196152256803,5.2904414803244,5.94041130449149,6.7323245880848,6.39789719855756,5.79805017984768,5.74574951801917,6.01775032811696,7.14756564597373,crovir-transcript-1029,RERE,FALSE,TRUE,RERE,TRUE,FALSE,TRUE
IKZF5_crovir-transcript-10426,6.09894066076595,6.62767274308048,8.24815791875981,6.27421954833013,6.18770108581324,6.48156220447566,7.98004052853656,8.12935054382167,6.68823014856661,crovir-transcript-10426,IKZF5,TRUE,TRUE,IKZF5,TRUE,FALSE,FALSE
SUFU_crovir-transcript-10545,3.93345898510746,3.58258617158208,4.88669754284887,3.77581124617969,3.89216636070402,3.12831535210855,4.39044902356647,4.38179143186989,4.61168589064662,crovir-transcript-10545,SUFU,FALSE,TRUE,SUFU,FALSE,FALSE,TRUE
LOC103067872_crovir-transcript-10728,3.12831535210855,4.21945648812805,6.63150074891306,3.12831535210855,4.19664840275317,3.12831535210855,4.93270588048961,7.71187103323045,3.98204608287748,crovir-transcript-10728,LOC103067872,TRUE,TRUE,HES6,TRUE,FALSE,TRUE
KLF13_crovir-transcript-11070,6.55457073243224,4.74856831236395,5.53373911505256,4.65539979345766,4.51956200617705,5.16642184607714,7.87626295977822,6.01775032811696,6.78274843116279,crovir-transcript-11070,KLF13,FALSE,TRUE,KLF13,TRUE,FALSE,FALSE
TSC22D4_crovir-transcript-11156,6.07886399672856,8.06653160384571,5.99353354036211,6.60439620334006,6.41942862349796,5.83945324628103,6.77455964974853,7.02269875866088,6.43611712879662,crovir-transcript-11156,TSC22D4,FALSE,TRUE,TSC22D4,TRUE,FALSE,FALSE
ZNF592_crovir-transcript-11170,6.21369979927494,6.420430522742,7.73116004039125,7.77830150684041,5.7810405270003304,7.19585680833899,7.51577962425443,8.21037613718102,8.36622670399113,crovir-transcript-11170,ZNF592,FALSE,TRUE,ZNF592,TRUE,FALSE,FALSE
PRDM2_crovir-transcript-11363,4.68322293351377,4.89633613812927,5.25032128948478,4.2321267594898,4.42297115126144,3.73724641090161,5.1744668413271,4.73087038008897,4.84269483978549,crovir-transcript-11363,PRDM2,FALSE,TRUE,PRDM2,TRUE,FALSE,FALSE
AEBP2_crovir-transcript-11366,8.1046909627735,8.5533740105830791,8.50754287554992,8.29722623870923,7.90218397460817,8.73740807286436,8.7959785610104,9.11606222819645,7.94277443389266,crovir-transcript-11366,AEBP2,FALSE,TRUE,AEBP2,TRUE,FALSE,TRUE
TLE1_crovir-transcript-11392,5.76223482838451,6.32821059203347,6.31766180790121,5.53247309039571,5.47990770171553,6.40205217289992,6.46883484897296,6.60749293815122,6.99121019853704,crovir-transcript-11392,TLE1,FALSE,TRUE,TLE1,FALSE,FALSE,TRUE
ZNF710_crovir-transcript-11397,6.09894066076595,5.98840477652305,7.00767687312124,6.65695707470423,5.60081150257988,6.25868993757038,6.71307608798275,7.09894560293539,6.92504910936649,crovir-transcript-11397,ZNF710,FALSE,TRUE,ZNF710,TRUE,FALSE,FALSE
ATF4_crovir-transcript-12088,11.8497263517122,11.7524755845727,12.4045376626586,11.9067677553314,11.9464014784337,11.9783110591492,12.2032373349112,11.8122399018379,11.362338212718,crovir-transcript-12088,ATF4,FALSE,TRUE,ATF4,TRUE,TRUE,FALSE
CREB3L2_crovir-transcript-12236,5.41667346169877,6.71491716441017,10.6504471771454,8.21257866326661,7.51306468739426,7.16428474618855,11.1741722697886,11.558300175463,7.67056532809734,crovir-transcript-12236,CREB3L2,TRUE,TRUE,CREB3L2,TRUE,FALSE,FALSE
CREB3L2_crovir-transcript-12236,5.41667346169877,6.71491716441017,10.6504471771454,8.21257866326661,7.51306468739426,7.16428474618855,11.1741722697886,11.558300175463,7.67056532809734,crovir-transcript-12236,CREB3L2,TRUE,TRUE,CREB3,TRUE,FALSE,FALSE
OVOL1_crovir-transcript-12399,3.12831535210855,3.12831535210855,5.53373911505256,4.39329059483255,4.05860235942908,5.02366186883288,5.05939489375973,4.68723756578265,4.19927457500298,crovir-transcript-12399,OVOL1,FALSE,TRUE,OVOL1,TRUE,FALSE,FALSE
FOSB_crovir-transcript-1248,7.93912173812056,7.26896794563155,8.34660044339557,3.12831535210855,5.19902840418558,6.34644485132583,9.67924917901157,8.20350863093015,3.67293531228728,crovir-transcript-1248,FOSB,TRUE,TRUE,FOSB,TRUE,FALSE,FALSE
PPP1R13L_crovir-transcript-1260,5.71041988439701,5.81613344736288,10.4634953681728,8.05617014581701,7.67268480622039,7.82927823294115,10.6418316156344,10.5027111410802,7.01965964696774,crovir-transcript-1260,PPP1R13L,TRUE,TRUE,PPP1R13L,FALSE,FALSE,TRUE
ARNT_crovir-transcript-12636,9.12090002047022,9.65753136449936,7.78393963909629,8.4821351535792,7.78380500099972,7.98162544811439,7.96887242147365,7.84589383904075,8.03246033141024,crovir-transcript-12636,ARNT,FALSE,TRUE,ARNT,TRUE,FALSE,TRUE
PURA_crovir-transcript-12918,4.84841733553478,4.5792652090294,6.5636675745612,5.20593690416076,4.69026951745005,3.12831535210855,6.40337272669704,5.56981325196094,6.06139435252747,crovir-transcript-12918,PURA,TRUE,TRUE,PURA,TRUE,FALSE,FALSE
PURA_crovir-transcript-12918,4.84841733553478,4.5792652090294,6.5636675745612,5.20593690416076,4.69026951745005,3.12831535210855,6.40337272669704,5.56981325196094,6.06139435252747,crovir-transcript-12918,PURA,TRUE,TRUE,PURB,TRUE,FALSE,FALSE
KAT6A_crovir-transcript-12928,7.21267027598403,7.06666082535732,9.31067959811505,8.44552068075083,7.62754988912155,7.72515758515935,9.82144226857036,9.89155352126584,8.72782552387577,crovir-transcript-12928,KAT6A,TRUE,TRUE,KAT6A,FALSE,FALSE,TRUE
MXD1_crovir-transcript-12992,3.12831535210855,5.25607556017481,6.72753915959431,5.84172988135003,5.63881822073815,5.29484467027701,8.76190306132031,8.32870081291887,7.03367483751483,crovir-transcript-12992,MXD1,TRUE,TRUE,MXD1,TRUE,FALSE,TRUE
FIGLA_crovir-transcript-12994,3.12831535210855,3.12831535210855,4.94558805823716,5.34640036387297,4.97079703398051,3.12831535210855,3.68044254518653,5.63451209467073,4.5681825950668,crovir-transcript-12994,FIGLA,FALSE,TRUE,FIGLA,TRUE,FALSE,FALSE
CREBRF_crovir-transcript-13972,4.68322293351377,4.89633613812927,5.88517045547471,5.88710377109254,6.11000908699143,5.71129510649823,6.34640326086582,5.67598980777843,5.96084223779634,crovir-transcript-13972,CREBRF,FALSE,TRUE,CREBRF,TRUE,FALSE,FALSE
SOX9_crovir-transcript-14372,6.21369979927494,5.67110697734128,9.53589534427263,9.06332193991384,9.72559506707408,8.66054231272052,10.0635251042127,10.1026682599712,8.77843860830354,crovir-transcript-14372,SOX9,FALSE,TRUE,SOX9,TRUE,FALSE,FALSE
BUD31_crovir-transcript-144,8.30512530096875,8.50556805499727,9.34616101017221,9.10146465486858,8.87329538458289,9.19606357983592,8.80437305184735,8.23078433128286,7.97570883837636,crovir-transcript-144,BUD31,FALSE,TRUE,BUD31,TRUE,FALSE,TRUE
NR4A1_crovir-transcript-14451,13.1876449964649,10.5063347243832,12.3646291727094,7.60298649622114,10.0650281711031,8.01731914769264,14.0367922199384,12.4878954386752,7.06129974298639,crovir-transcript-14451,NR4A1,FALSE,TRUE,NR4A1,TRUE,FALSE,FALSE
DDIT3_crovir-transcript-14617,10.0995572476501,8.56674655009806,8.95121768532137,7.89161017700932,8.20201147996504,9.46820293191593,9.45107808578707,10.3510752287269,6.73197250702665,crovir-transcript-14617,DDIT3,FALSE,TRUE,DDIT3,TRUE,FALSE,TRUE
CSRNP2_crovir-transcript-14714,6.79300869040755,8.08988736115274,7.27383449836128,6.60439620334006,7.07516815587037,7.01290189167774,7.4951458585656,7.12104919894322,6.93255350968638,crovir-transcript-14714,CSRNP2,FALSE,TRUE,CSRNP2,TRUE,FALSE,FALSE
MBD1_crovir-transcript-14772,7.73313642137152,7.5238299295183,9.66593450299772,7.62937908611926,7.31076908443522,7.51632610223066,9.60552981892091,10.0073863592806,8.15251852798134,crovir-transcript-14772,MBD1,TRUE,TRUE,MBD1,TRUE,FALSE,FALSE
HCFC1_crovir-transcript-14873,8.65792149595219,9.64655772816152,9.67193889255905,9.19703823065106,9.11448147149783,8.89429676839918,9.84400533470413,10.0433782832669,9.57721145265097,crovir-transcript-14873,HCFC1,FALSE,TRUE,HCFC1,TRUE,FALSE,TRUE
ZBTB6_crovir-transcript-1506,4.33842756310622,5.14713840589498,5.67223991092763,5.34640036387297,3.89216636070402,4.67608013262811,5.70946577896432,6.42903090857518,5.17716377345534,crovir-transcript-1506,ZBTB6,TRUE,TRUE,ZBTB6,TRUE,FALSE,FALSE
SP1_crovir-transcript-15064,6.15749577925167,6.5069980599646,7.1526895632906,6.4033825352752,6.44063684368896,6.31779667304954,8.12121730633837,7.96848728754867,8.58109183950083,crovir-transcript-15064,SP1,FALSE,TRUE,SP1,TRUE,FALSE,FALSE
