#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
CL:2190	mixed, incl. regulation of TOR signaling, and MAPK targets/ Nuclear events mediated by MAP kinases	14	196	0.94	9.71e-07	9606.ENSP00000212015,9606.ENSP00000215832,9606.ENSP00000245919,9606.ENSP00000264110,9606.ENSP00000296953,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000363377,9606.ENSP00000364349,9606.ENSP00000385824,9606.ENSP00000440864,9606.ENSP00000481956	SIRT1,MAPK1,FOSB,ATF2,CREBRF,FOS,CREB3L2,CREB3,JUN,FOXO4,ATF6B,FOXO3,NR4A1,CREB3L1
CL:2402	mixed, incl. MAPK targets/ Nuclear events mediated by MAP kinases, and bZIP transcription factor	10	90	1.13	2.19e-06	9606.ENSP00000245919,9606.ENSP00000264110,9606.ENSP00000296953,9606.ENSP00000306245,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000360266,9606.ENSP00000364349,9606.ENSP00000440864,9606.ENSP00000481956	FOSB,ATF2,CREBRF,FOS,CREB3L2,CREB3,JUN,ATF6B,NR4A1,CREB3L1
CL:11960	Transcriptional regulation of white adipocyte differentiation, and Zinc finger, C4 type (two domains)	10	97	1.1	2.82e-06	9606.ENSP00000254066,9606.ENSP00000297347,9606.ENSP00000302967,9606.ENSP00000324693,9606.ENSP00000360526,9606.ENSP00000361066,9606.ENSP00000368924,9606.ENSP00000384367,9606.ENSP00000399968,9606.ENSP00000477707	RARA,MED30,HDAC3,GRHL1,ZNF217,NCOA3,TFAP2A,KCTD1,NCOA2,NR1H3
CL:2528	CREB3 factors activate genes, and histone H3-S28 phosphorylation	5	10	1.78	8.92e-06	9606.ENSP00000296953,9606.ENSP00000329140,9606.ENSP00000342136,9606.ENSP00000364349,9606.ENSP00000481956	CREBRF,CREB3L2,CREB3,ATF6B,CREB3L1
CL:16736	nuclear DNA-directed RNA polymerase complex, and transcription elongation factor complex	11	180	0.87	3.97e-05	9606.ENSP00000225504,9606.ENSP00000256443,9606.ENSP00000278412,9606.ENSP00000283131,9606.ENSP00000328901,9606.ENSP00000355051,9606.ENSP00000356405,9606.ENSP00000367406,9606.ENSP00000369695,9606.ENSP00000370340,9606.ENSP00000380781	SUPT4H1,CDK7,SSRP1,SMARCA5,GTF2H2,TAF13,CDC73,TAF2,MLLT3,NFIB,NFIX
CL:14198	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	4	6	1.91	4.66e-05	9606.ENSP00000216037,9606.ENSP00000336790,9606.ENSP00000356919,9606.ENSP00000448665	XBP1,ATF4,ATF6,DDIT3
CL:11961	Transcriptional regulation of white adipocyte differentiation, and Zinc finger, C4 type (two domains)	8	87	1.05	4.74e-05	9606.ENSP00000254066,9606.ENSP00000297347,9606.ENSP00000302967,9606.ENSP00000324693,9606.ENSP00000360526,9606.ENSP00000361066,9606.ENSP00000399968,9606.ENSP00000477707	RARA,MED30,HDAC3,GRHL1,ZNF217,NCOA3,NCOA2,NR1H3
CL:2481	bZIP transcription factor, and Early growth response, N-terminal	5	18	1.53	4.74e-05	9606.ENSP00000245919,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000360266,9606.ENSP00000440864	FOSB,ATF2,FOS,JUN,NR4A1
CL:2482	AP-1 transcription factor, and Transcription factor Jun	4	12	1.6	0.00024	9606.ENSP00000245919,9606.ENSP00000264110,9606.ENSP00000306245,9606.ENSP00000360266	FOSB,ATF2,FOS,JUN
CL:16737	RNA Polymerase II Pre-transcription Events, and RNA polymerase II transcribes snRNA genes	8	126	0.88	0.00045	9606.ENSP00000225504,9606.ENSP00000256443,9606.ENSP00000278412,9606.ENSP00000328901,9606.ENSP00000355051,9606.ENSP00000356405,9606.ENSP00000367406,9606.ENSP00000369695	SUPT4H1,CDK7,SSRP1,GTF2H2,TAF13,CDC73,TAF2,MLLT3
