geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	userId
hsa05031	Amphetamine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05031+10488+1386+1388+23411+2353+2354+3065+3725+468+64764+90993	14	11	2.245614035087719	4.8984375	2.0358357011307504e-7	2.463361198368208e-5	10488;1386;1388;23411;2353;2354;3065;3725;468;64764;90993	SIRT1;ATF4;CREB3L2;CREB3;FOSB;ATF6B;HDAC1;JUN;FOS;CREB3L1;ATF2
hsa04915	Estrogen signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04915+10488+10499+1386+1388+2353+3725+468+5914+64764+6667+8202+90993	20	12	3.208020050125313	3.740625	4.957044956732659e-6	2.999012198823259e-4	10488;10499;1386;1388;2353;3725;468;5914;64764;6667;8202;90993	ATF4;CREB3L2;CREB3;ATF6B;SP1;RARA;NCOA2;NCOA3;JUN;FOS;CREB3L1;ATF2
hsa04728	Dopaminergic synapse	http://www.kegg.jp/kegg-bin/show_pathway?hsa04728+10488+1386+1388+2353+468+64764+90993+9575	12	8	1.9248120300751879	4.15625	8.557132723407967e-5	0.002286898603182763	10488;1386;1388;2353;468;64764;90993;9575	ATF4;CREB3L2;CREB3;ATF6B;CLOCK;FOS;CREB3L1;ATF2
hsa04925	Aldosterone synthesis and secretion	http://www.kegg.jp/kegg-bin/show_pathway?hsa04925+10488+1386+1388+3164+468+4929+64764+90993	12	8	1.9248120300751879	4.15625	8.557132723407967e-5	0.002286898603182763	10488;1386;1388;3164;468;4929;64764;90993	ATF4;CREB3L2;CREB3;ATF6B;NR4A1;CREB3L1;NR4A2;ATF2
hsa05034	Alcoholism	http://www.kegg.jp/kegg-bin/show_pathway?hsa05034+10488+1386+1388+2354+3065+468+64764+8841+90993	15	9	2.406015037593985	3.740625	9.449994228027947e-5	0.002286898603182763	10488;1386;1388;2354;3065;468;64764;8841;90993	ATF4;CREB3L2;CREB3;FOSB;ATF6B;HDAC1;HDAC3;CREB3L1;ATF2
hsa04261	Adrenergic signaling in cardiomyocytes	http://www.kegg.jp/kegg-bin/show_pathway?hsa04261+10488+1386+1388+1390+468+64764+90993	10	7	1.6040100250626566	4.3640625	1.6358551574668923e-4	0.0032989745675582327	10488;1386;1388;1390;468;64764;90993	ATF4;CREB3L2;CREB3;ATF6B;CREM;CREB3L1;ATF2
hsa05030	Cocaine addiction	http://www.kegg.jp/kegg-bin/show_pathway?hsa05030+10488+1386+1388+2354+3725+468+64764+90993	13	8	2.0852130325814535	3.8365384615384617	1.9412078889824436e-4	0.0033555164938125093	10488;1386;1388;2354;3725;468;64764;90993	ATF4;CREB3L2;CREB3;FOSB;ATF6B;JUN;CREB3L1;ATF2
hsa04141	Protein processing in endoplasmic reticulum	http://www.kegg.jp/kegg-bin/show_pathway?hsa04141+1388+1649+22926+468+64215+7494	8	6	1.2832080200501252	4.67578125	2.9685712446236856e-4	0.004347094263346563	1388;1649;22926;468;64215;7494	ATF4;ATF6B;DDIT3;XBP1;DNAJC1;ATF6
hsa04151	PI3K-Akt signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04151+10488+1386+1388+2309+3164+468+595+64764+90993	17	9	2.726817042606516	3.3005514705882355	3.4940967846108784e-4	0.004347094263346563	10488;1386;1388;2309;3164;468;595;64764;90993	ATF4;CREB3L2;CREB3;ATF6B;NR4A1;FOXO3;CREB3L1;CCND1;ATF2
hsa04926	Relaxin signaling pathway	http://www.kegg.jp/kegg-bin/show_pathway?hsa04926+10488+1386+1388+2353+3725+468+64764+90993	14	8	2.245614035087719	3.5625	3.9519038757696023e-4	0.004347094263346563	10488;1386;1388;2353;3725;468;64764;90993	ATF4;CREB3L2;CREB3;ATF6B;JUN;FOS;CREB3L1;ATF2
