>MA0151.1	Arid3a
>MA0004.1	Arnt
>MA1632.1	ATF2
>MA0833.2	ATF4
>MA1466.1	ATF6
>MA1471.1	BARX2
>MA0607.1	Bhlha15
>MA0819.1	CLOCK
>MA0638.1	CREB3
>MA0839.1	CREB3L1
>MA0608.1	Creb3l2
>MA0609.2	CREM
>MA0139.1	CTCF
>MA0881.1	Dlx4
>MA0598.3	EHF
>MA0136.2	ELF5
>MA0076.2	ELK4
>MA0760.1	ERF
>MA0820.1	FIGLA
>MA0476.1	FOS
>MA0846.1	FOXC2
>MA0042.2	FOXI1
>MA0157.2	FOXO3
>MA0848.1	FOXO4
>MA0736.1	GLIS2
>MA0647.1	GRHL1
>MA1105.2	GRHL2
>MA1493.1	HES6
>MA0488.1	JUN
>MA1512.1	KLF11
>MA0657.1	KLF13
>MA0741.1	KLF16
>MA0498.2	MEIS1
>MA0624.1	NFATC1
>MA0089.2	NFE2L1
>MA0670.1	NFIA
>MA1643.1	NFIB
>MA0671.1	NFIX
>MA1112.2	NR4A1
>MA0160.1	NR4A2
>MA1544.1	OVOL1
>MA1547.1	PITX2
>MA0163.1	PLAG1
>MA0628.1	POU6F1
>MA1550.1	PPARD
>MA0729.1	RARA
>MA0071.1	RORA
>MA1151.1	RORC
>MA0073.1	RREB1
>MA0442.2	SOX10
>MA0077.1	SOX9
>MA0079.4	SP1
>MA0686.1	SPDEF
>MA0595.1	SREBF1
>MA0596.1	SREBF2
>MA1566.1	TBX3
>MA0003.4	TFAP2A
>MA0691.1	TFAP4
>MA0861.1	TP73
>MA0844.1	XBP1
>MA1579.1	ZBTB26
>MA0527.1	ZBTB33
>MA1581.1	ZBTB6
>MA1655.1	ZNF341
>MA0752.1	ZNF410
>MA1657.1	ZNF652
>MA0753.2	ZNF740
