Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.15,0,0,39741,3,Down,48018,0.004293993386774,4,0,13159,10850,Down,9.513796151540512E-4,-1.72413407552621,-2.891581851832206,-3.021646158277642
MA0638.1,CREB3,0.14,1,0.3,876,0.1,Up,31259,0.515540669671906,4,1,13159,804,Up,0.223108552021743,-2.808415471968812,2.446905942495311,0.651483782362204
MA0136.2,ELF5,0.04,1,0.3,1440,0.1,Up,30211.5,0.608382396951251,4,1,13159,1316,Up,0.344088303948124,-2.453143874307504,1.736362747172695,0.463330089416614
MA1547.1,PITX2,0.14,0,0,17253,1.3,Down,44452,0.017012805516561,4,0,13159,9067,Down,0.009366598204823,-1.853626465262292,-2.632597072360041,-2.028418109125222
MA0647.1,GRHL1,0.09,0,0,286,0,Down,26600,0.970396385627283,4,0,13159,141,Down,0.999999999979884,-4.854541906275172,3.369233809665719,0.000000000008736
MA0498.2,MEIS1,0,1,0.3,1646,0.1,Up,29800.5,0.646739565968282,4,1,13159,1519,Up,0.387911505921016,-2.349699297569388,1.529473593696463,0.411267338513122
MA1512.1,KLF11,0.08,1,0.3,1057,0.1,Up,31039,0.534413646643167,4,1,13159,897,Up,0.246234617234933,-2.729505712975328,2.289086424508344,0.608650891220837
MA1655.1,ZNF341,0.02,1,0.3,874,0.1,Up,31211.5,0.519586037788494,4,1,13159,834,Up,0.23062589179603,-2.782005657649236,2.394086313856159,0.637091937141434
MA0729.1,RARA,0.1,0,0,3,0,Down,26324,0.999369991347849,4,0,13159,3,Down,0.999999999993667,-7.523193566662312,8.706537130439997,0.00000000000275
MA1550.1,PPARD,0.04,0,0,5,0,Down,26328,0.998949985773719,4,0,13159,5,Down,0.999999999989583,-7.197155218372465,8.054460433860305,0.000000000004524
MA0753.2,ZNF740,0.13,0,0,12712,1,Down,32696,0.401276546409129,4,0,13159,3189,Down,0.578332220306675,-2.607313746101406,-1.125222510681813,-0.237822611411446
MA0848.1,FOXO4,0.15,3,0.8,34987,2.7,Down,42580,0.032348622429683,4,2,13159,11460,Down,0.083741308689327,-0.523715796706943,-0.648562219696014,-1.077060256340512
MA1632.1,ATF2,0.15,0,0,3561,0.3,Down,32184,0.440135478150065,4,0,13159,2933,Down,0.581543768289434,-2.667667389355431,-1.004515224173764,-0.235417593727861
MA0073.1,RREB1,0.15,0,0,364,0,Down,27002,0.92827587751029,4,0,13159,342,Down,0.999999999978378,-4.216890938767169,2.093931874649712,0.00000000000939
MA0881.1,Dlx4,0.12,1,0.3,68714,5.2,Down,49556,0.00222733131568,4,1,13159,12154,Down,0.001688756201985,-0.849788314354895,-1.470348372732522,-2.772433043013447
MA0003.4,TFAP2A,0.15,6,1.5,4362,0.3,Up,40878.5,0.055344864563904,4,3,13159,2422,Up,0.021536905037049,-1.402053091511089,2.078966024252762,1.666816706883243
MA0476.1,FOS,0.15,0,0,16002,1.2,Down,40576,0.060607232008506,4,0,13159,7129,Down,0.044133436575672,-2.027078434179368,-2.285693134525891,-1.355232253659964
MA1112.2,NR4A1,0.13,0,0,5093,0.4,Down,34538,0.279363451321232,4,0,13159,4110,Down,0.316914577601344,-2.42432193857126,-1.491206125742105,-0.499057783447083
MA0609.2,CREM,0.04,0,0,226,0,Down,26522,0.978582276354138,4,0,13159,102,Down,0.999999999974189,-5.087130977938391,3.834411952992155,0.00000000001121
MA0760.1,ERF,0,1,0.3,35,0,Up,32830.5,0.3914207158533,4,1,13159,33,Up,0.010293197307969,-5.101345182101649,7.032765362760984,1.987449702251768
MA0151.1,Arid3a,0,0,0,19241,1.5,Down,44226,0.018438666303166,4,0,13159,8954,Down,0.010444193059545,-1.862672446622364,-2.614505109639897,-1.981125108898097
MA0736.1,GLIS2,0.1,0,0,233,0,Down,26764,0.953196226141107,4,0,13159,223,Down,0.99999999999466,-4.524805517099455,2.709761031314283,0.000000000002319
MA1657.1,ZNF652,0.14,0,0,3473,0.3,Down,32266,0.433770620217015,4,0,13159,2974,Down,0.580775926066249,-2.657655296216111,-1.024539410452403,-0.235991394018144
MA0163.1,PLAG1,0.06,0,0,17,0,Down,26352,0.996429962512324,4,0,13159,17,Down,0.999999999969204,-6.36222951921863,6.384609035552636,0.000000000013375
MA1544.1,OVOL1,0.12,1,0.3,1019,0.1,Up,30961,0.541187732457285,4,1,13159,954,Up,0.260151038742376,-2.685089083628566,2.20025316581482,0.584774435694597
MA0019.1,Ddit3::Cebpa,0.12,1,0.3,11309,0.9,Down,35132.5,0.246054308791511,4,1,13159,6963,Down,0.348508025453852,-1.251591326541836,-0.66674234835864,-0.45778721650373
MA0846.1,FOXC2,0.11,0,0,11648,0.9,Down,40058,0.070578283977782,4,0,13159,6870,Down,0.052214993726956,-2.053771337929226,-2.232307327026174,-1.282204769835621
MA0527.1,ZBTB33,0.07,0,0,272,0,Down,26726,0.957179982553522,4,0,13159,204,Down,0.99999999998205,-4.588892511220239,2.837935019555852,0.000000000007795
MA0157.2,FOXO3,0.15,1,0.3,13726,1,Down,37556,0.139162068044697,4,1,13159,7976,Down,0.307140488578765,-1.153619711669085,-0.862685578104144,-0.512662929218638
MA0042.2,FOXI1,0.15,1,0.3,14644,1.1,Down,38087.5,0.12141443829947,4,1,13159,8167,Down,0.156332938675621,-1.136550360167822,-0.896824281106668,-0.805949508366303
PH0082.1,Irx2,0.15,0,0,7047,0.5,Down,33082,0.373390135234423,4,0,13159,3382,Down,0.578275717285369,-2.564933918259164,-1.209982166366299,-0.237865044027695
MA0691.1,TFAP4,0.06,1,0.3,2944,0.2,Up,28861,0.737882857187526,4,1,13159,1772,Up,0.439411027988661,-2.238604821267096,1.307284641091879,0.357129047701077
MA0089.2,NFE2L1,0.1,0,0,96,0,Down,26510,0.979841865983715,4,0,13159,96,Down,0.999999999980584,-5.130642509057074,3.921435015229521,0.000000000008432
MA0844.1,XBP1,0.04,0,0,48,0,Down,26414,0.989920128655834,4,0,13159,48,Down,0.999999999993613,-5.626914606597549,4.913979210310472,0.000000000002774
MA0861.1,TP73,0.05,0,0,6,0,Down,26328,0.998949985773719,4,0,13159,5,Down,0.999999999989583,-7.197155218372465,8.054460433860305,0.000000000004524
MA0819.1,CLOCK,0.07,2,0.5,1225,0.1,Up,37680,0.134852603237919,4,2,13159,628,Up,0.012866002279941,-2.618022513037178,3.540051212964456,1.890556375975763
MA0079.4,SP1,0.14,0,0,1351,0.1,Down,28548,0.769164787204841,4,0,13159,1115,Down,0.999999999985314,-3.365133628569043,0.390417254253461,0.000000000006378
MA1581.1,ZBTB6,0.11,1,0.3,1585,0.1,Up,29939.5,0.633655034919614,4,1,13159,1447,Up,0.37262794005239,-2.384715960892236,1.599506920342158,0.42872458434142
MA1579.1,ZBTB26,0.02,0,0,3552,0.3,Down,32420,0.421962011594583,4,0,13159,3051,Down,0.579599736347523,-2.639219590154418,-1.06141082257579,-0.236871820755801
MA0076.2,ELK4,0.01,1,0.3,136,0,Up,32631.5,0.406055337791134,4,1,13159,132,Up,0.03981234795342,-4.109465502605254,5.049006003768195,1.399982208923193
MA0139.1,CTCF,0.13,1,0.3,754,0.1,Up,31464,0.498271075366321,4,1,13159,707,Up,0.198425030450769,-2.901096608470913,2.632268215499512,0.702403544374474
MA0686.1,SPDEF,0.12,3,0.8,981,0.1,Up,44157.5,0.018891010391903,4,3,13159,882,Up,0.001150939722056,-2.13046733258304,3.535794506396663,2.938947420995751
MA1105.2,GRHL2,0.11,0,0,856,0.1,Down,27952,0.829740746435014,4,0,13159,817,Down,1.000000000013658,-3.589333567498391,0.838817132112156,-0.000000000005932
MA0494.1,Nr1h3::Rxra,0.1,0,0,261,0,Down,26766,0.952986586268078,4,0,13159,224,Down,0.999999999975472,-4.52158521032054,2.703320417756454,0.000000000010652
MA0071.1,RORA,0.03,1,0.3,1796,0.1,Up,29507,0.674725243664095,4,1,13159,1664,Up,0.417841798482862,-2.283953199760403,1.397981398078494,0.378988117868215
MA0596.1,SREBF2,0.11,2,0.5,3853,0.3,Up,32441,0.4203664775749,4,2,13159,3265,Up,0.258661348684072,-1.42936288379275,1.162731954475601,0.587268462305176
MA0671.1,NFIX,0.02,0,0,21694,1.6,Down,46670,0.007399265814464,4,0,13159,10176,Down,0.002647565017669,-1.770394107350467,-2.799061788183692,-2.577153365887919
MA0595.1,SREBF1,0.11,0,0,4208,0.3,Down,33312,0.35735904687909,4,0,13159,3497,Down,0.579138064721777,-2.540816856665055,-1.258216289554515,-0.237217889469426
MA0145.2,Tcfcp2l1,0.06,2,0.5,801,0.1,Up,37933,0.126380569283039,4,2,13159,744,Up,0.017827255826872,-2.495842960956382,3.295692108802864,1.748915503205368
MA0833.2,ATF4,0.1,0,0,2520,0.2,Down,30810,0.554422382380321,4,0,13159,2246,Down,0.99999999997748,-2.860139354429394,-0.619571294025837,-0.00000000000978
