Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.15,0,0,39741,3,Down,96036,5.391378359831389E-5,8,0,13159,10850,Down,9.102975150297394E-7,-2.182902995430223,-3.809119691640233,-6.0408166428234
MA0638.1,CREB3,0.08,0,0,170,0,Down,53292,0.951331428201367,8,0,13159,164,Down,0.99999999999709,-5.204668060727506,2.234410438954333,0.000000000001264
MA0136.2,ELF5,0.05,5,0.6,2868,0.2,Up,74793.5,0.039250072591218,8,5,13159,2465,Up,0.007816340495725,-1.522091869525918,1.788121293825752,2.106996530124306
MA1547.1,PITX2,0.15,1,0.1,42742,3.2,Down,97916,2.521176306713446E-5,8,1,13159,11729,Down,1.317729589991272E-6,-1.334231749408108,-2.336537182242151,-5.880173701747657
MA0647.1,GRHL1,0.15,0,0,3430,0.3,Down,59352,0.532060831633314,8,0,13159,1679,Down,0.607276703855993,-3.528731907477878,-1.117461867544924,-0.216613378816263
MA0498.2,MEIS1,0.01,15,1.9,25495,1.9,Down,56684,0.706448673337755,8,8,13159,10679,Up,0.366210334554483,-0.150630285424374,0.301260570848747,0.436269403953889
MA1655.1,ZNF341,0.15,1,0.1,9891,0.8,Down,74339,0.043459331097523,8,1,13159,6778,Down,0.034015216087161,-1.729783526038469,-1.545433628981429,-1.468326765768726
MA1512.1,KLF11,0.15,0,0,7569,0.6,Down,71004,0.087455261004612,8,0,13159,4592,Down,0.057140203757649,-2.803107944595771,-2.568709793309138,-1.24305821528921
MA0729.1,RARA,0.14,0,0,7,0,Down,52664,0.997921395425559,8,0,13159,7,Down,0.999999999985804,-7.432194649790868,6.689463617081056,0.000000000006165
MA1550.1,PPARD,0.04,0,0,5,0,Down,52656,0.998515281624259,8,0,13159,5,Down,0.999999999994982,-7.655924138276478,7.136922594052278,0.000000000002179
MA0753.2,ZNF740,0.15,0,0,16147,1.2,Down,67380,0.170126886774752,8,0,13159,3686,Down,0.115902805484956,-2.961621926779221,-2.251681828942238,-0.935906051595599
MA0848.1,FOXO4,0.1,0,0,11007,0.8,Down,80084,0.0106557861673,8,0,13159,6862,Down,0.002757911498563,-2.513380683205165,-3.148164316090349,-2.559419674455396
MA1632.1,ATF2,0.15,0,0,3561,0.3,Down,64368,0.275027961960218,8,0,13159,2933,Down,0.212606115627846,-3.126436309259444,-1.922053063981791,-0.67242424712586
MA0073.1,RREB1,0.05,0,0,5,0,Down,52656,0.998515281624259,8,0,13159,5,Down,0.999999999994982,-7.655924138276478,7.136922594052278,0.000000000002179
MA0881.1,Dlx4,0.13,6,0.8,92763,7,Down,97410.5,3.101764398349971E-5,8,3,13159,12370,Down,3.784760191358899E-5,-0.684654390088692,-1.190907058208087,-4.421961632906036
MA0003.4,TFAP2A,0.15,0,0,4362,0.3,Down,62324,0.367385771363104,8,0,13159,2422,Down,0.365386687865486,-3.264499472443905,-1.645926737612869,-0.437247279347677
MA0476.1,FOS,0.14,0,0,14701,1.1,Down,79524,0.01236035397548,8,0,13159,6722,Down,0.003287947691709,-2.528248880215009,-3.118427922070662,-2.483075100311633
MA1112.2,NR4A1,0.15,9,1.1,10961,0.8,Up,66716.5,0.190174347469077,8,7,13159,7138,Up,0.078213129826177,-0.531492029850043,0.701839568416444,1.106720334761019
MA0609.2,CREM,0.08,0,0,318,0,Down,53220,0.95666752187845,8,0,13159,146,Down,0.999999999997105,-5.288261520384003,2.401597358267327,0.000000000001257
MA0760.1,ERF,0.15,0,0,3850,0.3,Down,65304,0.238540306912197,8,0,13159,3167,Down,0.21166598294377,-3.071075495581041,-2.032774691338598,-0.674348932282304
MA0151.1,Arid3a,0.04,0,0,30967,2.4,Down,95936,5.609223149682929E-5,8,0,13159,10825,Down,9.920335424627164E-7,-2.184566927521693,-3.805791827457294,-6.003473643309339
MA0736.1,GLIS2,0.15,0,0,3117,0.2,Down,61228,0.424053814089288,8,0,13159,2148,Down,0.36870562768613,-3.351082916708157,-1.472759849084365,-0.433320233550977
MA1657.1,ZNF652,0.15,0,0,4420,0.3,Down,67136,0.177306706814169,8,0,13159,3625,Down,0.116802169439023,-2.973657818351757,-2.227610045797165,-0.932549090728357
MA0163.1,PLAG1,0.15,0,0,798,0.1,Down,55224,0.809717836465042,8,0,13159,647,Down,0.999999999993652,-4.216271756308169,0.257617830115658,0.000000000002757
MA0019.1,Ddit3::Cebpa,0.13,1,0.1,13313,1,Down,78645.5,0.015522667993809,8,1,13159,7696,Down,0.01085425128669,-1.638165291778262,-1.728670097501842,-1.964400128291868
MA1544.1,OVOL1,0.02,0,0,51,0,Down,52840,0.984856773067942,8,0,13159,51,Down,0.999999999982406,-6.042389684003519,3.909853685506357,0.000000000007641
MA0846.1,FOXC2,0.11,0,0,11648,0.9,Down,80116,0.010565021949124,8,0,13159,6870,Down,0.002730025429867,-2.512540257833239,-3.149845166834201,-2.563833307538144
MA0527.1,ZBTB33,0,0,0,0,0,Up,52636,1,8,0,13159,0,Up,1,-9.385639947595127,10.596354212689576,-0
MA0157.2,FOXO3,0.15,1,0.1,13726,1,Down,79826,0.011413268316244,8,1,13159,7976,Down,0.007731884128842,-1.612388631573098,-1.780223417912171,-2.111714662996017
MA0042.2,FOXI1,0.15,9,1.1,14644,1.1,Up,59756,0.50768172890784,8,8,13159,8167,Up,0.028058006114199,-0.344069109807244,0.688138219614488,1.551943194475442
PH0082.1,Irx2,0.13,0,0,4925,0.4,Down,61896,0.388929978568655,8,0,13159,2315,Down,0.365220438428965,-3.29708592674328,-1.580753829014119,-0.437444926514118
MA0691.1,TFAP4,0.11,16,2,10177,0.8,Up,85876,0.001983564403566,8,8,13159,4097,Up,8.883215858328761E-5,-0.841644409976546,1.683288819953093,4.051429784593498
MA0089.2,NFE2L1,0,0,0,0,0,Up,52636,1,8,0,13159,0,Up,1,-9.385639947595127,10.596354212689576,-0
MA0844.1,XBP1,0.02,0,0,4,0,Down,52652,0.998812225052637,8,0,13159,4,Down,0.999999999997949,-7.80067744687397,7.426429211247262,0.000000000000891
MA0861.1,TP73,0.05,0,0,6,0,Down,52656,0.998515281624259,8,0,13159,5,Down,0.999999999994982,-7.655924138276478,7.136922594052278,0.000000000002179
MA0819.1,CLOCK,0.11,0,0,3582,0.3,Down,58976,0.555271227886842,8,0,13159,1585,Down,0.607494617975477,-3.570278866543207,-1.034367949414265,-0.216457565291635
MA0079.4,SP1,0,0,0,0,0,Up,52636,1,8,0,13159,0,Up,1,-9.385639947595127,10.596354212689576,-0
MA1581.1,ZBTB6,0.15,0,0,6815,0.5,Down,72664,0.062402530340996,8,0,13159,5007,Down,0.027854649805637,-2.740702547245092,-2.693520588010496,-1.555102297209403
MA1579.1,ZBTB26,0.06,0,0,9702,0.7,Down,79144,0.013650539243801,8,0,13159,6627,Down,0.003696501962759,-2.538515422717816,-3.097894837065047,-2.432209058865884
MA0076.2,ELK4,0.12,5,0.6,6371,0.5,Up,64423,0.27278391132865,8,5,13159,4422,Up,0.128513315646944,-1.100600924487568,0.945139403749051,0.891051871458071
MA0139.1,CTCF,0.08,0,0,150,0,Down,53212,0.957260545460363,8,0,13159,144,Down,0.999999999990772,-5.298177106344788,2.421428530188896,0.000000000004008
MA0686.1,SPDEF,0.15,0,0,1779,0.1,Down,58644,0.576168402239892,8,0,13159,1502,Down,0.608978925311062,-3.609065309795853,-0.956795062908974,-0.215397736561677
MA1105.2,GRHL2,0.13,1,0.1,4870,0.4,Down,62491,0.359185160274391,8,1,13159,4015,Down,0.44867728505097,-2.107476735053582,-0.790047210951204,-0.348065916708804
MA0494.1,Nr1h3::Rxra,0.14,0,0,691,0.1,Down,55096,0.818961555074093,8,0,13159,615,Down,0.999999999998574,-4.252832424352898,0.330739166205117,0.000000000000619
MA0071.1,RORA,0.13,0,0,11266,0.9,Down,81224,0.007817417254601,8,0,13159,7147,Down,0.001904496359426,-2.484028447835896,-3.206868786828887,-2.720219853185552
MA0596.1,SREBF2,0.06,8,1,967,0.1,Up,101420,5.654544641076065E-6,8,8,13159,917,Up,5.767412397417614E-10,-1.921126353104669,3.842252706209339,9.239018993357726
MA0671.1,NFIX,0.01,0,0,8958,0.7,Down,77856,0.018950995696425,8,0,13159,6305,Down,0.008188688627543,-2.574442417852541,-3.026040846795596,-2.086785642491402
MA0595.1,SREBF1,0.07,8,1,1261,0.1,Up,100248,9.429115635950502E-6,8,8,13159,1179,Up,4.269417415264042E-9,-1.739928675350226,3.479857350700451,8.369631382726215
MA0145.2,Tcfcp2l1,0.03,6,0.8,100,0,Up,91715,2.769597015078729E-4,8,6,13159,98,Up,5.802268228767412E-12,-3.724394178796393,6.67474211137429,11.236402198390824
MA0833.2,ATF4,0.11,0,0,2678,0.2,Down,62092,0.378970098097175,8,0,13159,2364,Down,0.365073608232147,-3.281980234366225,-1.61096521376823,-0.43761956177345
MA0628.1,POU6F1,0.04,0,0,11616,0.9,Down,69760,0.111107763663294,8,0,13159,4281,Down,0.060218309223251,-2.853689642530679,-2.46754639743932,-1.220271442534994
MA0442.2,SOX10,0.02,1,0.1,10320,0.8,Down,75068,0.036879523733293,8,1,13159,6935,Down,0.030796963206236,-1.71326660775179,-1.578467465554787,-1.511492105830614
MA0820.1,FIGLA,0.1,20,2.5,14898,1.1,Up,86112,0.001841696261014,8,8,13159,6834,Up,0.008134089477577,-0.472598486308912,0.945196972617824,2.089691054527419
MA0670.1,NFIA,0.01,0,0,8949,0.7,Down,77848,0.018988880407381,8,0,13159,6303,Down,0.008194376093356,-2.574671253613186,-3.025583175274306,-2.086484107319555
MA0004.1,Arnt,0.08,0,0,5796,0.4,Down,65780,0.221355893206284,8,0,13159,3286,Down,0.213655044806346,-3.044471812739438,-2.085982057021805,-0.670286848198096
MA1466.1,ATF6,0.06,0,0,20,0,Down,52716,0.994061177907207,8,0,13159,20,Down,0.999999999982858,-6.706863945286085,5.238802208071491,0.000000000007445
MA0488.1,JUN,0.1,7,0.9,1886,0.1,Up,91353.5,3.153968798991214E-4,8,7,13159,1658,Up,3.639678564961381E-6,-1.584363001396856,2.807581511510071,5.438936968995888
MA0741.1,KLF16,0.15,0,0,21264,1.6,Down,78600,0.01570430444549,8,0,13159,6491,Down,0.007839053592595,-2.553471864108895,-3.06798195428289,-2.105736366438494
MA0077.1,SOX9,0.07,0,0,6406,0.5,Down,72296,0.067371798292672,8,0,13159,4915,Down,0.029197858434144,-2.754078718463169,-2.666768245574342,-1.53464900144
MA0608.1,Creb3l2,0.11,0,0,2824,0.2,Down,59484,0.524030638543951,8,0,13159,1712,Down,0.607542975476754,-3.514695811227501,-1.145534060045677,-0.216422996162108
MA1127.1,FOSB,0.06,0,0,254,0,Down,53220,0.95666752187845,8,0,13159,146,Down,0.999999999997105,-5.288261520384003,2.401597358267327,0.000000000001257
