Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.14,9,0.9,34461,2.6,Down,96385,0.010913479671901,10,5,13159,10486,Down,0.035005256677121,-0.630228618859608,-0.60531437056371,-1.455866733522714
MA0638.1,CREB3,0.12,1,0.1,573,0,Up,69669,0.747177306390431,10,1,13159,538,Up,0.341672245638908,-3.709184720726656,1.803659597338102,0.466390297921808
MA0136.2,ELF5,0.07,3,0.3,9804,0.7,Down,81637.5,0.187407552021909,10,3,13159,6428,Down,0.344900432283413,-1.309256562880434,-0.551411875681446,-0.462306261306187
MA0647.1,GRHL1,0.06,4,0.4,139,0,Up,85075.5,0.108632477538401,10,3,13159,84,Up,3.232124514485804E-5,-4.433950059189444,5.697975116936574,4.490511916798294
MA1547.1,PITX2,0.13,1,0.1,14176,1.1,Down,102105,0.002515837804131,10,1,13159,8190,Down,0.001035673180738,-1.745718082768628,-2.123273678577952,-2.984777269875038
MA0498.2,MEIS1,0.01,9,0.9,25495,1.9,Down,92197,0.028022952966774,10,6,13159,10679,Down,0.101621674025782,-0.496569137743208,-0.390617133788921,-0.993013655182745
MA1655.1,ZNF341,0.15,1,0.1,9891,0.8,Down,94276,0.017789875940823,10,1,13159,6778,Down,0.009682476589108,-1.882210816802679,-1.85028821050985,-2.014013544404723
MA1512.1,KLF11,0.15,0,0,7569,0.6,Down,88755,0.05606256638013,10,0,13159,4592,Down,0.01839099214278,-2.955535235359982,-2.873564374837558,-1.735394841152783
MA0729.1,RARA,0.14,0,0,7,0,Down,65830,0.997676226557829,10,0,13159,7,Down,0.999999999970023,-7.584621940555078,6.384609035552636,0.000000000013019
MA1550.1,PPARD,0.04,0,0,5,0,Down,65820,0.998340160677709,10,0,13159,5,Down,0.999999999982078,-7.808351429040688,6.832068012523857,0.000000000007783
MA0753.2,ZNF740,0.15,0,0,16147,1.2,Down,84225,0.125128499117776,10,0,13159,3686,Down,0.071527659395584,-3.114049217543431,-2.556536410470658,-1.145525986170636
MA0848.1,FOXO4,0.13,8,0.8,19352,1.5,Down,83183,0.14792735308361,10,6,13159,9362,Down,0.488019083645532,-0.591508330172053,-0.20073874893123,-0.311563194882739
MA1632.1,ATF2,0.15,0,0,3561,0.3,Down,80460,0.222349308437275,10,0,13159,2933,Down,0.130595563932418,-3.278863600023655,-2.226907645510212,-0.884071574916936
MA0073.1,RREB1,0.05,0,0,5,0,Down,65820,0.998340160677709,10,0,13159,5,Down,0.999999999982078,-7.808351429040688,6.832068012523857,0.000000000007783
MA0881.1,Dlx4,0.01,1,0.1,8854,0.7,Down,90845.5,0.037114365113953,10,1,13159,6124,Down,0.02446049648128,-1.955397811525605,-1.703914221063998,-1.611534732218293
MA0003.4,TFAP2A,0.15,0,0,4362,0.3,Down,77905,0.313599422411843,10,0,13159,2422,Down,0.22512322181073,-3.416926763208115,-1.95078131914129,-0.647579704537042
MA0476.1,FOS,0.14,0,0,14701,1.1,Down,99405,0.005161826704702,10,0,13159,6722,Down,7.879528951065024E-4,-2.680676170979219,-3.423282503599082,-3.103499744447995
MA0609.2,CREM,0.08,0,0,318,0,Down,66525,0.951562447202987,10,0,13159,146,Down,0.99999999997866,-5.440688811148213,2.096742776738906,0.000000000009268
MA1112.2,NR4A1,0.15,0,0,10961,0.8,Down,101485,0.002979562990846,10,0,13159,7138,Down,4.042104440073103E-4,-2.637364618418513,-3.509905608720495,-3.393392469355733
MA0760.1,ERF,0.15,0,0,3850,0.3,Down,81630,0.187616476923977,10,0,13159,3167,Down,0.131241663762301,-3.223502786345251,-2.337629272867018,-0.881928272661132
MA0151.1,Arid3a,0,3,0.3,19241,1.5,Down,98757,0.006091109100541,10,3,13159,8954,Down,0.015424668861673,-1.070191196261786,-1.029542608918741,-1.811784150671815
MA1657.1,ZNF652,0.15,1,0.1,4420,0.3,Down,77681.5,0.322614123015929,10,1,13159,3625,Down,0.302728762047938,-2.33360385875539,-0.947502126604429,-0.518946315068208
MA0736.1,GLIS2,0.15,0,0,3117,0.2,Down,76535,0.371483729888598,10,0,13159,2148,Down,0.383277056513178,-3.503510207472368,-1.777614430612785,-0.416487177426975
MA0163.1,PLAG1,0.04,0,0,4,0,Down,65815,0.998672128197373,10,0,13159,4,Down,0.999999999983741,-7.95310473763818,7.121574629718841,0.000000000007061
MA0019.1,Ddit3::Cebpa,0.12,3,0.3,11309,0.9,Down,87412,0.072051086426092,10,2,13159,6963,Down,0.054008550813948,-1.494304740126957,-1.152169175528882,-1.267537475782119
MA1544.1,OVOL1,0.15,0,0,1344,0.1,Down,71940,0.60911430938226,10,0,13159,1229,Down,0.613421677217615,-3.906139228561296,-0.972356388434929,-0.212240880897307
MA0846.1,FOXC2,0.11,3,0.3,11648,0.9,Down,84875,0.112357321322672,10,3,13159,6870,Down,0.20997868623541,-1.261290087568647,-0.647344826305018,-0.677824785838079
MA0527.1,ZBTB33,0.08,0,0,346,0,Down,67165,0.909237375631665,10,0,13159,274,Down,0.999999999994742,-4.987736068856738,1.190837292155955,0.000000000002284
MA0157.2,FOXO3,0.14,7,0.7,9830,0.7,Down,68334.5,0.832639890744795,10,6,13159,6530,Up,0.545764897319169,-0.851358509838726,0.318961610402116,0.262994400858935
MA0042.2,FOXI1,0.15,2,0.2,14644,1.1,Down,97501,0.008331750453835,10,2,13159,8167,Down,0.008535894033746,-1.379263773752943,-1.38225110827691,-2.068750984966552
PH0082.1,Irx2,0.03,6,0.6,498,0,Up,84284.5,0.123914327675706,10,3,13159,254,Up,7.964353894505144E-4,-3.638628854292687,4.107332707143062,3.09884945042564
MA0691.1,TFAP4,0.07,7,0.7,4300,0.3,Up,85378,0.103198364994862,10,5,13159,2164,Up,0.014672922108828,-1.768442386434511,1.671113164586096,1.833483387904152
MA0089.2,NFE2L1,0.06,0,0,27,0,Down,65930,0.991037049707504,10,0,13159,27,Down,0.999999999995813,-6.647387381597007,4.510139917636494,0.000000000001818
MA0844.1,XBP1,0.02,0,0,4,0,Down,65815,0.998672128197373,10,0,13159,4,Down,0.999999999983741,-7.95310473763818,7.121574629718841,0.000000000007061
MA0861.1,TP73,0.12,0,0,329,0,Down,67040,0.917487566104342,10,0,13159,249,Down,0.999999999972643,-5.056619235690706,1.328603625823893,0.000000000011881
MA0819.1,CLOCK,0.09,0,0,2874,0.2,Down,73105,0.543001661046964,10,0,13159,1462,Down,0.614895549441702,-3.780956783680272,-1.222721278196976,-0.211198650328103
MA0079.4,SP1,0.15,0,0,1499,0.1,Down,71875,0.612906250008517,10,0,13159,1216,Down,0.6137451472618,-3.913806935890123,-0.957020973777276,-0.212011928719491
MA1581.1,ZBTB6,0.15,1,0.1,6815,0.5,Down,84933.5,0.111260262329064,10,1,13159,5007,Down,0.100995588363113,-2.100648587648724,-1.413412668817761,-0.995697596429251
MA1579.1,ZBTB26,0.02,17,1.7,3552,0.3,Up,115921.5,3.030935398418144E-5,10,9,13159,3051,Up,1.548662964673861E-5,-1.126452044100849,1.964124269531348,4.810043087411044
MA0076.2,ELK4,0.12,3,0.3,6371,0.5,Down,74095,0.489779151958197,10,2,13159,4422,Down,0.511406768389559,-1.821779977126746,-0.497218701529305,-0.291233528451285
MA0139.1,CTCF,0.15,0,0,1366,0.1,Down,71970,0.607367710279723,10,0,13159,1235,Down,0.613288333748213,-3.902627590694945,-0.979379664167631,-0.212335296582627
MA0686.1,SPDEF,0.14,0,0,1496,0.1,Down,72285,0.589165107893877,10,0,13159,1298,Down,0.612475204139032,-3.866752089020133,-1.051130667517254,-0.212911488879468
MA1105.2,GRHL2,0.14,10,1,5268,0.4,Up,89724,0.046460940408605,10,6,13159,4166,Up,0.082918405194608,-1.175537246908875,0.967319084542413,1.081349059470628
MA0494.1,Nr1h3::Rxra,0.14,0,0,691,0.1,Down,68870,0.798045741202365,10,0,13159,615,Down,0.999999999994681,-4.405259715117109,0.025884584676696,0.00000000000231
MA0071.1,RORA,0.12,1,0.1,9271,0.7,Down,91870.5,0.030022291172281,10,1,13159,6315,Down,0.022463241161784,-1.933245367104291,-1.748219109906626,-1.648527580348741
MA0596.1,SREBF2,0.15,1,0.1,11193,0.9,Down,96883,0.009684463993811,10,1,13159,7249,Down,0.006996080432686,-1.833753097924319,-1.947203648266572,-2.155145206158614
MA0671.1,NFIX,0.1,55,5.5,94429,7.2,Down,81203,0.1997965292777,10,9,13159,12910,Down,0.174471115076416,-0.085974854532056,-0.116830109606238,-0.758276463268043
MA0595.1,SREBF1,0.15,1,0.1,11963,0.9,Down,96733,0.010040980672314,10,1,13159,7196,Down,0.007157843606925,-1.839046132691188,-1.936617578732832,-2.145217794824425
MA0145.2,Tcfcp2l1,0.08,0,0,2152,0.2,Down,74770,0.455167228433606,10,0,13159,1795,Down,0.376363942602527,-3.632982269527008,-1.518670306503505,-0.424391990661512
MA0833.2,ATF4,0.04,6,0.6,372,0,Up,103430,0.001738056461788,10,6,13159,363,Up,8.877375990220346E-8,-2.934941602328994,4.486127795382652,7.051715385727465
MA0628.1,POU6F1,0.01,2,0.2,1860,0.1,Up,68076.5,0.849427988158105,10,1,13159,853,Up,0.488655932773904,-3.37696231648489,1.139214788854572,0.310996824090396
MA0442.2,SOX10,0.01,15,1.5,3557,0.3,Up,120306.5,5.732726702012414E-6,10,10,13159,3042,Up,4.419688169828876E-7,-1.056387753169411,2.112775506338823,6.354608371126016
MA0670.1,NFIA,0.01,4,0.4,8949,0.7,Down,75098,0.438858750843854,10,4,13159,6303,Down,0.755992661437966,-1.142136043656241,-0.160512755360414,-0.121482420256023
MA0820.1,FIGLA,0.14,19,1.9,37967,2.9,Down,81260.5,0.198123508998391,10,6,13159,11315,Down,0.040210395423487,-0.454841022196946,-0.474073364881444,-1.395661656084007
MA0004.1,Arnt,0.1,15,1.5,8613,0.7,Up,100023.5,0.004396395230837,10,9,13159,4988,Up,0.001069717635587,-0.771908302054634,1.255036785438919,2.970730844267721
MA1466.1,ATF6,0.15,0,0,234,0,Down,66920,0.925416128466536,10,0,13159,225,Down,0.999999999983551,-5.129575426731647,1.474516007905773,0.000000000007144
MA0488.1,JUN,0.04,5,0.5,154,0,Up,97962.5,0.00743458383741,10,5,13159,138,Up,3.395522892563649E-8,-3.751480346016095,5.637189083749263,7.46909333718058
MA0741.1,KLF16,0.15,0,0,21264,1.6,Down,98250,0.006920463816995,10,0,13159,6491,Down,0.001964160178001,-2.705899154873105,-3.372836535811311,-2.706823098226643
MA0077.1,SOX9,0.1,22,2.2,17181,1.3,Up,95584,0.013182366285559,10,10,13159,8888,Up,0.036532811734016,-0.28304639756078,0.56609279512156,1.437316901191453
