Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.15,0,0,795,0.6,Down,3540,0.203436860720217,4,0,1294,476,Down,0.303063895755331,-2.305885923716241,-1.728078155452143,-0.518465798400355
MA0638.1,CREB3,0.02,0,0,4,0,Down,2596,0.991472716647191,4,0,1294,4,Down,0.999999999998588,-5.669089624950057,4.998329247015487,0.000000000000613
MA0136.2,ELF5,0.02,1,0.3,41,0,Up,3154.5,0.449161648119065,4,1,1294,40,Up,0.120619682522527,-3.291645873868322,3.413366746294331,0.91858181894993
MA0647.1,GRHL1,0.1,2,0.5,140,0.1,Up,3070,0.519623429805441,4,1,1294,95,Up,0.264879615427866,-2.67285646129276,2.175787921143206,0.576951462796901
MA1547.1,PITX2,0.15,0,0,1298,1,Down,4012,0.057120560165239,4,0,1294,712,Down,0.041309072639545,-2.015679023701479,-2.308491955481668,-1.383954554528352
MA1655.1,ZNF341,0.14,4,1,498,0.4,Up,3794.5,0.107001357427429,4,3,1294,406,Up,0.095236387413897,-1.016818893604896,1.308497628440375,1.02119708697533
MA0498.2,MEIS1,0.01,0,0,1268,1,Down,3990,0.061068891257251,4,0,1294,701,Down,0.044507639639225,-2.026902478861262,-2.286045045162101,-1.351565436920381
MA1512.1,KLF11,0.05,1,0.3,48,0,Up,3145,0.456802707995408,4,1,1294,44,Up,0.131773006539453,-3.223704159827435,3.277483318212557,0.880173545065302
MA0729.1,RARA,0,0,0,0,0,Up,2588,1,4,0,1294,0,Up,1,-7.254052125671212,8.1682542484578,-0
MA1550.1,PPARD,0.11,0,0,4,0,Down,2596,0.991472716647191,4,0,1294,4,Down,0.999999999998588,-5.669089624950057,4.998329247015487,0.000000000000613
MA0753.2,ZNF740,0.05,0,0,187,0.1,Down,2746,0.832825257771201,4,0,1294,79,Down,0.999999999997849,-3.597610648029034,0.855371293173443,0.000000000000934
MA0848.1,FOXO4,0.07,3,0.8,256,0.2,Up,2903,0.673884335747619,4,1,1294,220,Up,0.526465874932845,-2.069253452531874,0.968581903621434,0.278629774162578
MA1632.1,ATF2,0.09,0,0,129,0.1,Down,2762,0.81618493827225,4,0,1294,87,Down,0.999999999998765,-3.528446569755047,0.717043136625469,0.000000000000536
MA0073.1,RREB1,0.1,0,0,3,0,Down,2594,0.99360448421901,4,0,1294,3,Down,0.999999999997194,-5.85037466464241,5.360899326400195,0.000000000001219
