Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.11,4,0.6,321,0.2,Up,6164,0.101075169342656,7,4,1296,244,Up,0.027730788634725,-1.571840715033634,1.669750241734855,1.557037779364106
MA0638.1,CREB3,0.1,0,0,45,0,Down,4686.5,0.879519611793615,7,0,1296,43,Down,0.999999999998166,-4.402176795306543,0.990572399396048,0.000000000000796
MA0136.2,ELF5,0.05,4,0.6,350,0.3,Up,6036.5,0.130724774408003,7,4,1296,281,Up,0.044788083573989,-1.470190486469636,1.466449784606859,1.348837520074795
MA1547.1,PITX2,0.01,6,0.9,159,0.1,Up,7879.5,7.586576231688458E-4,7,6,1296,147,Up,1.517421648073039E-5,-1.671143112035759,2.929384469136665,4.818893724429326
MA0647.1,GRHL1,0.15,0,0,330,0.3,Down,5106.5,0.565570503462487,7,0,1296,163,Down,0.606095201784093,-3.447075130481865,-0.919630930253307,-0.217459154113963
MA0498.2,MEIS1,0.01,13,1.9,1268,1,Up,7010,0.012712464237975,7,7,1296,701,Up,0.017855699033491,-0.443053598616698,0.886107197233396,1.748223142925965
MA1512.1,KLF11,0.15,0,0,732,0.6,Down,6121.5,0.110297155093054,7,0,1296,453,Down,0.103424208070297,-2.711169172966645,-2.391442845283747,-0.985377795856834
MA1655.1,ZNF341,0.15,0,0,555,0.4,Down,6083,0.119213547522381,7,0,1296,442,Down,0.102840864870801,-2.728881720745727,-2.356017749725584,-0.987834279685371
MA0729.1,RARA,0,0,0,0,0,Up,4536,1,7,0,1296,0,Up,1,-7.623648543230908,7.433515895244776,-0
MA1550.1,PPARD,0.08,0,0,2,0,Down,4543,0.994374840900843,7,0,1296,2,Down,0.999999999998884,-6.462684495787225,5.111587800357413,0.000000000000485
MA0753.2,ZNF740,0.03,1,0.1,20,0,Up,5114,0.56047174891957,7,1,1296,20,Up,0.107742461125037,-4.152391290561287,3.660926391347848,0.967613108233029
MA0848.1,FOXO4,0,6,0.9,119,0.1,Up,8012,4.636846310374088E-4,7,6,1296,110,Up,2.866426214418336E-6,-1.879477404464645,3.346053053994437,5.54265923305672
MA1632.1,ATF2,0.15,0,0,234,0.2,Down,5127.5,0.551350495137353,7,0,1296,169,Down,0.604351742102073,-3.421077811662735,-0.971625567891568,-0.218710221658486
MA0073.1,RREB1,0.06,0,0,2,0,Down,4543,0.994374840900843,7,0,1296,2,Down,0.999999999998884,-6.462684495787225,5.111587800357413,0.000000000000485
MA0881.1,Dlx4,0.06,10,1.4,988,0.8,Up,6053,0.126545269010038,7,5,1296,549,Up,0.14255030798055,-0.842944898437643,0.790971842932842,0.846031840058423
MA0003.4,TFAP2A,0.03,0,0,37,0,Down,4662,0.899017412089906,7,0,1296,36,Down,0.999999999999143,-4.528736263790899,1.243691336364759,0.000000000000372
MA0476.1,FOS,0.08,12,1.7,521,0.4,Up,7014,0.012569007407285,7,5,1296,230,Up,0.002812681866383,-1.469621263697589,2.044324573452735,2.550879386742632
MA1112.2,NR4A1,0.13,0,0,295,0.2,Down,5411,0.37817238763965,7,0,1296,250,Down,0.358030718399035,-3.139315146633302,-1.535150897950432,-0.4460797100632
MA0609.2,CREM,0.15,0,0,194,0.1,Down,4861.5,0.743038715678781,7,0,1296,93,Down,0.999999999998573,-3.850201313287088,-0.113378564642861,-0.00000000000062
MA0760.1,ERF,0.13,0,0,247,0.2,Down,5232.5,0.482997330670944,7,0,1296,199,Down,0.603489105102713,-3.303526075119734,-1.20672904097757,-0.219330565892204
MA0151.1,Arid3a,0.04,16,2.3,723,0.6,Up,8324.5,1.358294246128766E-4,7,7,1296,484,Up,0.001050299972039,-0.710026817719107,1.420053635438214,2.97868664607716
MA1657.1,ZNF652,0.15,5,0.7,163,0.1,Up,6663,0.032174304276574,7,4,1296,142,Up,0.004044852918415,-1.961276987983698,2.448622787634984,2.393097265864356
MA0736.1,GLIS2,0.06,0,0,2,0,Down,4543,0.994374840900843,7,0,1296,2,Down,0.999999999998884,-6.462684495787225,5.111587800357413,0.000000000000485
MA0163.1,PLAG1,0.13,0,0,48,0,Down,4686.5,0.879519611793615,7,0,1296,43,Down,0.999999999998166,-4.402176795306543,0.990572399396048,0.000000000000796
MA0019.1,Ddit3::Cebpa,0.03,1,0.1,38,0,Up,5051,0.603977219132925,7,1,1296,38,Up,0.192017575644418,-3.697774022522878,2.751691855271031,0.716659017879544
MA1544.1,OVOL1,0.15,0,0,103,0.1,Down,4861.5,0.743038715678781,7,0,1296,93,Down,0.999999999998573,-3.850201313287088,-0.113378564642861,-0.00000000000062
MA0846.1,FOXC2,0.08,6,0.9,166,0.1,Up,7856.5,8.249377519397028E-4,7,6,1296,151,Up,1.770897068487886E-5,-1.651841692423885,2.890781629912917,4.751806680982057
MA0527.1,ZBTB33,0.15,0,0,284,0.2,Down,5169.5,0.523448579944374,7,0,1296,181,Down,0.602517235369718,-3.371735674233031,-1.070309842750975,-0.220030525319233
MA0157.2,FOXO3,0.01,6,0.9,66,0.1,Up,8193,2.303245781828389E-4,7,6,1296,66,Up,1.556652322320351E-7,-2.245787466409766,4.078673177884679,6.807808376101615
MA0042.2,FOXI1,0,6,0.9,119,0.1,Up,8012,4.636846310374088E-4,7,6,1296,110,Up,2.866426214418336E-6,-1.879477404464645,3.346053053994437,5.54265923305672
PH0082.1,Irx2,0.13,0,0,181,0.1,Down,4847.5,0.753724847163773,7,0,1296,89,Down,0.999999999998199,-3.881740654598779,-0.05029988201948,-0.000000000000782
MA0691.1,TFAP4,0.12,0,0,786,0.6,Down,5691,0.24471805841483,7,0,1296,330,Down,0.201831240549565,-2.939395312477061,-1.934990566262916,-0.695011610407335
MA0089.2,NFE2L1,0.02,0,0,2,0,Down,4543,0.994374840900843,7,0,1296,2,Down,0.999999999998884,-6.462684495787225,5.111587800357413,0.000000000000485
MA0844.1,XBP1,0.14,0,0,126,0.1,Down,4921,0.698194951487265,7,0,1296,110,Down,0.999999999998397,-3.729697263535191,-0.354386664146656,-0.000000000000696
MA0861.1,TP73,0.06,0,0,2,0,Down,4543,0.994374840900843,7,0,1296,2,Down,0.999999999998884,-6.462684495787225,5.111587800357413,0.000000000000485
MA0819.1,CLOCK,0.08,1,0.1,228,0.2,Down,4756,0.824643860326282,7,1,1296,109,Up,0.46145181357112,-2.943773763069742,1.243691336364759,0.33587364283475
MA0079.4,SP1,0.15,0,0,223,0.2,Down,5124,0.553708242785793,7,0,1296,168,Down,0.604602649797209,-3.425346152639977,-0.963088885937083,-0.218529953767887
MA1581.1,ZBTB6,0.15,0,0,449,0.3,Down,5719,0.233467039402506,7,0,1296,338,Down,0.20052100806668,-2.922142531443408,-1.969496128330221,-0.697840120752101
MA1579.1,ZBTB26,0.06,0,0,399,0.3,Down,5656,0.259309795176788,7,0,1296,320,Down,0.204382380004537,-2.961558269921536,-1.890664651373965,-0.689556547855553
MA0076.2,ELK4,0.11,4,0.6,584,0.5,Up,5528,0.317742886226764,7,4,1296,380,Up,0.20490885881799,-1.252809720757978,1.031688253183543,0.688439265353798
