Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.07,10,0.6,81,0.1,Up,8798,0.0216310011652,17,7,781,74,Up,7.239996421194526E-4,-2.306662981936975,2.168541121201055,3.140261648479076
MA0638.1,CREB3,0.15,3,0.2,111,0.1,Up,6988.5,0.709706343183399,17,3,781,94,Up,0.449785176400727,-2.684893866832977,0.72593154389123,0.346994861735982
MA0136.2,ELF5,0.1,55,3.2,1627,2.1,Up,8846.5,0.018855834543315,17,17,781,605,Up,0.018525095471616,-0.184059456652668,0.368118913305336,1.732239545146785
MA1547.1,PITX2,0,1,0.1,9,0,Up,6952.5,0.738408320312082,17,1,781,9,Up,0.194725345331774,-4.953247532889945,2.817854033332268,0.710577517296885
MA0647.1,GRHL1,0.12,20,1.2,141,0.2,Up,9921,4.808957729703911E-4,17,10,781,73,Up,9.363919691136454E-7,-2.073697656164753,2.673464123997094,6.028542319649254
MA1655.1,ZNF341,0.08,11,0.6,311,0.4,Up,7820,0.208894398961452,17,8,781,243,Up,0.188046420224419,-1.362072138305975,0.640503925222695,0.725734929678855
MA0498.2,MEIS1,0,4,0.2,73,0.1,Up,7606,0.303476496511041,17,4,781,69,Up,0.061363093455667,-2.725259502889406,1.531802974773503,1.212092754716478
MA1512.1,KLF11,0.15,5,0.3,487,0.6,Down,8209.5,0.094746765936937,17,2,781,285,Down,0.040280485651179,-2.130055024847213,-1.354599794420783,-1.394905301912968
MA0729.1,RARA,0,0,0,0,0,Up,6638.5,1,17,0,781,0,Up,1,-7.869692539972315,5.480819046054699,-0
MA1550.1,PPARD,0.15,0,0,4,0,Down,6672.5,0.971153601986724,17,0,781,4,Down,0.99999999999942,-6.284730039251158,2.310894044612386,0.000000000000252
MA0753.2,ZNF740,0.14,15,0.9,455,0.6,Up,7652,0.281064497913534,17,6,781,146,Up,0.111491947465705,-1.922094253690645,0.986501909773542,0.952756498512671
MA0848.1,FOXO4,0.14,33,1.9,787,1,Up,8651.5,0.03227627898774,17,13,781,429,Up,0.088071769977405,-0.618991628321349,0.489192227079703,1.055163275557591
MA1632.1,ATF2,0.15,6,0.4,158,0.2,Up,7248.5,0.51648093671361,17,4,781,112,Up,0.292165657212693,-2.377839443642641,0.836962856279973,0.534370834806841
MA0073.1,RREB1,0.14,0,0,11,0,Down,6732,0.920785697711518,17,0,781,11,Down,0.999999999997106,-5.607911561943809,0.957257089997686,0.000000000001257
MA0881.1,Dlx4,0.02,24,1.4,311,0.4,Up,8950.5,0.01393321838889,17,9,781,183,Up,0.008846116388824,-1.485910656828916,1.209110306655071,2.053247350893213
MA0003.4,TFAP2A,0.15,2,0.1,272,0.3,Down,7498.5,0.360363491390235,17,1,781,150,Down,0.220406559279128,-2.960401451231886,-1.167838129983848,-0.65677548506371
MA0476.1,FOS,0.15,16,0.9,510,0.7,Up,7872,0.189548090134084,17,9,781,251,Up,0.112626253776151,-1.258521488347759,0.754331969692756,0.948360361340001
MA1112.2,NR4A1,0.08,0,0,53,0.1,Down,7080.5,0.638284135684592,17,0,781,52,Down,0.619454761140935,-4.512569781139254,-1.233426471611425,-0.207990404710441
MA0609.2,CREM,0.04,2,0.1,30,0,Up,6901.5,0.779692587502866,17,1,781,15,Up,0.293796526192174,-4.6001131344183,2.111585236388979,0.531953343550831
MA0760.1,ERF,0.1,6,0.4,63,0.1,Up,7778.5,0.225331338991272,17,4,781,54,Up,0.029294530155331,-2.900637876862696,1.882559722720084,1.533213463097106
MA0151.1,Arid3a,0.07,98,5.8,1394,1.8,Up,9625.5,0.001488623576508,17,16,781,546,Up,0.030659357422088,-0.300456637457136,0.431135479741247,1.513436951600554
MA1657.1,ZNF652,0.08,3,0.2,32,0,Up,7170.5,0.571515623351855,17,2,781,31,Up,0.153267499043358,-3.720088530778676,1.825467217442144,0.814549929180777
MA0736.1,GLIS2,0.14,4,0.2,71,0.1,Up,6941.5,0.74725377644617,17,2,781,59,Up,0.378034518208614,-3.261319610874663,0.907929377634117,0.422468543064651
