Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.15,66,1.7,540,0.7,Up,20600,1.721790937753154E-4,39,28,779,317,Up,1.791335174200944E-4,-0.883341582525309,0.824901697025895,3.74682314631907
MA0638.1,CREB3,0.13,1,0,66,0.1,Down,16031,0.559426088504049,39,1,779,63,Down,0.354938061394422,-4.168269386690783,-1.101097721530328,-0.449847427061934
MA0136.2,ELF5,0.09,76,1.9,1143,1.5,Up,18348,0.028324712131726,39,31,779,528,Up,0.15793026817384,-0.443573187996144,0.234144726637915,0.801534627172755
MA0647.1,GRHL1,0.12,22,0.6,141,0.2,Up,18053,0.04682345891203,39,11,779,73,Up,0.001058451814738,-2.593475829990755,1.62651407574133,2.975328908140093
MA1547.1,PITX2,0.01,12,0.3,102,0.1,Up,17663.5,0.085905896804601,39,11,779,93,Up,0.010685251665483,-2.419864772465119,1.279291960690058,1.971215244614257
MA1655.1,ZNF341,0.06,5,0.1,136,0.2,Down,15943,0.601265422770766,39,4,779,120,Down,0.495778269232098,-2.913685811601307,-0.440339870266967,-0.304712512984527
MA0498.2,MEIS1,0,5,0.1,73,0.1,Up,15782.5,0.680984030489288,39,5,779,69,Up,0.387425748784874,-3.165906634757042,0.643115010434471,0.411811518920018
MA1512.1,KLF11,0.15,13,0.3,482,0.6,Down,18144,0.040258230001849,39,6,779,283,Down,0.009079191168974,-2.031270658895783,-1.144140742280455,-2.041952839419182
MA0729.1,RARA,0,0,0,0,0,Up,15190.5,1,39,0,779,0,Up,1,-8.455092980437444,4.302624464520682,-0
MA1550.1,PPARD,0.08,0,0,1,0,Down,15210,0.989195391403239,39,0,779,1,Down,0.999999999999735,-7.662611730076866,2.717661963799525,0.000000000000115
MA0753.2,ZNF740,0.04,4,0.1,88,0.1,Down,15478,0.841748504875702,39,3,779,45,Up,0.49391584652369,-3.797518199309293,0.60218474637959,0.306347039950226
MA0848.1,FOXO4,0.1,25,0.6,270,0.3,Up,18051,0.046977314027894,39,18,779,213,Up,0.016603031655531,-1.481320167812724,0.773985570529141,1.779812604065078
MA1632.1,ATF2,0.13,4,0.1,120,0.2,Down,15987.5,0.57993125693809,39,2,779,82,Down,0.417167692827591,-3.610967825870854,-0.741769654837772,-0.379689332484221
MA0073.1,RREB1,0.15,0,0,21,0,Down,15580.5,0.786514361486491,39,0,779,20,Down,0.618205166827616,-5.776316978128402,-1.054927540097402,-0.208867369516413
