Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.11,0,0,17744,1.4,Down,42796,0.0291878652079,4,0,13130,8268,Down,0.018826221038435,-1.918574659281103,-2.50270068432242,-1.725236846571769
MA0638.1,CREB3,0.11,0,0,428,0,Down,27082,0.913667360547089,4,0,13130,411,Down,0.99999999997551,-4.082905307318445,1.825960611752265,0.000000000010636
MA0136.2,ELF5,0.04,2,0.5,1434,0.1,Up,36662,0.170087076937333,4,2,13130,1310,Up,0.052170534198557,-2.086364750921368,2.476735688732836,1.282574716310062
MA1547.1,PITX2,0.14,0,0,17223,1.3,Down,44356,0.017000870858468,4,0,13130,9048,Down,0.009357630768559,-1.85354814937221,-2.632753704140206,-2.028834095106758
MA0647.1,GRHL1,0.07,0,0,235,0,Down,26526,0.972013676982248,4,0,13130,133,Down,0.999999999966349,-4.894931651685481,3.450013300486337,0.000000000014614
MA0498.2,MEIS1,0,2,0.5,1644,0.1,Up,36239,0.188128928766522,4,2,13130,1516,Up,0.068306486890904,-1.981050678773491,2.266107544437082,1.165538050532994
MA1655.1,ZNF341,0.07,3,0.8,4557,0.3,Up,37424.5,0.140888468464653,4,3,13130,3762,Up,0.073936140472698,-1.082864223233242,1.440588287697068,1.13114322370013
MA1512.1,KLF11,0.08,4,1,1052,0.1,Up,37970.5,0.122466604276381,4,2,13130,894,Up,0.025427232639394,-2.361846734059622,3.027699655009345,1.594700903482952
MA0729.1,RARA,0.14,0,0,6,0,Down,26272,0.998737200643311,4,0,13130,6,Down,0.999999999981179,-7.075059758458711,7.810269514032799,0.000000000008174
MA1550.1,PPARD,0.1,0,0,21,0,Down,26302,0.995580223009833,4,0,13130,21,Down,0.999999999970117,-6.212147240178209,6.084444477471793,0.000000000012978
