Transcription Factor ID,Transcription Factor Name,Deficit,No. Search Sites,Mean Sites Per Search Gene,No. Background Sites,Mean Sites Per Background Gene,Site Representation,Mann-Whitney U,Site P-Value,Total No. Search Genes,No. Transcription Factor Search Genes,Total No. Background Genes,No. Transcription Factor Background Genes,Gene Representation,Gene P-Value,Average Log2 Proportion Bound,Log2 Enrichment,Significance Score
MA1471.1,BARX2,0.04,0,0,3172,0.2,Down,126152,0.164043661474224,16,0,13130,2639,Down,0.05476162216807,-3.679489701152014,-2.729808836412879,-1.261523695523312
MA0638.1,CREB3,0.15,0,0,1532,0.1,Down,115504,0.490360448072435,16,0,13130,1308,Down,0.395301644536027,-4.185665071963311,-1.717458094790285,-0.403071378899032
MA0136.2,ELF5,0.04,3,0.2,1434,0.1,Up,114093,0.550688040153446,16,3,13130,1310,Up,0.210149539726188,-2.780885896294318,1.087693397986937,0.677471556858143
MA1547.1,PITX2,0.02,8,0.5,5402,0.4,Up,115541,0.488827750507229,16,7,13130,4274,Up,0.423197697188903,-1.378298899417997,0.481590751336125,0.37345670416019
MA0647.1,GRHL1,0.1,2,0.1,1069,0.1,Up,105852.5,0.957288895990854,16,1,13130,746,Up,0.608033022570922,-3.79803370105948,0.677204164844364,0.216072833340958
MA1655.1,ZNF341,0.01,1,0.1,427,0,Up,108295.5,0.83008962750891,16,1,13130,413,Up,0.400872819972736,-4.224161166541114,1.529459095807631,0.396993388838086
MA0498.2,MEIS1,0.01,33,2.1,25432,1.9,Up,106632,0.916425922676629,16,12,13130,10655,Down,0.522675654540303,-0.350930745870476,-0.099214367426506,-0.281767728226415
MA1512.1,KLF11,0.09,0,0,1550,0.1,Down,115384,0.495349090044231,16,0,13130,1293,Down,0.394281696416854,-4.193982007144959,-1.700824224426991,-0.404193383539677
MA0729.1,RARA,0,0,0,0,0,Up,105040,1,16,0,13130,0,Up,0.999999999970896,-9.862514176487329,9.63624011425775,0.00000000001264
MA1550.1,PPARD,0,0,0,0,0,Up,105040,1,16,0,13130,0,Up,0.999999999970896,-9.862514176487329,9.63624011425775,0.00000000001264
MA0753.2,ZNF740,0.13,11,0.7,12670,1,Down,115950,0.472058497363975,16,2,13130,3182,Down,0.386576258458332,-2.383577729649287,-0.677776589643608,-0.412764821639982
MA1632.1,ATF2,0.14,6,0.4,2977,0.2,Up,118178,0.386494204819919,16,5,13130,2482,Up,0.205128429692506,-1.994009365960812,0.81809373047931,0.687974144590512
MA0848.1,FOXO4,0.13,21,1.3,19299,1.5,Down,115863,0.475598790718764,16,10,13130,9344,Down,0.419959588076652,-0.571404587187189,-0.161344218785008,-0.376792498934767
MA0073.1,RREB1,0.11,1,0.1,61,0,Up,111117,0.688739621145215,16,1,13130,61,Up,0.072889030146555,-5.598775673457131,4.278688109639666,1.137337828407734
MA0881.1,Dlx4,0.02,17,1.1,20432,1.6,Down,118804,0.364271709985508,16,8,13130,7978,Down,0.445023496660787,-0.837831844691658,-0.238198866832912,-0.351617058230918
MA0003.4,TFAP2A,0.15,2,0.1,4354,0.3,Down,117473,0.412488381801385,16,1,13130,2417,Down,0.334024726814732,-2.950382838944648,-1.018097559385298,-0.476221382524644
MA0476.1,FOS,0.13,32,2,11718,0.9,Up,150943.5,0.002480304445197,16,13,13130,5382,Up,0.001455398561514,-0.788040075878296,0.997066917366622,2.837018058662057
MA1112.2,NR4A1,0.15,11,0.7,10942,0.8,Down,115052.5,0.509269890614058,16,7,13130,7127,Down,0.456854267919501,-1.009478669270411,-0.256049708959047,-0.340222313566635
MA0609.2,CREM,0.14,0,0,442,0,Down,106808,0.907226248735114,16,0,13130,221,Down,0.999999999965813,-5.466932732209819,0.845077225702732,0.000000000014847
MA0760.1,ERF,0.14,1,0.1,2436,0.2,Down,115198,0.503134736834548,16,1,13130,2072,Down,0.493809230653941,-3.061454732935194,-0.795953771404207,-0.306440796168763
MA0736.1,GLIS2,0.14,4,0.3,2196,0.2,Up,117014,0.429955708477265,16,4,13130,1687,Up,0.14063225740764,-2.417215782353394,1.085493328874506,0.85191505195247
MA0151.1,Arid3a,0,18,1.1,19203,1.5,Down,118642.5,0.369926957113164,16,9,13130,8932,Down,0.29859338357359,-0.676126273029219,-0.240680665771297,-0.524919819883987
