Sample	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped
Lvr_11	65.89	16639532.0
Lvr_4	77.42	15785368.0
ODPE_1	71.34	13090067.0
ODPE_2	71.57	14177586.0
ODPE_3	70.52	12971106.0
ODPE_4	70.83	16246944.0
Panc_1	79.77	18822720.0
Panc_2	80.93	18968708.0
Pnc_11	81.89	20187639.0
Pnc_4	79.41	17949996.0
RVG_11	67.27	16928839.0
RVG_4	74.32	14419759.0
Skin_1	73.88	12094866.0
Skin_2	73.96	11510142.0
Skn_11	77.64	18550808.0
Skn_4	76.93	15385522.0
Stom_1	73.71	12642498.0
Stom_2	75.29	17429838.0
TDPE_1	70.74	18029279.0
TDPE_2	70.81	12877316.0
TDPE_3	69.74	15230805.0
TDPE_4	71.22	16432563.0
Un1	67.52	17924262.0
Un2	81.06	15882831.0
Unext_1	66.77	14417303.0
Unext_2	67.75	11302903.0
Unext_3	68.17	13372396.0
Unext_4	67.92	14807999.0
