Module	Section	Sample Name	Source
STAR	SummaryLog	Lvr_11	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Lvr_11Log.final.out
STAR	SummaryLog	Lvr_4	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Lvr_4Log.final.out
STAR	SummaryLog	ODPE_1	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/ODPE_1Log.final.out
STAR	SummaryLog	ODPE_2	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/ODPE_2Log.final.out
STAR	SummaryLog	ODPE_3	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/ODPE_3Log.final.out
STAR	SummaryLog	ODPE_4	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/ODPE_4Log.final.out
STAR	SummaryLog	Panc_1	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Panc_1Log.final.out
STAR	SummaryLog	Panc_2	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Panc_2Log.final.out
STAR	SummaryLog	Pnc_11	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Pnc_11Log.final.out
STAR	SummaryLog	Pnc_4	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Pnc_4Log.final.out
STAR	SummaryLog	RVG_11	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/RVG_11Log.final.out
STAR	SummaryLog	RVG_4	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/RVG_4Log.final.out
STAR	SummaryLog	Skin_1	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Skin_1Log.final.out
STAR	SummaryLog	Skin_2	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Skin_2Log.final.out
STAR	SummaryLog	Skn_11	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Skn_11Log.final.out
STAR	SummaryLog	Skn_4	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Skn_4Log.final.out
STAR	SummaryLog	Stom_1	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Stom_1Log.final.out
STAR	SummaryLog	Stom_2	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Stom_2Log.final.out
STAR	SummaryLog	TDPE_1	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/TDPE_1Log.final.out
STAR	SummaryLog	TDPE_2	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/TDPE_2Log.final.out
STAR	SummaryLog	TDPE_3	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/TDPE_3Log.final.out
STAR	SummaryLog	TDPE_4	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/TDPE_4Log.final.out
STAR	SummaryLog	Un1	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Un1Log.final.out
STAR	SummaryLog	Un2	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Un2Log.final.out
STAR	SummaryLog	Unext_1	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Unext_1Log.final.out
STAR	SummaryLog	Unext_2	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Unext_2Log.final.out
STAR	SummaryLog	Unext_3	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Unext_3Log.final.out
STAR	SummaryLog	Unext_4	/home/administrator/Desktop/ExtraDrive1/Blair/VenomReg_RNA_ReMapping_July2021/STAR_mapped/Unext_4Log.final.out
