Sample	total_reads	avg_input_read_length	uniquely_mapped	uniquely_mapped_percent	avg_mapped_read_length	num_splices	num_annotated_splices	num_GTAG_splices	num_GCAG_splices	num_ATAC_splices	num_noncanonical_splices	mismatch_rate	deletion_rate	deletion_length	insertion_rate	insertion_length	multimapped	multimapped_percent	multimapped_toomany	multimapped_toomany_percent	unmapped_mismatches_percent	unmapped_tooshort_percent	unmapped_other_percent	unmapped_mismatches	unmapped_tooshort	unmapped_other
Lvr_11	25253136.0	299.0	16639532.0	65.89	293.72	17450630.0	17314726.0	17175828.0	133358.0	2455.0	138989.0	0.52	0.04	2.64	0.04	2.16	0.0	0.0	397861.0	1.58	0.0	32.53	0.0	0	8215743	0
Lvr_4	20389359.0	299.0	15785368.0	77.42	293.89	16414577.0	16281209.0	16152916.0	105503.0	3421.0	152737.0	0.53	0.03	2.51	0.04	2.06	0.0	0.0	398150.0	1.95	0.0	20.62	0.01	0	4203802	2039
ODPE_1	18348330.0	299.0	13090067.0	71.34	294.83	11955247.0	11826230.0	11599975.0	84772.0	2171.0	268329.0	0.61	0.04	2.28	0.04	1.79	0.0	0.0	922063.0	5.03	0.0	23.22	0.41	0	4260963	75237
ODPE_2	19809617.0	299.0	14177586.0	71.57	294.82	13063344.0	12912067.0	12691228.0	86698.0	2259.0	283159.0	0.59	0.05	2.15	0.04	1.8	0.0	0.0	940841.0	4.75	0.0	23.17	0.51	0	4590155	101035
ODPE_3	18393172.0	299.0	12971106.0	70.52	293.97	11888465.0	11767375.0	11460818.0	81752.0	2428.0	343467.0	0.72	0.05	2.17	0.04	1.83	0.0	0.0	972280.0	5.29	0.0	23.65	0.55	0	4348654	101132
ODPE_4	22937161.0	299.0	16246944.0	70.83	294.45	14953793.0	14770185.0	14553551.0	75739.0	2829.0	321674.0	0.7	0.04	2.28	0.04	1.84	0.0	0.0	1196257.0	5.22	0.0	23.44	0.51	0	5376970	116990
Panc_1	23596362.0	299.0	18822720.0	79.77	295.12	25330553.0	24878894.0	24848949.0	31515.0	1282.0	448807.0	0.58	0.06	3.38	0.03	2.88	0.0	0.0	427944.0	1.81	0.0	18.41	0.0	0	4345698	0
Panc_2	23439471.0	299.0	18968708.0	80.93	294.82	23383147.0	22986772.0	22932156.0	37801.0	1997.0	411193.0	0.49	0.06	3.27	0.04	2.8	0.0	0.0	391774.0	1.67	0.0	17.4	0.0	0	4078989	0
Pnc_11	24652951.0	299.0	20187639.0	81.89	295.51	25349085.0	25082677.0	24983308.0	50511.0	2261.0	313005.0	0.51	0.02	2.28	0.02	1.91	0.0	0.0	299016.0	1.21	0.0	16.9	0.0	0	4166296	0
Pnc_4	22605467.0	299.0	17949996.0	79.41	294.78	22491401.0	22174839.0	22107751.0	47968.0	2760.0	332922.0	0.52	0.03	2.23	0.03	2.47	0.0	0.0	385217.0	1.7	0.0	18.89	0.0	0	4270254	0
