crovir-transcript-8573	CRISP_1
crovir-transcript-8572	CRISP_2
crovir-transcript-9447	vQC_1
crovir-transcript-9439	VEGF_1
crovir-transcript-13215	Vespryn
crovir-transcript-13249	LAAO_1
crovir-transcript-13246	LAAO_2
crovir-transcript-3893	LAAO_3
crovir-transcript-11720	Exonuclease_1
crovir-transcript-4609	VEGF_2
crovir-transcript-SVMP_1	SVMP_1
crovir-transcript-SVMP_2	SVMP_2
crovir-transcript-SVMP_3	SVMP_3
crovir-transcript-SVMP_4	SVMP_4
crovir-transcript-SVMP_5	SVMP_5
crovir-transcript-SVMP_6	SVMP_6
crovir-transcript-SVMP_7	SVMP_7
crovir-transcript-SVMP_8	SVMP_8
crovir-transcript-SVMP_11	SVMP_11
crovir-transcript-SVMP_9	SVMP_9
crovir-transcript-SVMP_10	SVMP_10
crovir-transcript-SVSP_1	SVSP_1
crovir-transcript-SVSP_2	SVSP_2
crovir-transcript-SVSP_3	SVSP_3
crovir-transcript-SVSP_4	SVSP_4
crovir-transcript-SVSP_10	SVSP_10
crovir-transcript-SVSP_5	SVSP_5
crovir-transcript-SVSP_6	SVSP_6
crovir-transcript-SVSP_11	SVSP_11
crovir-transcript-SVSP_7	SVSP_7
crovir-transcript-SVSP_8	SVSP_8
crovir-transcript-SVSP_9	SVSP_9
crovir-transcript-11292	Exonuclease_2
crovir-transcript-564	CTL
crovir-transcript-PLA2_gIIE	PLA2_gIIE
crovir-transcript-PLA2_B1	PLA2_B1
crovir-transcript-PLA2_K	PLA2_K
crovir-transcript-PLA2_C1	PLA2_C1
crovir-transcript-PLA2_A1	PLA2_A1
crovir-transcript-1322	vQC_2
crovir-transcript-1466	Exonuclease_3
crovir-transcript-12856	ADAM28_1
crovir-transcript-12864	ADAM28_2
