userId	geneSymbol	geneName	entrezgene	gLink
UHRF2	UHRF2	ubiquitin like with PHD and ring finger domains 2	115426	https://www.ncbi.nlm.nih.gov/gene/?term=115426
PAFAH1B1	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	5048	https://www.ncbi.nlm.nih.gov/gene/?term=5048
ARHGAP45	ARHGAP45	Rho GTPase activating protein 45	23526	https://www.ncbi.nlm.nih.gov/gene/?term=23526
PDHX	PDHX	pyruvate dehydrogenase complex component X	8050	https://www.ncbi.nlm.nih.gov/gene/?term=8050
CAPS	CAPS	calcyphosine	828	https://www.ncbi.nlm.nih.gov/gene/?term=828
MOGS	MOGS	mannosyl-oligosaccharide glucosidase	7841	https://www.ncbi.nlm.nih.gov/gene/?term=7841
TSG101	TSG101	tumor susceptibility 101	7251	https://www.ncbi.nlm.nih.gov/gene/?term=7251
TUBGCP2	TUBGCP2	tubulin gamma complex associated protein 2	10844	https://www.ncbi.nlm.nih.gov/gene/?term=10844
FAM120A	FAM120A	family with sequence similarity 120A	23196	https://www.ncbi.nlm.nih.gov/gene/?term=23196
PPP3R1	PPP3R1	protein phosphatase 3 regulatory subunit B, alpha	5534	https://www.ncbi.nlm.nih.gov/gene/?term=5534
PPP1R36	PPP1R36	protein phosphatase 1 regulatory subunit 36	145376	https://www.ncbi.nlm.nih.gov/gene/?term=145376
TBX3	TBX3	T-box 3	6926	https://www.ncbi.nlm.nih.gov/gene/?term=6926
TARBP1	TARBP1	TAR (HIV-1) RNA binding protein 1	6894	https://www.ncbi.nlm.nih.gov/gene/?term=6894
MRPS18A	MRPS18A	mitochondrial ribosomal protein S18A	55168	https://www.ncbi.nlm.nih.gov/gene/?term=55168
ITPKB	ITPKB	inositol-trisphosphate 3-kinase B	3707	https://www.ncbi.nlm.nih.gov/gene/?term=3707
FRMD8	FRMD8	FERM domain containing 8	83786	https://www.ncbi.nlm.nih.gov/gene/?term=83786
GPATCH2	GPATCH2	G-patch domain containing 2	55105	https://www.ncbi.nlm.nih.gov/gene/?term=55105
MGAT1	MGAT1	mannosyl (alpha-1,3-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	4245	https://www.ncbi.nlm.nih.gov/gene/?term=4245
CBY3	CBY3	chibby family member 3	646019	https://www.ncbi.nlm.nih.gov/gene/?term=646019
HNRNPAB	HNRNPAB	heterogeneous nuclear ribonucleoprotein A/B	3182	https://www.ncbi.nlm.nih.gov/gene/?term=3182
STX10	STX10	syntaxin 10	8677	https://www.ncbi.nlm.nih.gov/gene/?term=8677
CHAT	CHAT	choline O-acetyltransferase	1103	https://www.ncbi.nlm.nih.gov/gene/?term=1103
SPAG9	SPAG9	sperm associated antigen 9	9043	https://www.ncbi.nlm.nih.gov/gene/?term=9043
FASN	FASN	fatty acid synthase	2194	https://www.ncbi.nlm.nih.gov/gene/?term=2194
CBX4	CBX4	chromobox 4	8535	https://www.ncbi.nlm.nih.gov/gene/?term=8535
TBC1D16	TBC1D16	TBC1 domain family member 16	125058	https://www.ncbi.nlm.nih.gov/gene/?term=125058
SLC39A11	SLC39A11	solute carrier family 39 member 11	201266	https://www.ncbi.nlm.nih.gov/gene/?term=201266
RHCG	RHCG	Rh family C glycoprotein	51458	https://www.ncbi.nlm.nih.gov/gene/?term=51458
NR4A1	NR4A1	nuclear receptor subfamily 4 group A member 1	3164	https://www.ncbi.nlm.nih.gov/gene/?term=3164
OS9	OS9	OS9, endoplasmic reticulum lectin	10956	https://www.ncbi.nlm.nih.gov/gene/?term=10956
MBD1	MBD1	methyl-CpG binding domain protein 1	4152	https://www.ncbi.nlm.nih.gov/gene/?term=4152
WNK3	WNK3	WNK lysine deficient protein kinase 3	65267	https://www.ncbi.nlm.nih.gov/gene/?term=65267
IQSEC1	IQSEC1	IQ motif and Sec7 domain 1	9922	https://www.ncbi.nlm.nih.gov/gene/?term=9922
RAD23B	RAD23B	RAD23 homolog B, nucleotide excision repair protein	5887	https://www.ncbi.nlm.nih.gov/gene/?term=5887
GNE	GNE	glucosamine (UDP-N-acetyl)-2-epimerase/N-acetylmannosamine kinase	10020	https://www.ncbi.nlm.nih.gov/gene/?term=10020
SCG3	SCG3	secretogranin III	29106	https://www.ncbi.nlm.nih.gov/gene/?term=29106
MPDZ	MPDZ	multiple PDZ domain crumbs cell polarity complex component	8777	https://www.ncbi.nlm.nih.gov/gene/?term=8777
ZNF608	ZNF608	zinc finger protein 608	57507	https://www.ncbi.nlm.nih.gov/gene/?term=57507
PDE4D	PDE4D	phosphodiesterase 4D	5144	https://www.ncbi.nlm.nih.gov/gene/?term=5144
PLAG1	PLAG1	PLAG1 zinc finger	5324	https://www.ncbi.nlm.nih.gov/gene/?term=5324
DEK	DEK	DEK proto-oncogene	7913	https://www.ncbi.nlm.nih.gov/gene/?term=7913
RREB1	RREB1	ras responsive element binding protein 1	6239	https://www.ncbi.nlm.nih.gov/gene/?term=6239
IRX2	IRX2	iroquois homeobox 2	153572	https://www.ncbi.nlm.nih.gov/gene/?term=153572
UCHL5	UCHL5	ubiquitin C-terminal hydrolase L5	51377	https://www.ncbi.nlm.nih.gov/gene/?term=51377
LRRC8C	LRRC8C	leucine rich repeat containing 8 VRAC subunit C	84230	https://www.ncbi.nlm.nih.gov/gene/?term=84230
KDM5B	KDM5B	lysine demethylase 5B	10765	https://www.ncbi.nlm.nih.gov/gene/?term=10765
CLPTM1	CLPTM1	CLPTM1, transmembrane protein	1209	https://www.ncbi.nlm.nih.gov/gene/?term=1209
FBXW4	FBXW4	F-box and WD repeat domain containing 4	6468	https://www.ncbi.nlm.nih.gov/gene/?term=6468
MTERF2	MTERF2	mitochondrial transcription termination factor 2	80298	https://www.ncbi.nlm.nih.gov/gene/?term=80298
PACSIN1	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	29993	https://www.ncbi.nlm.nih.gov/gene/?term=29993
WASL	WASL	Wiskott-Aldrich syndrome like	8976	https://www.ncbi.nlm.nih.gov/gene/?term=8976
PDS5B	PDS5B	PDS5 cohesin associated factor B	23047	https://www.ncbi.nlm.nih.gov/gene/?term=23047
PITX2	PITX2	paired like homeodomain 2	5308	https://www.ncbi.nlm.nih.gov/gene/?term=5308
PANK4	PANK4	pantothenate kinase 4	55229	https://www.ncbi.nlm.nih.gov/gene/?term=55229
PHYHIP	PHYHIP	phytanoyl-CoA 2-hydroxylase interacting protein	9796	https://www.ncbi.nlm.nih.gov/gene/?term=9796
PURB	PURB	purine rich element binding protein B	5814	https://www.ncbi.nlm.nih.gov/gene/?term=5814
ADD2	ADD2	adducin 2	119	https://www.ncbi.nlm.nih.gov/gene/?term=119
FIGLA	FIGLA	folliculogenesis specific bHLH transcription factor	344018	https://www.ncbi.nlm.nih.gov/gene/?term=344018
SIDT2	SIDT2	SID1 transmembrane family member 2	51092	https://www.ncbi.nlm.nih.gov/gene/?term=51092
RPS25	RPS25	ribosomal protein S25	6230	https://www.ncbi.nlm.nih.gov/gene/?term=6230
BCL9L	BCL9L	BCL9 like	283149	https://www.ncbi.nlm.nih.gov/gene/?term=283149
PRUNE1	PRUNE1	prune exopolyphosphatase 1	58497	https://www.ncbi.nlm.nih.gov/gene/?term=58497
MLLT11	MLLT11	MLLT11, transcription factor 7 cofactor	10962	https://www.ncbi.nlm.nih.gov/gene/?term=10962
CGN	CGN	cingulin	57530	https://www.ncbi.nlm.nih.gov/gene/?term=57530
PSMB4	PSMB4	proteasome subunit beta 4	5692	https://www.ncbi.nlm.nih.gov/gene/?term=5692
MAP3K11	MAP3K11	mitogen-activated protein kinase kinase kinase 11	4296	https://www.ncbi.nlm.nih.gov/gene/?term=4296
STRN4	STRN4	striatin 4	29888	https://www.ncbi.nlm.nih.gov/gene/?term=29888
AP5B1	AP5B1	adaptor related protein complex 5 subunit beta 1	91056	https://www.ncbi.nlm.nih.gov/gene/?term=91056
ZBTB3	ZBTB3	zinc finger and BTB domain containing 3	79842	https://www.ncbi.nlm.nih.gov/gene/?term=79842
MACF1	MACF1	microtubule-actin crosslinking factor 1	23499	https://www.ncbi.nlm.nih.gov/gene/?term=23499
SYNC	SYNC	syncoilin, intermediate filament protein	81493	https://www.ncbi.nlm.nih.gov/gene/?term=81493
CIC	CIC	capicua transcriptional repressor	23152	https://www.ncbi.nlm.nih.gov/gene/?term=23152
IRGC	IRGC	immunity related GTPase cinema	56269	https://www.ncbi.nlm.nih.gov/gene/?term=56269
SLC9A1	SLC9A1	solute carrier family 9 member A1	6548	https://www.ncbi.nlm.nih.gov/gene/?term=6548
RPL11	RPL11	ribosomal protein L11	6135	https://www.ncbi.nlm.nih.gov/gene/?term=6135
MFSD2A	MFSD2A	major facilitator superfamily domain containing 2A	84879	https://www.ncbi.nlm.nih.gov/gene/?term=84879
CGNL1	CGNL1	cingulin like 1	84952	https://www.ncbi.nlm.nih.gov/gene/?term=84952
MYZAP	MYZAP	myocardial zonula adherens protein	100820829	https://www.ncbi.nlm.nih.gov/gene/?term=100820829
