chr	start	end	name	class	activity_base	TargetGene	TargetGeneTSS	TargetGeneExpression	TargetGenePromoterActivityQuantile	TargetGeneIsExpressed	distance	isSelfPromoter	powerlaw_contact	powerlaw_contact_reference	hic_contact	hic_contact_pl_scaled	hic_pseudocount	hic_contact_pl_scaled_adj	ABC.Score.Numerator	ABC.Score	powerlaw.Score.Numerator	powerlaw.Score	CellType	geneType	newID3
scaffold-mi7	1130142	1130484	intergenic|scaffold-mi7:1130142.0-1130484	intergenic	6.218561	crovir-transcript-1055	1131257	12.220356	0.839983	TRUE	944	FALSE	0.123436	0.123436	0.068663	0.068663	0.001229	0.069892	0.43463	0.065255	0.767595	0.063005	NA	NonVenom	NA
scaffold-mi7	1132240	1132626	genic|scaffold-mi7:1132240.0-1132626	genic	8.181289	crovir-transcript-1055	1131257	12.220356	0.839983	TRUE	1176	FALSE	0.123436	0.123436	0.068663	0.068663	0.001229	0.069892	0.571809	0.085851	1.009866	0.082891	NA	NonVenom	NA
scaffold-mi7	1139628	1140189	intergenic|scaffold-mi7:1139628.0-1140189	intergenic	40.435725	crovir-transcript-1055	1131257	12.220356	0.839983	TRUE	8651.5	FALSE	0.076614	0.076614	0.068663	0.068663	0.001229	0.069892	2.826148	0.424316	3.097944	0.254284	NA	NonVenom	NA
scaffold-mi7	3024078	3024707	genic|scaffold-mi7:3024078.0-3024707	genic	16.96213	crovir-transcript-PLA2_gIIE	3022112	11.012658	0.977349	TRUE	2280.5	FALSE	0.123436	0.123436	0.068368	0.068368	0.001229	0.069597	1.180521	0.138785	2.093738	0.137656	NA	NonVenom	PER38_PLA2_B1
scaffold-mi7	3024078	3024707	genic|scaffold-mi7:3024078.0-3024707	genic	16.96213	crovir-transcript-PLA2_B1	3029505	16.916786	0.903808	TRUE	5112.5	FALSE	0.12107	0.12107	0.0405	0.0405	0.001229	0.041729	0.707814	0.103789	2.053605	0.139574	NA	Venom	PER38_PLA2_B1
scaffold-mi7	3034828	3035309	intergenic|scaffold-mi7:3034828.0-3035309	intergenic	10.570547	crovir-transcript-PLA2_A1	3041841	18.38765	0.957248	TRUE	6772.5	FALSE	0.094801	0.094801	0.106906	0.106906	0.001229	0.108135	1.143045	0.126118	1.002101	0.078293	NA	Venom	PER39_PLA2_A1
scaffold-mi7	4053622	4054653	intergenic|scaffold-mi7:4053622.0-4054653	intergenic	10.380297	crovir-transcript-1260	4049718	10.536013	0.839315	TRUE	4419.5	FALSE	0.123436	0.123436	0.041739	0.041739	0.001229	0.042968	0.446023	0.08075	1.281303	0.104106	NA	NonVenom	NA
scaffold-mi7	4060179	4060741	intergenic|scaffold-mi7:4060179.0-4060741	intergenic	21.803745	crovir-transcript-1260	4049718	10.536013	0.839315	TRUE	10742	FALSE	0.063466	0.063466	0.015243	0.015243	0.001229	0.016473	0.359166	0.065025	1.3838	0.112434	NA	NonVenom	NA
scaffold-mi7	4791307	4792604	intergenic|scaffold-mi7:4791307.0-4792604	intergenic	21.574097	crovir-transcript-1301	4810033	10.447548	0.582377	TRUE	18077.5	FALSE	0.040354	0.040354	0.014612	0.014612	0.001229	0.015842	0.34177	0.065095	0.870608	0.094646	NA	NonVenom	NA
scaffold-mi7	4806750	4807123	intergenic|scaffold-mi7:4806750.0-4807123	intergenic	4.703419	crovir-transcript-1301	4810033	10.447548	0.582377	TRUE	3096.5	FALSE	0.123436	0.123436	0.090072	0.090072	0.001229	0.091301	0.429427	0.081791	0.580571	0.063115	NA	NonVenom	NA
