TE	genome_count	peak_count	odds_ratio	fishers_two_tail	fishers_left_tail	fishers_right_tail	combo_score
Cmitchellii_rnd-5_family-368_DNA/hAT-Tip100	445	5	1301.1417233560092	5.2731290803110038e-14	0.99999999999999996	5.2731290803110038e-14	137.36766984426307	
Catrox_rnd-3_family-1098_DNA/hAT-Tip100	71	3	5741.6977225672872	8.7405831993963624e-11	0.999999999999985	8.7405831993963624e-11	125.60261683416619	
DNA-3_ACar_DNA	154	2	1905.9986928104577	1.5053259385508158e-06	0.99999999921550326	1.5053259385508158e-06	63.44246719801399	
Cobra_LINE/CR1-L3_rnd-5_family-471	290	2	827.0961937716263	7.9564668349787153e-06	0.9999999904170201	7.9564668349787153e-06	49.421767059890452	
Agkistrodon__DNArnd-1_family-1116	31	1	5786.9879032258068	0.00036712995223599684	0.99999993860994006	0.00036712995223599684	42.934932421109993	
Deinagkistrodon_LINE/CR1-L3_rnd-3_family-303	10250	5	67.966035526058945	1.1957742841117938e-07	0.99999999824637985	1.1957742841117938e-07	42.134563762652184	
Cobra_LINE/CR1-L3_rnd-5_family-47	535	2	447.31647940074907	2.7092293605484437e-05	0.99999993958779904	2.7092293605484437e-05	40.214487623037216	
CvvDT_rnd-5_family-2217_DNA/PIF-Harbinger	14629	5	50.260854700854701	5.2016135743894933e-07	0.99999998969593104	5.2016135743894933e-07	35.512386604401677	
Catrox_rnd-3_family-8_LINE/L1	1900	2	132.92796208530808	0.00030252444688770288	0.99999773048763221	0.00030252444688770288	24.826478056893806	
Agkistrodon_DNA/TcMar2_DONG_FR	435	1	398.95258620689651	0.0053114305765826722	0.99998672966992467	0.0053114305765826722	19.654339729408031	
Cmitchellii_rnd-4_family-234_LTR/Gypsy	444	1	349.61514639639637	0.0060585638252925007	0.99998272836258042	0.0060585638252925007	18.738142041569152	
CvvDT_rnd-5_family-745_DNA/hAT-VIP	3846	2	64.238907672301693	0.0012703992706964087	0.99998032151195421	0.0012703992706964087	17.39192622769177	
Agkistrodon__DNArnd-1_family-661	715	1	253.48741258741262	0.0083459302762746824	0.99996717028362561	0.0083459302762746824	16.598625189483253	
NajaNaja_rnd-5_family-1649_DNA/hAT-Ac	727	1	251.70770288858321	0.0084046776456098062	0.99996670501448033	0.0084046776456098062	16.553201358677375	
Agkistrodon__DNArnd-1_family-66	765	1	236.41225490196078	0.0089458623343455768	0.99996226934855	0.0089458623343455768	16.151788682954964	
Agkistrodon__DNArnd-1_family-843	5131	2	54.915360623781673	0.0017273785113843722	0.9999687230627019	0.0017273785113843722	15.965518371981553	
CvvDT_rnd-4_family-843_LTR/Pao	629	1	206.29332273449918	0.01024483807986226	0.99995050764097696	0.01024483807986226	15.296337617922367	
Cmitchellii_rnd-4_family-27_LTR/Gypsy	647	1	205.46580370942812	0.0102858756741009	0.99995010741316207	0.0102858756741009	15.27146230590757	
Agkistrodon__DNArnd-1_family-84	5714	2	49.293295991598114	0.0021332649140614333	0.99995699462683081	0.0021332649140614333	15.019634632554326	
Deinagkistrodon_rnd-5_family-537_LTR/Pao	792	1	150.95596590909091	0.013972490609144136	0.99990778656666255	0.013972490609144136	13.424478302675392	
Agkistrodon__DNArnd-1_family-106	1650	1	111.80015151515153	0.018817127205710799	0.99983235572671908	0.018817127205710799	11.741282177650951	
Deinagkistrodon_rnd-5_family-53_LINE/L1	1329	1	102.37518811136192	0.020530506904942204	0.99980034301541216	0.020530506904942204	11.269326328693797	
Gypsy-6_XT-I_LTR/Gypsy	1067	1	89.200562324273662	0.023524701389521674	0.99973762656764146	0.023524701389521674	10.550864126163958	

CvvDT_rnd-6_family-1719_DNA/hAT-VIP	3176	1	44.819387594458433	0.046242882239309792	0.99897718353531158	0.046242882239309792	7.3236318297916389	
Deinagkistrodon_rnd-3_family-127_LTR/Gypsy	3308	1	34.944755139056831	0.058895702555000133	0.9983331658869116	0.058895702555000133	6.3057863078093159	
LTR	236642	9	4.8182583652391457	0.0031975185441651438	0.9993672081191621	0.0031975185441651438	5.660360879931254	
Deinagkistrodon_LINE/CR1-L3	225384	8	4.6765996530258187	0.0049506441945203564	0.99899106483331313	0.0049506441945203564	5.1304379797166402	
Agkistrodon_DNA/TcMar	165195	6	4.654738620541635	0.011502442511050266	0.99764706380107473	0.011502442511050266	4.3025253747238733	
Agkistrodon__DNA	132236	5	4.6960228991469535	0.019011836050266296	0.99615074565282207	0.019011836050266296	3.8402535927002934	
Thamnophis_LINE/CR1-L3454_rnd-1_family-1	15544	1	10.40239803139475	0.18377164174985397	0.98296746945464497	0.18377164174985397	2.4858883698696888	
Thamnophis_LINE/CR1-L3	22362	1	7.2910126553975498	0.25097503230931163	0.96733199195176376	0.25097503230931163	1.7207305005450382	
Deinagkistrodon_rnd-3_family-67_DNA/TcMar-Tigger	25850	1	6.9007833655705992	0.26300844065416056	0.96393799108543132	0.26300844065416056	1.6164053599902111	
Agkistrodon_DNA/TcMar2_	24383	1	6.81600397818152	0.26577543154179044	0.96313118096476609	0.26577543154179044	1.5934759465204472	
Cobra_LINE/CR1-L3	85074	2	2.8301999459287903	0.31045296636308506	0.90228583046286727	0.31045296636308506	0.76246550438962435	
	
L2_LINE/CR1-L2	71230	0	0.98415759166324634	0.62126338847124566	0.37274174433612042	1	-0.0047626668722172422	
tRNA	78183	0	0.96556539325031154	0.6210283434823743	0.36592659688191675	1	-0.010459071129817766	
RNA	79113	0	0.95418004398715772	0.62094584920601295	0.3616904780413194	1	-0.014003346698923013	
L3_LINE/CR1	75224	0	0.86416515160401153	0.62224215386809167	0.32644950601438771	1	-0.043396479536767507	
Boa_LINE/CR1-L3	85739	0	0.80922419352625585	0.62514383154246636	0.30334621858608526	1	-0.062305405901736326	
Python_LINE/CR1-L3	102199	0	0.68738229538390694	0.63976821931910117	0.24761937116448151	1	-0.10490593163909052	
Simple_repeat	543945	4	0.69864066389431234	0.44778514380629444	0.22172622527480143	0.90461933877800709	-0.18052868873612694	
BovB_LINE/RTE-BovB	99327	0	0.64313954479987867	0.39184081864506637	0.22586913007584949	1	-0.25910625156394002	
SINE	184647	0	0.38097671372175229	0.15331632767148605	0.087084803979321567	1	-1.133844402917016	
Unknown	267096	0	0.24492578043358998	0.057804640342635361	0.025753843382309031	1	-2.5127000171084749	
LINE	699323	3	0.21257681175229767	0.0010645863554439819	0.00098632914739641472	0.99986158034159868	-6.6411109884349824	
