userId	geneSymbol	geneName	entrezgene	gLink
SIRT1	SIRT1	sirtuin 1	23411	https://www.ncbi.nlm.nih.gov/gene/?term=23411
RERE	RERE	arginine-glutamic acid dipeptide repeats	473	https://www.ncbi.nlm.nih.gov/gene/?term=473
NOC2L	NOC2L	NOC2 like nucleolar associated transcriptional repressor	26155	https://www.ncbi.nlm.nih.gov/gene/?term=26155
IKZF5	IKZF5	IKAROS family zinc finger 5	64376	https://www.ncbi.nlm.nih.gov/gene/?term=64376
SUFU	SUFU	SUFU negative regulator of hedgehog signaling	51684	https://www.ncbi.nlm.nih.gov/gene/?term=51684
PPRC1	PPRC1	peroxisome proliferator-activated receptor gamma, coactivator-related 1	23082	https://www.ncbi.nlm.nih.gov/gene/?term=23082
HES6	HES6	hes family bHLH transcription factor 6	55502	https://www.ncbi.nlm.nih.gov/gene/?term=55502
PIAS2	PIAS2	protein inhibitor of activated STAT 2	9063	https://www.ncbi.nlm.nih.gov/gene/?term=9063
BMPR1A	BMPR1A	bone morphogenetic protein receptor type 1A	657	https://www.ncbi.nlm.nih.gov/gene/?term=657
TP73	TP73	tumor protein p73	7161	https://www.ncbi.nlm.nih.gov/gene/?term=7161
RORA	RORA	RAR related orphan receptor A	6095	https://www.ncbi.nlm.nih.gov/gene/?term=6095
KLF13	KLF13	Kruppel like factor 13	51621	https://www.ncbi.nlm.nih.gov/gene/?term=51621
TSC22D4	TSC22D4	TSC22 domain family member 4	81628	https://www.ncbi.nlm.nih.gov/gene/?term=81628
ZNF592	ZNF592	zinc finger protein 592	9640	https://www.ncbi.nlm.nih.gov/gene/?term=9640
CAMTA1	CAMTA1	calmodulin binding transcription activator 1	23261	https://www.ncbi.nlm.nih.gov/gene/?term=23261
PRDM2	PRDM2	PR/SET domain 2	7799	https://www.ncbi.nlm.nih.gov/gene/?term=7799
AEBP2	AEBP2	AE binding protein 2	121536	https://www.ncbi.nlm.nih.gov/gene/?term=121536
TLE1	TLE1	TLE family member 1, transcriptional corepressor	7088	https://www.ncbi.nlm.nih.gov/gene/?term=7088
ZNF710	ZNF710	zinc finger protein 710	374655	https://www.ncbi.nlm.nih.gov/gene/?term=374655
FOXC2	FOXC2	forkhead box C2	2303	https://www.ncbi.nlm.nih.gov/gene/?term=2303
CTCF	CTCF	CCCTC-binding factor	10664	https://www.ncbi.nlm.nih.gov/gene/?term=10664
ZBED4	ZBED4	zinc finger BED-type containing 4	9889	https://www.ncbi.nlm.nih.gov/gene/?term=9889
ZNF800	ZNF800	zinc finger protein 800	168850	https://www.ncbi.nlm.nih.gov/gene/?term=168850
SREBF2	SREBF2	sterol regulatory element binding transcription factor 2	6721	https://www.ncbi.nlm.nih.gov/gene/?term=6721
ATF4	ATF4	activating transcription factor 4	468	https://www.ncbi.nlm.nih.gov/gene/?term=468
SOX10	SOX10	SRY-box 10	6663	https://www.ncbi.nlm.nih.gov/gene/?term=6663
TDG	TDG	thymine DNA glycosylase	6996	https://www.ncbi.nlm.nih.gov/gene/?term=6996
CREB3L2	CREB3L2	cAMP responsive element binding protein 3 like 2	64764	https://www.ncbi.nlm.nih.gov/gene/?term=64764
CREB3	CREB3	cAMP responsive element binding protein 3	10488	https://www.ncbi.nlm.nih.gov/gene/?term=10488
OVOL1	OVOL1	ovo like transcriptional repressor 1	5017	https://www.ncbi.nlm.nih.gov/gene/?term=5017
FOSB	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit	2354	https://www.ncbi.nlm.nih.gov/gene/?term=2354
GATAD2B	GATAD2B	GATA zinc finger domain containing 2B	57459	https://www.ncbi.nlm.nih.gov/gene/?term=57459
PPP1R13L	PPP1R13L	protein phosphatase 1 regulatory subunit 13 like	10848	https://www.ncbi.nlm.nih.gov/gene/?term=10848
RORC	RORC	RAR related orphan receptor C	6097	https://www.ncbi.nlm.nih.gov/gene/?term=6097
ARNT	ARNT	aryl hydrocarbon receptor nuclear translocator	405	https://www.ncbi.nlm.nih.gov/gene/?term=405
AEBP1	AEBP1	AE binding protein 1	165	https://www.ncbi.nlm.nih.gov/gene/?term=165
ARHGAP35	ARHGAP35	Rho GTPase activating protein 35	2909	https://www.ncbi.nlm.nih.gov/gene/?term=2909
PURA	PURA	purine rich element binding protein A	5813	https://www.ncbi.nlm.nih.gov/gene/?term=5813
PURB	PURB	purine rich element binding protein B	5814	https://www.ncbi.nlm.nih.gov/gene/?term=5814
KAT6A	KAT6A	lysine acetyltransferase 6A	7994	https://www.ncbi.nlm.nih.gov/gene/?term=7994
BARX2	BARX2	BARX homeobox 2	8538	https://www.ncbi.nlm.nih.gov/gene/?term=8538
MXD1	MXD1	MAX dimerization protein 1	4084	https://www.ncbi.nlm.nih.gov/gene/?term=4084
FIGLA	FIGLA	folliculogenesis specific bHLH transcription factor	344018	https://www.ncbi.nlm.nih.gov/gene/?term=344018
BOLA3	BOLA3	bolA family member 3	388962	https://www.ncbi.nlm.nih.gov/gene/?term=388962
ATF6B	ATF6B	activating transcription factor 6 beta	1388	https://www.ncbi.nlm.nih.gov/gene/?term=1388
WNT5A	WNT5A	Wnt family member 5A	7474	https://www.ncbi.nlm.nih.gov/gene/?term=7474
CREBRF	CREBRF	CREB3 regulatory factor	153222	https://www.ncbi.nlm.nih.gov/gene/?term=153222
FOXI1	FOXI1	forkhead box I1	2299	https://www.ncbi.nlm.nih.gov/gene/?term=2299
ZNF750	ZNF750	zinc finger protein 750	79755	https://www.ncbi.nlm.nih.gov/gene/?term=79755
SOX9	SOX9	SRY-box 9	6662	https://www.ncbi.nlm.nih.gov/gene/?term=6662
BUD31	BUD31	BUD31 homolog	8896	https://www.ncbi.nlm.nih.gov/gene/?term=8896
NR4A1	NR4A1	nuclear receptor subfamily 4 group A member 1	3164	https://www.ncbi.nlm.nih.gov/gene/?term=3164
DDIT3	DDIT3	DNA damage inducible transcript 3	1649	https://www.ncbi.nlm.nih.gov/gene/?term=1649
ZNF740	ZNF740	zinc finger protein 740	283337	https://www.ncbi.nlm.nih.gov/gene/?term=283337
CSRNP2	CSRNP2	cysteine and serine rich nuclear protein 2	81566	https://www.ncbi.nlm.nih.gov/gene/?term=81566
POU6F1	POU6F1	POU class 6 homeobox 1	5463	https://www.ncbi.nlm.nih.gov/gene/?term=5463
MBD1	MBD1	methyl-CpG binding domain protein 1	4152	https://www.ncbi.nlm.nih.gov/gene/?term=4152
KDM5C	KDM5C	lysine demethylase 5C	8242	https://www.ncbi.nlm.nih.gov/gene/?term=8242
HCFC1	HCFC1	host cell factor C1	3054	https://www.ncbi.nlm.nih.gov/gene/?term=3054
SMARCA2	SMARCA2	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2	6595	https://www.ncbi.nlm.nih.gov/gene/?term=6595
SMARCA4	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4	6597	https://www.ncbi.nlm.nih.gov/gene/?term=6597
CARM1	CARM1	coactivator associated arginine methyltransferase 1	10498	https://www.ncbi.nlm.nih.gov/gene/?term=10498
NFIX	NFIX	nuclear factor I X	4784	https://www.ncbi.nlm.nih.gov/gene/?term=4784
ZBTB6	ZBTB6	zinc finger and BTB domain containing 6	10773	https://www.ncbi.nlm.nih.gov/gene/?term=10773
SP1	SP1	Sp1 transcription factor	6667	https://www.ncbi.nlm.nih.gov/gene/?term=6667
ZBTB26	ZBTB26	zinc finger and BTB domain containing 26	57684	https://www.ncbi.nlm.nih.gov/gene/?term=57684
ZNF462	ZNF462	zinc finger protein 462	58499	https://www.ncbi.nlm.nih.gov/gene/?term=58499
MLLT3	MLLT3	MLLT3, super elongation complex subunit	4300	https://www.ncbi.nlm.nih.gov/gene/?term=4300
NFIB	NFIB	nuclear factor I B	4781	https://www.ncbi.nlm.nih.gov/gene/?term=4781
GTF2H2	GTF2H2	general transcription factor IIH subunit 2	2966	https://www.ncbi.nlm.nih.gov/gene/?term=2966
JMY	JMY	junction mediating and regulatory protein, p53 cofactor	133746	https://www.ncbi.nlm.nih.gov/gene/?term=133746
CDK7	CDK7	cyclin dependent kinase 7	1022	https://www.ncbi.nlm.nih.gov/gene/?term=1022
SREBF1	SREBF1	sterol regulatory element binding transcription factor 1	6720	https://www.ncbi.nlm.nih.gov/gene/?term=6720
MBNL3	MBNL3	muscleblind like splicing regulator 3	55796	https://www.ncbi.nlm.nih.gov/gene/?term=55796
FOXO4	FOXO4	forkhead box O4	4303	https://www.ncbi.nlm.nih.gov/gene/?term=4303
FOXO3	FOXO3	forkhead box O3	2309	https://www.ncbi.nlm.nih.gov/gene/?term=2309
TSC22D3	TSC22D3	TSC22 domain family member 3	1831	https://www.ncbi.nlm.nih.gov/gene/?term=1831
TERF2	TERF2	telomeric repeat binding factor 2	7014	https://www.ncbi.nlm.nih.gov/gene/?term=7014
HIF3A	HIF3A	hypoxia inducible factor 3 subunit alpha	64344	https://www.ncbi.nlm.nih.gov/gene/?term=64344
LITAF	LITAF	lipopolysaccharide induced TNF factor	9516	https://www.ncbi.nlm.nih.gov/gene/?term=9516
XBP1	XBP1	X-box binding protein 1	7494	https://www.ncbi.nlm.nih.gov/gene/?term=7494
TFAP4	TFAP4	transcription factor AP-4	7023	https://www.ncbi.nlm.nih.gov/gene/?term=7023
GLIS2	GLIS2	GLIS family zinc finger 2	84662	https://www.ncbi.nlm.nih.gov/gene/?term=84662
CSRNP1	CSRNP1	cysteine and serine rich nuclear protein 1	64651	https://www.ncbi.nlm.nih.gov/gene/?term=64651
CREM	CREM	cAMP responsive element modulator	1390	https://www.ncbi.nlm.nih.gov/gene/?term=1390
DNAJC1	DNAJC1	DnaJ heat shock protein family (Hsp40) member C1	64215	https://www.ncbi.nlm.nih.gov/gene/?term=64215
ZBTB33	ZBTB33	zinc finger and BTB domain containing 33	10009	https://www.ncbi.nlm.nih.gov/gene/?term=10009
NKRF	NKRF	NFKB repressing factor	55922	https://www.ncbi.nlm.nih.gov/gene/?term=55922
SKI	SKI	SKI proto-oncogene	6497	https://www.ncbi.nlm.nih.gov/gene/?term=6497
RARA	RARA	retinoic acid receptor alpha	5914	https://www.ncbi.nlm.nih.gov/gene/?term=5914
NFE2L1	NFE2L1	nuclear factor, erythroid 2 like 1	4779	https://www.ncbi.nlm.nih.gov/gene/?term=4779
