maker-scaffold-Z-augustus-gene-50.3	ZEB1
maker-scaffold-Z-augustus-gene-378.55	TAF6L
maker-scaffold-Z-augustus-gene-364.5	RIPK3
maker-scaffold-Z-augustus-gene-364.4	NFATC4
maker-scaffold-Z-augustus-gene-360.26	APEX1
maker-scaffold-Z-augustus-gene-328.13	ATF5
maker-scaffold-Z-augustus-gene-316.9	TRIM28
maker-scaffold-Z-augustus-gene-312.13	RUVBL2
maker-scaffold-Z-augustus-gene-309.10	IRF3
maker-scaffold-Z-augustus-gene-3.9	WNT3A
maker-scaffold-Z-augustus-gene-288.10	KAT2A
maker-scaffold-Z-augustus-gene-282.3	JUP
maker-scaffold-Z-augustus-gene-279.7	SMARCE1
maker-scaffold-Z-augustus-gene-278.3	RARA
maker-scaffold-Z-augustus-gene-276.6	NR1D1
maker-scaffold-Z-augustus-gene-275.11	MED24
maker-scaffold-Z-augustus-gene-272.6	MED1
maker-scaffold-Z-augustus-gene-187.3	SKI
maker-scaffold-Z-augustus-gene-181.6	TBX20
maker-scaffold-Z-augustus-gene-168.5	UBP1
maker-scaffold-Z-augustus-gene-165.3	CTNNB1
maker-scaffold-Z-augustus-gene-123.8	JAZF1
maker-scaffold-mi8-augustus-gene-9.13	CBFB
maker-scaffold-mi8-augustus-gene-6.20	SF1
maker-scaffold-mi8-augustus-gene-4.18	LIMD1
maker-scaffold-mi8-augustus-gene-31.19	PSMD9
maker-scaffold-mi8-augustus-gene-27.35	PBXIP1
maker-scaffold-mi8-augustus-gene-26.29	HIF3A
maker-scaffold-mi8-augustus-gene-21.22	CBFA2T3
maker-scaffold-mi8-augustus-gene-16.27	TAF1
maker-scaffold-mi7-augustus-gene-7.26	PARK7
maker-scaffold-mi7-augustus-gene-6.23	PRDM16
maker-scaffold-mi7-augustus-gene-40.91	CREBBP
maker-scaffold-mi7-augustus-gene-15.32	ARHGAP35
maker-scaffold-mi7-augustus-gene-13.52	PPP1R13L
maker-scaffold-mi7-augustus-gene-0.5	NOC2L
maker-scaffold-mi6-augustus-gene-7.10	BRD7
maker-scaffold-mi6-augustus-gene-40.9	WWOX
maker-scaffold-mi6-augustus-gene-30.8	CTCF
maker-scaffold-mi6-augustus-gene-23.9	URI1
maker-scaffold-mi5-augustus-gene-28.15	E4F1
maker-scaffold-mi4-augustus-gene-32.17	AIP
maker-scaffold-mi4-augustus-gene-32.15	TAF7L
maker-scaffold-mi4-augustus-gene-30.13	BUD31
maker-scaffold-mi3-augustus-gene-8.19	SIN3A
maker-scaffold-mi3-augustus-gene-54.33	TLE1
maker-scaffold-mi3-augustus-gene-54.29	TP53BP1
maker-scaffold-mi3-augustus-gene-41.11	MEF2A
maker-scaffold-mi3-augustus-gene-23.8	CEBPA
maker-scaffold-mi3-augustus-gene-11.21	ISL1
maker-scaffold-mi2-augustus-gene-57.11	ARID1A
maker-scaffold-mi2-augustus-gene-56.15	NR0B2
maker-scaffold-mi2-augustus-gene-50.9	ID3
maker-scaffold-mi2-augustus-gene-50.6	GMEB1
maker-scaffold-mi2-augustus-gene-50.10	TAF12
maker-scaffold-mi2-augustus-gene-4.18	MTF1
maker-scaffold-mi2-augustus-gene-35.10	KDM1A
maker-scaffold-mi2-augustus-gene-20.19	ERF
maker-scaffold-mi2-augustus-gene-10.10	NFYC
maker-scaffold-mi10-augustus-gene-7.19	RCOR2
maker-scaffold-mi10-augustus-gene-4.27	KAT5
maker-scaffold-mi10-augustus-gene-3.16	RBM14
maker-scaffold-mi10-augustus-gene-16.73	ARNT
maker-scaffold-mi10-augustus-gene-10.26	NR1I3
maker-scaffold-mi10-augustus-gene-1.9	SKOR1
maker-scaffold-mi10-augustus-gene-1.9	SKOR2
maker-scaffold-mi10-augustus-gene-0.14	PIAS1
maker-scaffold-mi1-augustus-gene-69.6	PML
maker-scaffold-mi1-augustus-gene-66.19	POU2AF1
maker-scaffold-mi1-augustus-gene-63.31	MXD1
maker-scaffold-mi1-augustus-gene-59.22	ARID5A
maker-scaffold-mi1-augustus-gene-58.8	KAT6A
maker-scaffold-ma7-augustus-gene-71.6	POU4F2
maker-scaffold-ma7-augustus-gene-151.2	LDB2
maker-scaffold-ma7-augustus-gene-138.5	HAND2
maker-scaffold-ma6-augustus-gene-83.4	YAF2
maker-scaffold-ma6-augustus-gene-63.1	TFEC
maker-scaffold-ma6-augustus-gene-189.2	HIPK2
maker-scaffold-ma6-augustus-gene-185.13	TDG
maker-scaffold-ma6-augustus-gene-174.5	RBFOX2
maker-scaffold-ma6-augustus-gene-167.13	SOX10
maker-scaffold-ma6-augustus-gene-165.18	DDX17
maker-scaffold-ma6-augustus-gene-160.6	MKL1
maker-scaffold-ma6-augustus-gene-159.9	EP300
maker-scaffold-ma6-augustus-gene-157.8	TCF20
maker-scaffold-ma6-augustus-gene-155.4	ATF7IP
