longid	txid	id	DnaBinding	ProtBinding	Coregulator
augustus_masked-scaffold-101-processed-gene-0.1	NA	IRX5	TRUE	FALSE	FALSE
augustus_masked-scaffold-101-processed-gene-0.1	NA	IRX3	TRUE	FALSE	FALSE
augustus_masked-scaffold-11-processed-gene-3.3	NA	CREBL2	TRUE	FALSE	FALSE
augustus_masked-scaffold-11-processed-gene-5.7	NA	FOXM1	TRUE	FALSE	FALSE
augustus_masked-scaffold-117-processed-gene-0.0	NA	SETBP1	TRUE	FALSE	FALSE
augustus_masked-scaffold-123-processed-gene-0.2	NA	SOX4	TRUE	FALSE	TRUE
augustus_masked-scaffold-123-processed-gene-0.2	NA	SOX12	TRUE	FALSE	TRUE
augustus_masked-scaffold-1288-processed-gene-0.0	NA	EGR4	TRUE	FALSE	FALSE
augustus_masked-scaffold-13-processed-gene-0.11	NA	CASZ1	TRUE	FALSE	FALSE
augustus_masked-scaffold-16-processed-gene-0.5	NA	INSM2	TRUE	FALSE	FALSE
augustus_masked-scaffold-17-processed-gene-0.4	NA	TBX4	TRUE	FALSE	FALSE
augustus_masked-scaffold-17-processed-gene-0.5	NA	TBX2	TRUE	FALSE	FALSE
augustus_masked-scaffold-170-processed-gene-0.1	NA	HOMEZ	TRUE	FALSE	TRUE
augustus_masked-scaffold-178-processed-gene-0.0	NA	GLMP	TRUE	FALSE	TRUE
augustus_masked-scaffold-225-processed-gene-0.1	NA	ZFHX2	TRUE	FALSE	FALSE
augustus_masked-scaffold-310-processed-gene-0.1	NA	SCX	TRUE	FALSE	FALSE
augustus_masked-scaffold-3714-processed-gene-0.0	NA	IRF5	TRUE	FALSE	FALSE
augustus_masked-scaffold-387-processed-gene-0.0	NA	PHOX2A	TRUE	FALSE	FALSE
augustus_masked-scaffold-411-processed-gene-0.0	NA	ZNF467	TRUE	FALSE	FALSE
augustus_masked-scaffold-435-processed-gene-0.0	NA	NRL	TRUE	FALSE	TRUE
augustus_masked-scaffold-472-processed-gene-0.0	NA	ZBTB4	TRUE	FALSE	FALSE
augustus_masked-scaffold-475-processed-gene-0.0	NA	MLLT1	TRUE	FALSE	FALSE
augustus_masked-scaffold-5839-processed-gene-0.0	NA	FOXS1	TRUE	FALSE	FALSE
augustus_masked-scaffold-6133-processed-gene-0.0	NA	CAMTA2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-0.3	crovir-transcript-6698	UHRF1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-1028.1	crovir-transcript-10085	MNT	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-1036.6	crovir-transcript-10096	TADA2A	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-1037.5	crovir-transcript-10078	LHX1	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-136.0	crovir-transcript-7200	PROX1	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-136.0	crovir-transcript-7200	PROX2	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-138.4	crovir-transcript-7222	VSX2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-150.1	crovir-transcript-7268	ZC3H3	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-156.0	crovir-transcript-7241	FOXG1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-16.4	crovir-transcript-6768	TCF3	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-22.7	crovir-transcript-6808	ARID3A	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-26.4	crovir-transcript-6797	JUN	TRUE	TRUE	TRUE
augustus_masked-scaffold-ma1-processed-gene-28.12	crovir-transcript-6849	ZNF414	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-289.0	crovir-transcript-7712	ASCL2	TRUE	TRUE	FALSE
augustus_masked-scaffold-ma1-processed-gene-289.0	crovir-transcript-7712	ASCL1	TRUE	TRUE	FALSE
augustus_masked-scaffold-ma1-processed-gene-308.5	crovir-transcript-7805	ASCL4	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-308.5	crovir-transcript-7805	ASCL3	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-380.2	crovir-transcript-8133	ZNF148	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-39.6	crovir-transcript-6930	MIS18BP1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-437.1	crovir-transcript-8215	TBR1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-463.1	crovir-transcript-8307	HOXD10	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-463.6	crovir-transcript-8311	HOXD13	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-481.0	crovir-transcript-8369	ZC3H15	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-542.2	crovir-transcript-8525	GBX2	TRUE	TRUE	FALSE
augustus_masked-scaffold-ma1-processed-gene-558.1	crovir-transcript-8565	RUNX2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-570.0	crovir-transcript-8589	MEIS1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-604.2	crovir-transcript-8714	E2F6	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-61.6	crovir-transcript-7009	SIX3	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-61.6	crovir-transcript-7009	SIX6	TRUE	FALSE	TRUE
augustus_masked-scaffold-ma1-processed-gene-687.1	crovir-transcript-8894	HNF1A	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-687.1	crovir-transcript-8894	HNF1B	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-749.2	crovir-transcript-9093	LHX5	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-749.8	crovir-transcript-9095	TBX5	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-750.0	crovir-transcript-9066	TBX3	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-801.4	crovir-transcript-9282	ZBTB2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-885.1	crovir-transcript-9524	FOSL2	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-894.1	crovir-transcript-9560	PARP1	TRUE	FALSE	FALSE
augustus_masked-scaffold-ma1-processed-gene-938.8	crovir-transcript-9742	ZC3H6	TRUE	FALSE	FALSE
