maker-scaffold-Z-augustus-gene-351.29	TBX6
maker-scaffold-Z-augustus-gene-144.8	EOMES
maker-scaffold-mi9-augustus-gene-1.7	SNAPC4
maker-scaffold-mi8-augustus-gene-19.23	WWP2
maker-scaffold-mi8-augustus-gene-16.27	TAF1
maker-scaffold-mi8-augustus-gene-15.26	FOXO3
maker-scaffold-mi7-augustus-gene-40.91	CREBBP
maker-scaffold-mi7-augustus-gene-28.19	TTF1
maker-scaffold-mi7-augustus-gene-18.25	LHX3
maker-scaffold-mi5-augustus-gene-13.13	RRN3
maker-scaffold-mi2-augustus-gene-58.15	ZNF683
maker-scaffold-ma7-augustus-gene-186.5	CLOCK
maker-scaffold-ma7-augustus-gene-151.2	LDB2
maker-scaffold-ma7-augustus-gene-111.13	CNOT7
maker-scaffold-ma6-augustus-gene-225.4	LHX2
maker-scaffold-ma6-augustus-gene-163.6	ATF4
maker-scaffold-ma6-augustus-gene-148.8	NR1H4
maker-scaffold-ma5-augustus-gene-53.9	TFAM
maker-scaffold-ma4-augustus-gene-319.6	YAP1
maker-scaffold-ma4-augustus-gene-246.8	RIOX2
maker-scaffold-ma3-augustus-gene-92.15	MYBL1
maker-scaffold-ma3-augustus-gene-77.11	HEY1
maker-scaffold-ma3-augustus-gene-322.3	CDC73
maker-scaffold-ma3-augustus-gene-102.5	SDR16C5
maker-scaffold-ma2-augustus-gene-80.4	BHLHE40
maker-scaffold-ma2-augustus-gene-529.6	KLF4
maker-scaffold-ma2-augustus-gene-298.7	MYOCD
maker-scaffold-ma2-augustus-gene-242.4	NKX2-5
maker-scaffold-ma2-augustus-gene-215.2	PITX1
maker-scaffold-ma2-augustus-gene-214.4	NEUROG1
maker-scaffold-ma2-augustus-gene-209.11	NOTCH1
maker-scaffold-ma1-augustus-gene-935.8	SRF
maker-scaffold-ma1-augustus-gene-831.7	TBP
maker-scaffold-ma1-augustus-gene-824.3	T
maker-scaffold-ma1-augustus-gene-779.4	MYB
maker-scaffold-ma1-augustus-gene-762.10	HEY2
maker-scaffold-ma1-augustus-gene-69.1	BRF1
maker-scaffold-ma1-augustus-gene-557.3	CDC5L
maker-scaffold-ma1-augustus-gene-517.6	CREB1
maker-scaffold-ma1-augustus-gene-272.2	TEAD1
maker-scaffold-ma1-augustus-gene-271.4	ARNTL
maker-scaffold-ma1-augustus-gene-236.6	LMO2
maker-scaffold-ma1-augustus-gene-179.11	RTF1
maker-scaffold-ma1-augustus-gene-135.15	FOS
maker-scaffold-ma1-augustus-gene-132.9	ESRRB
maker-scaffold-97-augustus-gene-0.5	SPEN
maker-scaffold-1658-augustus-gene-0.1	TP53
maker-scaffold-11-augustus-gene-1.6	PPARA
augustus_masked-scaffold-Z-processed-gene-348.8	MAMSTR
augustus_masked-scaffold-Z-processed-gene-338.8	TEAD2
augustus_masked-scaffold-Z-processed-gene-295.2	NFE2L1
augustus_masked-scaffold-mi8-processed-gene-15.4	MED12
augustus_masked-scaffold-ma7-processed-gene-56.0	PITX2
augustus_masked-scaffold-ma6-processed-gene-12.1	DMTF1
augustus_masked-scaffold-ma6-processed-gene-10.6	BHLHE41
augustus_masked-scaffold-ma5-processed-gene-161.4	LDB1
augustus_masked-scaffold-ma3-processed-gene-32.1	TAF2
augustus_masked-scaffold-ma2-processed-gene-693.5	BDP1
augustus_masked-scaffold-ma2-processed-gene-611.2	FBP1
augustus_masked-scaffold-ma1-processed-gene-542.2	GBX2
augustus_masked-scaffold-ma1-processed-gene-381.3	PARP9
augustus_masked-scaffold-ma1-processed-gene-289.0	ASCL1
augustus_masked-scaffold-ma1-processed-gene-26.4	JUN
