Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,Accession  
Crotalus scutulatus B-type SVMP complex genomic sequence,Crotalus scutulatus,Mojave rattlesnake,8737,674,8663,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT032003.1?report=genbank&log$=nucltop&blast_rank=1&RID=J83PRRHP013"",""MT032003.1"")"
Crotalus atrox SVMP complex genomic sequence,Crotalus atrox,western diamondback rattlesnake,8730,670,18538,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT019621.1?report=genbank&log$=nucltop&blast_rank=2&RID=J83PRRHP013"",""MT019621.1"")"
Crotalus horridus clone ctg3724 A-type SVMP complex genomic sequence,Crotalus horridus,timber rattlesnake,35024,655,3257,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT124581.1?report=genbank&log$=nucltop&blast_rank=3&RID=J83PRRHP013"",""MT124581.1"")"
"Crotalus horridus mad-3 gene, partial sequence; metalloproteinase fusuion protein 2 (mpf-2), metalloproteinase and disintegrin protein 3b (mad-3b), and metalloproteinase and disintegrin protein 4b (mad-4b) genes, complete cds; os23 pseudogene, complete sequence; metalloproteinase disintegrin and cysteine-rich protein 6 (mdc-6) and metalloproteinase disintegrin and cysteine-rich protein 7 (mdc-7) genes, complete cds; os67 pseudogene, complete sequence; metalloproteinase and disintegrin protein 5 (mad-5) gene, complete cds; os3b pseudogene, complete sequence; and metalloproteinase and disintegrin protein 6 (mad-6), metalloproteinase disintegrin and cysteine-rich protein 8 (mdc-8), neurofilament medium polypeptide (nefm), and neurofilament light polypeptide (nefl) genes, complete cds",Crotalus horridus,timber rattlesnake,35024,655,5793,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT127551.1?report=genbank&log$=nucltop&blast_rank=4&RID=J83PRRHP013"",""MT127551.1"")"
Crotalus horridus clone ctg124679 A-type SVMP complex genomic sequence,Crotalus horridus,timber rattlesnake,35024,645,5476,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT124580.1?report=genbank&log$=nucltop&blast_rank=5&RID=J83PRRHP013"",""MT124580.1"")"
"Crotalus horridus MDC-1 (mdc-1) gene, partial cds; MDC-2 (mdc-2) gene, complete cds; os3a, mdc-9, and os35 pseudogenes, complete sequence; MDC-4 (mdc-4) gene, complete cds; and MAD-3a (mad-3a) gene, partial cds",Crotalus horridus,timber rattlesnake,35024,640,3272,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT127550.1?report=genbank&log$=nucltop&blast_rank=6&RID=J83PRRHP013"",""MT127550.1"")"
Crotalus durissus terrificus SVMP complex L genomic sequence,Crotalus durissus terrificus,tropical rattlesnake,8732,636,4006,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT070611.1?report=genbank&log$=nucltop&blast_rank=7&RID=J83PRRHP013"",""MT070611.1"")"
Crotalus durissus terrificus SVMP complex R genomic sequence,Crotalus durissus terrificus,tropical rattlesnake,8732,605,1673,99%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT070612.1?report=genbank&log$=nucltop&blast_rank=8&RID=J83PRRHP013"",""MT070612.1"")"
Crotalus scutulatus A-type SVMP complex genomic sequence,Crotalus scutulatus,Mojave rattlesnake,8737,464,1968,100%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT070613.1?report=genbank&log$=nucltop&blast_rank=9&RID=J83PRRHP013"",""MT070613.1"")"
Crotalus horridus clone ctg12944 A-type SVMP complex genomic sequence,Crotalus horridus,timber rattlesnake,35024,202,202,88%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/MT124582.1?report=genbank&log$=nucltop&blast_rank=10&RID=J83PRRHP013"",""MT124582.1"")"
"PREDICTED: Thamnophis elegans uncharacterized LOC116513827 (LOC116513827), ncRNA",Thamnophis elegans,Western terrestrial garter snake,35005,43.7,43.7,10%,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/nucleotide/XR_004256049.1?report=genbank&log$=nucltop&blast_rank=11&RID=J83PRRHP013"",""XR_004256049.1"")"



		


